reference_month,bls_release_date,bls_release_time_et,release_source,release_source_locator,release_artifact_hash,cpi_all_items_nsa_level_as_published,cpi_yoy_percent_as_published,published_yoy_source,alfred_vintage_date,alfred_current_month_level_as_of_release,alfred_prior_year_level_as_of_release,bls_prior_year_level_available_as_of_release,prior_year_level_source,computed_yoy_from_same_vintage,published_vs_computed_difference,signal_regime,computed_unrounded_regime,signal_available_timestamp,next_business_day_after_release,source_effective_after_close_date,source_reconciliation_status,threshold_rounding_status,point_in_time_safe,forward_fill_used,interpolation_used,current_revised_history_used
2005-07,2005-08-16,,U.S. Bureau of Labor Statistics archived CPI news release,https://www.bls.gov/news.release/history/cpi_08162005.txt,sha256:386eb5b0c56862d60ee335483c32cc173c3ee4e7adeac5655f714e191c7b76e7,195.4,3.2,computed_at_BLS_published_precision_from_official_final_NSA_levels,,,,189.4,BLS_public_data_API_final_NSA_prior_year_level_as_of_archive_release,3.167898627244,0.032101372756,high,high,2005-08-16,2005-08-17,2005-08-17,rounding_only_difference,audited_no_regime_change,true,false,false,false
2005-08,2005-09-15,,U.S. Bureau of Labor Statistics archived CPI news release,https://www.bls.gov/news.release/history/cpi_09152005.txt,sha256:c7d0316af222f383ddea01f2f7a2256940abb41669d970d37c8d8fa10dc1b0e4,196.4,3.6,computed_at_BLS_published_precision_from_official_final_NSA_levels,,,,189.5,BLS_public_data_API_final_NSA_prior_year_level_as_of_archive_release,3.641160949868,-0.041160949868,high,high,2005-09-15,2005-09-16,2005-09-16,rounding_only_difference,audited_no_regime_change,true,false,false,false
2005-09,2005-10-14,,U.S. Bureau of Labor Statistics archived CPI news release,https://www.bls.gov/news.release/history/cpi_10142005.txt,sha256:76e15a58a4aafd6665defa1891463f21c776b1360a40baf4fc0667cce4aa352e,198.8,4.7,computed_at_BLS_published_precision_from_official_final_NSA_levels,,,,189.9,BLS_public_data_API_final_NSA_prior_year_level_as_of_archive_release,4.686677198526,0.013322801474,high,high,2005-10-14,2005-10-17,2005-10-17,rounding_only_difference,audited_no_regime_change,true,false,false,false
2005-10,2005-11-16,,U.S. Bureau of Labor Statistics archived CPI news release,https://www.bls.gov/news.release/history/cpi_11162005.txt,sha256:0e0aa174f5047cf875b50dba79501c507503a281602e0cad5008429f4d0ab7f5,199.2,4.3,computed_at_BLS_published_precision_from_official_final_NSA_levels,,,,190.9,BLS_public_data_API_final_NSA_prior_year_level_as_of_archive_release,4.347826086957,-0.047826086957,high,high,2005-11-16,2005-11-17,2005-11-17,rounding_only_difference,audited_no_regime_change,true,false,false,false
2005-11,2005-12-15,,U.S. Bureau of Labor Statistics archived CPI news release,https://www.bls.gov/news.release/history/cpi_12152005.txt,sha256:3fdd563d7133294e90f9589e4428be853b3e5dc69a02769f529d307e9b7e4d50,197.6,3.5,computed_at_BLS_published_precision_from_official_final_NSA_levels,,,,191.0,BLS_public_data_API_final_NSA_prior_year_level_as_of_archive_release,3.455497382199,0.044502617801,high,high,2005-12-15,2005-12-16,2005-12-16,rounding_only_difference,audited_no_regime_change,true,false,false,false
2005-12,2006-01-18,,U.S. Bureau of Labor Statistics archived CPI news release,https://www.bls.gov/news.release/history/cpi_01182006.txt,sha256:42c86b840165e06c733b5da5703631ce0df798cb8cae1748d47cc277ec9cc20d,196.8,3.4,computed_at_BLS_published_precision_from_official_final_NSA_levels,,,,190.3,BLS_public_data_API_final_NSA_prior_year_level_as_of_archive_release,3.415659485024,-0.015659485024,high,high,2006-01-18,2006-01-19,2006-01-19,rounding_only_difference,audited_no_regime_change,true,false,false,false
2006-01,2006-02-22,,U.S. Bureau of Labor Statistics archived CPI news release,https://www.bls.gov/news.release/history/cpi_02222006.txt,sha256:a2962a3556c9954bb61991622f0e9776946a748119070bc4ea9d9a0599b610b7,198.3,4.0,computed_at_BLS_published_precision_from_official_final_NSA_levels,,,,190.7,BLS_public_data_API_final_NSA_prior_year_level_as_of_archive_release,3.985317252229,0.014682747771,high,high,2006-02-22,2006-02-23,2006-02-23,rounding_only_difference,audited_no_regime_change,true,false,false,false
2006-02,2006-03-16,,U.S. Bureau of Labor Statistics archived CPI news release,https://www.bls.gov/news.release/history/cpi_03162006.txt,sha256:94630a8ed0c12ec21e0b8568aecaa77ab23b2020e08771b961196eb27593f508,198.7,3.6,computed_at_BLS_published_precision_from_official_final_NSA_levels,,,,191.8,BLS_public_data_API_final_NSA_prior_year_level_as_of_archive_release,3.597497393118,0.002502606882,high,high,2006-03-16,2006-03-17,2006-03-17,rounding_only_difference,audited_no_regime_change,true,false,false,false
2006-03,2006-04-19,,U.S. Bureau of Labor Statistics archived CPI news release,https://www.bls.gov/news.release/history/cpi_04192006.txt,sha256:743c180699524c9b4a4c506b9d83daaa75200914cc9b0e0333e0d01796aab071,199.8,3.4,computed_at_BLS_published_precision_from_official_final_NSA_levels,,,,193.3,BLS_public_data_API_final_NSA_prior_year_level_as_of_archive_release,3.362648732540,0.037351267460,high,high,2006-04-19,2006-04-20,2006-04-20,rounding_only_difference,audited_no_regime_change,true,false,false,false
2006-04,2006-05-17,,U.S. Bureau of Labor Statistics archived CPI news release,https://www.bls.gov/news.release/history/cpi_05172006.txt,sha256:49cd8443fce289e0ddeb6d2b7a606713c50e83c21b6ee71480fd070610fcabaa,201.5,3.5,computed_at_BLS_published_precision_from_official_final_NSA_levels,,,,194.6,BLS_public_data_API_final_NSA_prior_year_level_as_of_archive_release,3.545734840699,-0.045734840699,high,high,2006-05-17,2006-05-18,2006-05-18,rounding_only_difference,audited_no_regime_change,true,false,false,false
2006-05,2006-06-14,,U.S. Bureau of Labor Statistics archived CPI news release,https://www.bls.gov/news.release/history/cpi_06142006.txt,sha256:a5e4d80239acf20df83c3696adaa506feef9c18f4341c26d586f1ebace7d6019,202.5,4.2,computed_at_BLS_published_precision_from_official_final_NSA_levels,,,,194.4,BLS_public_data_API_final_NSA_prior_year_level_as_of_archive_release,4.166666666667,0.033333333333,high,high,2006-06-14,2006-06-15,2006-06-15,rounding_only_difference,audited_no_regime_change,true,false,false,false
2006-06,2006-07-19,,U.S. Bureau of Labor Statistics archived CPI news release,https://www.bls.gov/news.release/history/cpi_07192006.txt,sha256:711417c3f4cd86bd049082cc385c58bbb27f086325cdbdaa1e4d61e0194ca5cd,202.9,4.3,computed_at_BLS_published_precision_from_official_final_NSA_levels,,,,194.5,BLS_public_data_API_final_NSA_prior_year_level_as_of_archive_release,4.318766066838,-0.018766066838,high,high,2006-07-19,2006-07-20,2006-07-20,rounding_only_difference,audited_no_regime_change,true,false,false,false
