reference_month,release_date,release_url,release_status,parse_status,release_after_reference_month_end,release_date_unique,source_effective_after_close_date,notes
2005-07,2005-08-16,https://www.bls.gov/news.release/history/cpi_08162005.txt,canonical_release,parsed,true,true,2005-08-17,
2005-08,2005-09-15,https://www.bls.gov/news.release/history/cpi_09152005.txt,canonical_release,parsed,true,true,2005-09-16,
2005-09,2005-10-14,https://www.bls.gov/news.release/history/cpi_10142005.txt,canonical_release,parsed,true,true,2005-10-17,
2005-10,2005-11-16,https://www.bls.gov/news.release/history/cpi_11162005.txt,canonical_release,parsed,true,true,2005-11-17,
2005-11,2005-12-15,https://www.bls.gov/news.release/history/cpi_12152005.txt,canonical_release,parsed,true,true,2005-12-16,
2005-12,2006-01-18,https://www.bls.gov/news.release/history/cpi_01182006.txt,canonical_release,parsed,true,true,2006-01-19,
2006-01,2006-02-22,https://www.bls.gov/news.release/history/cpi_02222006.txt,canonical_release,parsed,true,true,2006-02-23,
2006-02,2006-03-16,https://www.bls.gov/news.release/history/cpi_03162006.txt,canonical_release,parsed,true,true,2006-03-17,
2006-03,2006-04-19,https://www.bls.gov/news.release/history/cpi_04192006.txt,canonical_release,parsed,true,true,2006-04-20,
2006-04,2006-05-17,https://www.bls.gov/news.release/history/cpi_05172006.txt,canonical_release,parsed,true,true,2006-05-18,
2006-05,2006-06-14,https://www.bls.gov/news.release/history/cpi_06142006.txt,canonical_release,parsed,true,true,2006-06-15,
2006-06,2006-07-19,https://www.bls.gov/news.release/history/cpi_07192006.txt,canonical_release,parsed,true,true,2006-07-20,
2006-07,2006-08-16,https://www.bls.gov/news.release/history/cpi_08162006.txt,canonical_release,parsed,true,true,2006-08-17,
2006-08,2006-09-15,https://www.bls.gov/news.release/history/cpi_09152006.txt,canonical_release,parsed,true,true,2006-09-18,
2006-09,2006-10-18,https://www.bls.gov/news.release/history/cpi_10182006.txt,canonical_release,parsed,true,true,2006-10-19,
2006-10,2006-11-16,https://www.bls.gov/news.release/history/cpi_11162006.txt,canonical_release,parsed,true,true,2006-11-17,
2006-11,2006-12-15,https://www.bls.gov/news.release/history/cpi_12152006.txt,canonical_release,parsed,true,true,2006-12-18,
2006-12,2007-01-18,https://www.bls.gov/news.release/history/cpi_01182007.txt,canonical_release,parsed,true,true,2007-01-19,
2007-01,2007-02-21,https://www.bls.gov/news.release/history/cpi_02212007.txt,canonical_release,parsed,true,true,2007-02-22,
2007-02,2007-03-16,https://www.bls.gov/news.release/history/cpi_03162007.txt,canonical_release,parsed,true,true,2007-03-19,
2007-03,2007-04-17,https://www.bls.gov/news.release/history/cpi_04172007.txt,canonical_release,parsed,true,true,2007-04-18,
2007-04,2007-05-15,https://www.bls.gov/news.release/history/cpi_05152007.txt,canonical_release,parsed,true,true,2007-05-16,
2007-05,2007-06-15,https://www.bls.gov/news.release/history/cpi_06152007.txt,canonical_release,parsed,true,true,2007-06-18,
2007-06,2007-07-18,https://www.bls.gov/news.release/history/cpi_07182007.txt,canonical_release,parsed,true,true,2007-07-19,
2007-07,2007-08-15,https://www.bls.gov/news.release/history/cpi_08152007.txt,canonical_release,parsed,true,true,2007-08-16,
2007-08,2007-09-19,https://www.bls.gov/news.release/history/cpi_09192007.txt,canonical_release,parsed,true,true,2007-09-20,
2007-09,2007-10-17,https://www.bls.gov/news.release/history/cpi_10172007.txt,canonical_release,parsed,true,true,2007-10-18,
2007-10,2007-11-15,https://www.bls.gov/news.release/history/cpi_11152007.txt,canonical_release,parsed,true,true,2007-11-16,
2007-11,2007-12-14,https://www.bls.gov/news.release/history/cpi_12142007.txt,canonical_release,parsed,true,true,2007-12-17,
2007-12,2008-01-16,https://www.bls.gov/news.release/history/cpi_01162008.txt,canonical_release,parsed,true,true,2008-01-17,
2008-01,2008-02-20,https://www.bls.gov/news.release/archives/cpi_02202008.htm,canonical_release,parsed,true,true,2008-02-21,
2008-02,2008-03-14,https://www.bls.gov/news.release/archives/cpi_03142008.htm,canonical_release,parsed,true,true,2008-03-17,
2008-03,2008-04-16,https://www.bls.gov/news.release/archives/cpi_04162008.htm,canonical_release,parsed,true,true,2008-04-17,
2008-04,2008-05-14,https://www.bls.gov/news.release/archives/cpi_05142008.htm,canonical_release,parsed,true,true,2008-05-15,
2008-05,2008-06-13,https://www.bls.gov/news.release/archives/cpi_06132008.htm,canonical_release,parsed,true,true,2008-06-16,
2008-06,2008-07-16,https://www.bls.gov/news.release/archives/cpi_07162008.htm,canonical_release,parsed,true,true,2008-07-17,
2008-07,2008-08-14,https://www.bls.gov/news.release/archives/cpi_08142008.htm,canonical_release,parsed,true,true,2008-08-15,
2008-08,2008-09-16,https://www.bls.gov/news.release/archives/cpi_09162008.htm,canonical_release,parsed,true,true,2008-09-17,
2008-09,2008-10-16,https://www.bls.gov/news.release/archives/cpi_10162008.htm,canonical_release,parsed,true,true,2008-10-17,
2008-10,2008-11-19,https://www.bls.gov/news.release/archives/cpi_11192008.htm,canonical_release,parsed,true,true,2008-11-20,
2008-11,2008-12-16,https://www.bls.gov/news.release/archives/cpi_12162008.htm,canonical_release,parsed,true,true,2008-12-17,
2008-12,2009-01-16,https://www.bls.gov/news.release/archives/cpi_01162009.htm,canonical_release,parsed,true,true,2009-01-20,
2009-01,2009-02-20,https://www.bls.gov/news.release/archives/cpi_02202009.htm,canonical_release,parsed,true,true,2009-02-23,
2009-02,2009-03-18,https://www.bls.gov/news.release/archives/cpi_03182009.htm,canonical_release,parsed,true,true,2009-03-19,
2009-03,2009-04-15,https://www.bls.gov/news.release/archives/cpi_04152009.htm,canonical_release,parsed,true,true,2009-04-16,
2009-04,2009-05-15,https://www.bls.gov/news.release/archives/cpi_05152009.htm,canonical_release,parsed,true,true,2009-05-18,
2009-05,2009-06-17,https://www.bls.gov/news.release/archives/cpi_06172009.htm,canonical_release,parsed,true,true,2009-06-18,
2009-06,2009-07-15,https://www.bls.gov/news.release/archives/cpi_07152009.htm,canonical_release,parsed,true,true,2009-07-16,
2009-07,2009-08-14,https://www.bls.gov/news.release/archives/cpi_08142009.htm,canonical_release,parsed,true,true,2009-08-17,
2009-08,2009-09-16,https://www.bls.gov/news.release/archives/cpi_09162009.htm,canonical_release,parsed,true,true,2009-09-17,
2009-09,2009-10-15,https://www.bls.gov/news.release/archives/cpi_10152009.htm,canonical_release,parsed,true,true,2009-10-16,
2009-10,2009-11-18,https://www.bls.gov/news.release/archives/cpi_11182009.htm,canonical_release,parsed,true,true,2009-11-19,
2009-11,2009-12-16,https://www.bls.gov/news.release/archives/cpi_12162009.htm,canonical_release,parsed,true,true,2009-12-17,
2009-12,2010-01-15,https://www.bls.gov/news.release/archives/cpi_01152010.htm,canonical_release,parsed,true,true,2010-01-19,
2010-01,2010-02-19,https://www.bls.gov/news.release/archives/cpi_02192010.htm,canonical_release,parsed,true,true,2010-02-22,
2010-02,2010-03-18,https://www.bls.gov/news.release/archives/cpi_03182010.htm,canonical_release,parsed,true,true,2010-03-19,
2010-03,2010-04-14,https://www.bls.gov/news.release/archives/cpi_04142010.htm,canonical_release,parsed,true,true,2010-04-15,
2010-04,2010-05-19,https://www.bls.gov/news.release/archives/cpi_05192010.htm,canonical_release,parsed,true,true,2010-05-20,
2010-05,2010-06-17,https://www.bls.gov/news.release/archives/cpi_06172010.htm,canonical_release,parsed,true,true,2010-06-18,
2010-06,2010-07-16,https://www.bls.gov/news.release/archives/cpi_07162010.htm,canonical_release,parsed,true,true,2010-07-19,
2010-07,2010-08-13,https://www.bls.gov/news.release/archives/cpi_08132010.htm,canonical_release,parsed,true,true,2010-08-16,
2010-08,2010-09-17,https://www.bls.gov/news.release/archives/cpi_09172010.htm,canonical_release,parsed,true,true,2010-09-20,
2010-09,2010-10-15,https://www.bls.gov/news.release/archives/cpi_10152010.htm,canonical_release,parsed,true,true,2010-10-18,
2010-10,2010-11-17,https://www.bls.gov/news.release/archives/cpi_11172010.htm,canonical_release,parsed,true,true,2010-11-18,
2010-11,2010-12-15,https://www.bls.gov/news.release/archives/cpi_12152010.htm,canonical_release,parsed,true,true,2010-12-16,
2010-12,2011-01-14,https://www.bls.gov/news.release/archives/cpi_01142011.htm,canonical_release,parsed,true,true,2011-01-18,
2011-01,2011-02-17,https://www.bls.gov/news.release/archives/cpi_02172011.htm,canonical_release,parsed,true,true,2011-02-18,
2011-02,2011-03-17,https://www.bls.gov/news.release/archives/cpi_03172011.htm,canonical_release,parsed,true,true,2011-03-18,
2011-03,2011-04-15,https://www.bls.gov/news.release/archives/cpi_04152011.htm,canonical_release,parsed,true,true,2011-04-18,
2011-04,2011-05-13,https://www.bls.gov/news.release/archives/cpi_05132011.htm,canonical_release,parsed,true,true,2011-05-16,
2011-05,2011-06-15,https://www.bls.gov/news.release/archives/cpi_06152011.htm,canonical_release,parsed,true,true,2011-06-16,
2011-06,2011-07-15,https://www.bls.gov/news.release/archives/cpi_07152011.htm,canonical_release,parsed,true,true,2011-07-18,
2011-07,2011-08-18,https://www.bls.gov/news.release/archives/cpi_08182011.htm,canonical_release,parsed,true,true,2011-08-19,
2011-08,2011-09-15,https://www.bls.gov/news.release/archives/cpi_09152011.htm,canonical_release,parsed,true,true,2011-09-16,
2011-09,2011-10-19,https://www.bls.gov/news.release/archives/cpi_10192011.htm,canonical_release,parsed,true,true,2011-10-20,
2011-10,2011-11-16,https://www.bls.gov/news.release/archives/cpi_11162011.htm,canonical_release,parsed,true,true,2011-11-17,
2011-11,2011-12-16,https://www.bls.gov/news.release/archives/cpi_12162011.htm,canonical_release,parsed,true,true,2011-12-19,
2011-12,2012-01-19,https://www.bls.gov/news.release/archives/cpi_01192012.htm,canonical_release,parsed,true,true,2012-01-20,
2012-01,2012-02-17,https://www.bls.gov/news.release/archives/cpi_02172012.htm,canonical_release,parsed,true,true,2012-02-21,
2012-02,2012-03-16,https://www.bls.gov/news.release/archives/cpi_03162012.htm,canonical_release,parsed,true,true,2012-03-19,
2012-03,2012-04-13,https://www.bls.gov/news.release/archives/cpi_04132012.htm,canonical_release,parsed,true,true,2012-04-16,
2012-04,2012-05-15,https://www.bls.gov/news.release/archives/cpi_05152012.htm,canonical_release,parsed,true,true,2012-05-16,
2012-05,2012-06-14,https://www.bls.gov/news.release/archives/cpi_06142012.htm,canonical_release,parsed,true,true,2012-06-15,
2012-06,2012-07-17,https://www.bls.gov/news.release/archives/cpi_07172012.htm,canonical_release,parsed,true,true,2012-07-18,
2012-07,2012-08-15,https://www.bls.gov/news.release/archives/cpi_08152012.htm,canonical_release,parsed,true,true,2012-08-16,
2012-08,2012-09-14,https://www.bls.gov/news.release/archives/cpi_09142012.htm,canonical_release,parsed,true,true,2012-09-17,
2012-09,2012-10-16,https://www.bls.gov/news.release/archives/cpi_10162012.htm,canonical_release,parsed,true,true,2012-10-17,
2012-10,2012-11-15,https://www.bls.gov/news.release/archives/cpi_11152012.htm,canonical_release,parsed,true,true,2012-11-16,
2012-11,2012-12-14,https://www.bls.gov/news.release/archives/cpi_12142012.htm,canonical_release,parsed,true,true,2012-12-17,
2012-12,2013-01-16,https://www.bls.gov/news.release/archives/cpi_01162013.htm,canonical_release,parsed,true,true,2013-01-17,
2013-01,2013-02-21,https://www.bls.gov/news.release/archives/cpi_02212013.htm,canonical_release,parsed,true,true,2013-02-22,
2013-02,2013-03-15,https://www.bls.gov/news.release/archives/cpi_03152013.htm,canonical_release,parsed,true,true,2013-03-18,
2013-03,2013-04-16,https://www.bls.gov/news.release/archives/cpi_04162013.htm,canonical_release,parsed,true,true,2013-04-17,
2013-04,2013-05-16,https://www.bls.gov/news.release/archives/cpi_05162013.htm,canonical_release,parsed,true,true,2013-05-17,
2013-05,2013-06-18,https://www.bls.gov/news.release/archives/cpi_06182013.htm,canonical_release,parsed,true,true,2013-06-19,
2013-06,2013-07-16,https://www.bls.gov/news.release/archives/cpi_07162013.htm,canonical_release,parsed,true,true,2013-07-17,
2013-07,2013-08-15,https://www.bls.gov/news.release/archives/cpi_08152013.htm,canonical_release,parsed,true,true,2013-08-16,
2013-08,2013-09-17,https://www.bls.gov/news.release/archives/cpi_09172013.htm,canonical_release,parsed,true,true,2013-09-18,
2013-09,2013-10-30,https://www.bls.gov/news.release/archives/cpi_10302013.htm,canonical_release,parsed,true,true,2013-10-31,
2013-10,2013-11-20,https://www.bls.gov/news.release/archives/cpi_11202013.htm,canonical_release,parsed,true,true,2013-11-21,
2013-11,2013-12-17,https://www.bls.gov/news.release/archives/cpi_12172013.htm,canonical_release,parsed,true,true,2013-12-18,
2013-12,2014-01-16,https://www.bls.gov/news.release/archives/cpi_01162014.htm,canonical_release,parsed,true,true,2014-01-17,
2014-01,2014-02-20,https://www.bls.gov/news.release/archives/cpi_02202014.htm,canonical_release,parsed,true,true,2014-02-21,
2014-02,2014-03-18,https://www.bls.gov/news.release/archives/cpi_03182014.htm,canonical_release,parsed,true,true,2014-03-19,
2014-03,2014-04-15,https://www.bls.gov/news.release/archives/cpi_04152014.htm,canonical_release,parsed,true,true,2014-04-16,
2014-04,2014-05-15,https://www.bls.gov/news.release/archives/cpi_05152014.htm,canonical_release,parsed,true,true,2014-05-16,
2014-05,2014-06-17,https://www.bls.gov/news.release/archives/cpi_06172014.htm,canonical_release,parsed,true,true,2014-06-18,
