reference_month,bls_release_date,bls_current_level,bls_prior_year_level_as_of_release,alfred_vintage_date,alfred_current_level,alfred_prior_year_level,alfred_comparison_status,same_information_state_computation,source_reconciliation_status,material_point_in_time_blocker,notes
2005-07,2005-08-16,195.4,189.4,,,,not_available_BLS_archive_hierarchy_complete,true,rounding_only_difference,false,CPI-U NSA is final when released; archived BLS levels and published 12-month rate establish the decision-time state without current revised history.
2005-08,2005-09-15,196.4,189.5,,,,not_available_BLS_archive_hierarchy_complete,true,rounding_only_difference,false,CPI-U NSA is final when released; archived BLS levels and published 12-month rate establish the decision-time state without current revised history.
2005-09,2005-10-14,198.8,189.9,,,,not_available_BLS_archive_hierarchy_complete,true,rounding_only_difference,false,CPI-U NSA is final when released; archived BLS levels and published 12-month rate establish the decision-time state without current revised history.
2005-10,2005-11-16,199.2,190.9,,,,not_available_BLS_archive_hierarchy_complete,true,rounding_only_difference,false,CPI-U NSA is final when released; archived BLS levels and published 12-month rate establish the decision-time state without current revised history.
2005-11,2005-12-15,197.6,191.0,,,,not_available_BLS_archive_hierarchy_complete,true,rounding_only_difference,false,CPI-U NSA is final when released; archived BLS levels and published 12-month rate establish the decision-time state without current revised history.
2005-12,2006-01-18,196.8,190.3,,,,not_available_BLS_archive_hierarchy_complete,true,rounding_only_difference,false,CPI-U NSA is final when released; archived BLS levels and published 12-month rate establish the decision-time state without current revised history.
2006-01,2006-02-22,198.3,190.7,,,,not_available_BLS_archive_hierarchy_complete,true,rounding_only_difference,false,CPI-U NSA is final when released; archived BLS levels and published 12-month rate establish the decision-time state without current revised history.
2006-02,2006-03-16,198.7,191.8,,,,not_available_BLS_archive_hierarchy_complete,true,rounding_only_difference,false,CPI-U NSA is final when released; archived BLS levels and published 12-month rate establish the decision-time state without current revised history.
2006-03,2006-04-19,199.8,193.3,,,,not_available_BLS_archive_hierarchy_complete,true,rounding_only_difference,false,CPI-U NSA is final when released; archived BLS levels and published 12-month rate establish the decision-time state without current revised history.
2006-04,2006-05-17,201.5,194.6,,,,not_available_BLS_archive_hierarchy_complete,true,rounding_only_difference,false,CPI-U NSA is final when released; archived BLS levels and published 12-month rate establish the decision-time state without current revised history.
2006-05,2006-06-14,202.5,194.4,,,,not_available_BLS_archive_hierarchy_complete,true,rounding_only_difference,false,CPI-U NSA is final when released; archived BLS levels and published 12-month rate establish the decision-time state without current revised history.
2006-06,2006-07-19,202.9,194.5,,,,not_available_BLS_archive_hierarchy_complete,true,rounding_only_difference,false,CPI-U NSA is final when released; archived BLS levels and published 12-month rate establish the decision-time state without current revised history.
2006-07,2006-08-16,203.5,195.4,,,,not_available_BLS_archive_hierarchy_complete,true,rounding_only_difference,false,CPI-U NSA is final when released; archived BLS levels and published 12-month rate establish the decision-time state without current revised history.
2006-08,2006-09-15,203.9,196.4,,,,not_available_BLS_archive_hierarchy_complete,true,rounding_only_difference,false,CPI-U NSA is final when released; archived BLS levels and published 12-month rate establish the decision-time state without current revised history.
2006-09,2006-10-18,202.9,198.8,,,,not_available_BLS_archive_hierarchy_complete,true,rounding_only_difference,false,CPI-U NSA is final when released; archived BLS levels and published 12-month rate establish the decision-time state without current revised history.
2006-10,2006-11-16,201.8,199.2,,,,not_available_BLS_archive_hierarchy_complete,true,rounding_only_difference,false,CPI-U NSA is final when released; archived BLS levels and published 12-month rate establish the decision-time state without current revised history.
2006-11,2006-12-15,201.5,197.6,,,,not_available_BLS_archive_hierarchy_complete,true,rounding_only_difference,false,CPI-U NSA is final when released; archived BLS levels and published 12-month rate establish the decision-time state without current revised history.
2006-12,2007-01-18,201.8,196.8,,,,not_available_BLS_archive_hierarchy_complete,true,rounding_only_difference,false,CPI-U NSA is final when released; archived BLS levels and published 12-month rate establish the decision-time state without current revised history.
2007-01,2007-02-21,202.416,198.3,,,,not_available_BLS_archive_hierarchy_complete,true,rounding_only_difference,false,CPI-U NSA is final when released; archived BLS levels and published 12-month rate establish the decision-time state without current revised history.
2007-02,2007-03-16,203.499,198.7,,,,not_available_BLS_archive_hierarchy_complete,true,rounding_only_difference,false,CPI-U NSA is final when released; archived BLS levels and published 12-month rate establish the decision-time state without current revised history.
2007-03,2007-04-17,205.352,199.8,,,,not_available_BLS_archive_hierarchy_complete,true,rounding_only_difference,false,CPI-U NSA is final when released; archived BLS levels and published 12-month rate establish the decision-time state without current revised history.
2007-04,2007-05-15,206.686,201.5,,,,not_available_BLS_archive_hierarchy_complete,true,rounding_only_difference,false,CPI-U NSA is final when released; archived BLS levels and published 12-month rate establish the decision-time state without current revised history.
2007-05,2007-06-15,207.949,202.5,,,,not_available_BLS_archive_hierarchy_complete,true,rounding_only_difference,false,CPI-U NSA is final when released; archived BLS levels and published 12-month rate establish the decision-time state without current revised history.
2007-06,2007-07-18,208.352,202.9,,,,not_available_BLS_archive_hierarchy_complete,true,rounding_only_difference,false,CPI-U NSA is final when released; archived BLS levels and published 12-month rate establish the decision-time state without current revised history.
2007-07,2007-08-15,208.299,203.5,,,,not_available_BLS_archive_hierarchy_complete,true,rounding_only_difference,false,CPI-U NSA is final when released; archived BLS levels and published 12-month rate establish the decision-time state without current revised history.
2007-08,2007-09-19,207.917,203.9,,,,not_available_BLS_archive_hierarchy_complete,true,rounding_only_difference,false,CPI-U NSA is final when released; archived BLS levels and published 12-month rate establish the decision-time state without current revised history.
2007-09,2007-10-17,208.490,202.9,,,,not_available_BLS_archive_hierarchy_complete,true,rounding_only_difference,false,CPI-U NSA is final when released; archived BLS levels and published 12-month rate establish the decision-time state without current revised history.
2007-10,2007-11-15,208.936,201.8,,,,not_available_BLS_archive_hierarchy_complete,true,rounding_only_difference,false,CPI-U NSA is final when released; archived BLS levels and published 12-month rate establish the decision-time state without current revised history.
2007-11,2007-12-14,210.177,201.5,,,,not_available_BLS_archive_hierarchy_complete,true,rounding_only_difference,false,CPI-U NSA is final when released; archived BLS levels and published 12-month rate establish the decision-time state without current revised history.
2007-12,2008-01-16,210.036,201.8,,,,not_available_BLS_archive_hierarchy_complete,true,rounding_only_difference,false,CPI-U NSA is final when released; archived BLS levels and published 12-month rate establish the decision-time state without current revised history.
2008-01,2008-02-20,211.080,202.416,,,,not_available_BLS_archive_hierarchy_complete,true,rounding_only_difference,false,CPI-U NSA is final when released; archived BLS levels and published 12-month rate establish the decision-time state without current revised history.
2008-02,2008-03-14,211.693,203.499,,,,not_available_BLS_archive_hierarchy_complete,true,rounding_only_difference,false,CPI-U NSA is final when released; archived BLS levels and published 12-month rate establish the decision-time state without current revised history.
2008-03,2008-04-16,213.528,205.352,,,,not_available_BLS_archive_hierarchy_complete,true,rounding_only_difference,false,CPI-U NSA is final when released; archived BLS levels and published 12-month rate establish the decision-time state without current revised history.
2008-04,2008-05-14,214.823,206.686,,,,not_available_BLS_archive_hierarchy_complete,true,rounding_only_difference,false,CPI-U NSA is final when released; archived BLS levels and published 12-month rate establish the decision-time state without current revised history.
2008-05,2008-06-13,216.632,207.949,,,,not_available_BLS_archive_hierarchy_complete,true,rounding_only_difference,false,CPI-U NSA is final when released; archived BLS levels and published 12-month rate establish the decision-time state without current revised history.
2008-06,2008-07-16,218.815,208.352,,,,not_available_BLS_archive_hierarchy_complete,true,rounding_only_difference,false,CPI-U NSA is final when released; archived BLS levels and published 12-month rate establish the decision-time state without current revised history.
2008-07,2008-08-14,219.964,208.299,,,,not_available_BLS_archive_hierarchy_complete,true,rounding_only_difference,false,CPI-U NSA is final when released; archived BLS levels and published 12-month rate establish the decision-time state without current revised history.
2008-08,2008-09-16,219.086,207.917,,,,not_available_BLS_archive_hierarchy_complete,true,rounding_only_difference,false,CPI-U NSA is final when released; archived BLS levels and published 12-month rate establish the decision-time state without current revised history.
2008-09,2008-10-16,218.783,208.490,,,,not_available_BLS_archive_hierarchy_complete,true,rounding_only_difference,false,CPI-U NSA is final when released; archived BLS levels and published 12-month rate establish the decision-time state without current revised history.
2008-10,2008-11-19,216.573,208.936,,,,not_available_BLS_archive_hierarchy_complete,true,rounding_only_difference,false,CPI-U NSA is final when released; archived BLS levels and published 12-month rate establish the decision-time state without current revised history.
2008-11,2008-12-16,212.425,210.177,,,,not_available_BLS_archive_hierarchy_complete,true,rounding_only_difference,false,CPI-U NSA is final when released; archived BLS levels and published 12-month rate establish the decision-time state without current revised history.
2008-12,2009-01-16,210.228,210.036,,,,not_available_BLS_archive_hierarchy_complete,true,rounding_only_difference,false,CPI-U NSA is final when released; archived BLS levels and published 12-month rate establish the decision-time state without current revised history.
2009-01,2009-02-20,211.143,211.080,,,,not_available_BLS_archive_hierarchy_complete,true,rounding_only_difference,false,CPI-U NSA is final when released; archived BLS levels and published 12-month rate establish the decision-time state without current revised history.
2009-02,2009-03-18,212.193,211.693,,,,not_available_BLS_archive_hierarchy_complete,true,rounding_only_difference,false,CPI-U NSA is final when released; archived BLS levels and published 12-month rate establish the decision-time state without current revised history.
2009-03,2009-04-15,212.709,213.528,,,,not_available_BLS_archive_hierarchy_complete,true,rounding_only_difference,false,CPI-U NSA is final when released; archived BLS levels and published 12-month rate establish the decision-time state without current revised history.
2009-04,2009-05-15,213.240,214.823,,,,not_available_BLS_archive_hierarchy_complete,true,rounding_only_difference,false,CPI-U NSA is final when released; archived BLS levels and published 12-month rate establish the decision-time state without current revised history.
2009-05,2009-06-17,213.856,216.632,,,,not_available_BLS_archive_hierarchy_complete,true,rounding_only_difference,false,CPI-U NSA is final when released; archived BLS levels and published 12-month rate establish the decision-time state without current revised history.
2009-06,2009-07-15,215.693,218.815,,,,not_available_BLS_archive_hierarchy_complete,true,rounding_only_difference,false,CPI-U NSA is final when released; archived BLS levels and published 12-month rate establish the decision-time state without current revised history.
2009-07,2009-08-14,215.351,219.964,,,,not_available_BLS_archive_hierarchy_complete,true,rounding_only_difference,false,CPI-U NSA is final when released; archived BLS levels and published 12-month rate establish the decision-time state without current revised history.
2009-08,2009-09-16,215.834,219.086,,,,not_available_BLS_archive_hierarchy_complete,true,rounding_only_difference,false,CPI-U NSA is final when released; archived BLS levels and published 12-month rate establish the decision-time state without current revised history.
2009-09,2009-10-15,215.969,218.783,,,,not_available_BLS_archive_hierarchy_complete,true,rounding_only_difference,false,CPI-U NSA is final when released; archived BLS levels and published 12-month rate establish the decision-time state without current revised history.
2009-10,2009-11-18,216.177,216.573,,,,not_available_BLS_archive_hierarchy_complete,true,rounding_only_difference,false,CPI-U NSA is final when released; archived BLS levels and published 12-month rate establish the decision-time state without current revised history.
2009-11,2009-12-16,216.330,212.425,,,,not_available_BLS_archive_hierarchy_complete,true,rounding_only_difference,false,CPI-U NSA is final when released; archived BLS levels and published 12-month rate establish the decision-time state without current revised history.
2009-12,2010-01-15,215.949,210.228,,,,not_available_BLS_archive_hierarchy_complete,true,rounding_only_difference,false,CPI-U NSA is final when released; archived BLS levels and published 12-month rate establish the decision-time state without current revised history.
2010-01,2010-02-19,216.687,211.143,,,,not_available_BLS_archive_hierarchy_complete,true,rounding_only_difference,false,CPI-U NSA is final when released; archived BLS levels and published 12-month rate establish the decision-time state without current revised history.
2010-02,2010-03-18,216.741,212.193,,,,not_available_BLS_archive_hierarchy_complete,true,rounding_only_difference,false,CPI-U NSA is final when released; archived BLS levels and published 12-month rate establish the decision-time state without current revised history.
2010-03,2010-04-14,217.631,212.709,,,,not_available_BLS_archive_hierarchy_complete,true,rounding_only_difference,false,CPI-U NSA is final when released; archived BLS levels and published 12-month rate establish the decision-time state without current revised history.
2010-04,2010-05-19,218.009,213.240,,,,not_available_BLS_archive_hierarchy_complete,true,rounding_only_difference,false,CPI-U NSA is final when released; archived BLS levels and published 12-month rate establish the decision-time state without current revised history.
2010-05,2010-06-17,218.178,213.856,,,,not_available_BLS_archive_hierarchy_complete,true,rounding_only_difference,false,CPI-U NSA is final when released; archived BLS levels and published 12-month rate establish the decision-time state without current revised history.
2010-06,2010-07-16,217.965,215.693,,,,not_available_BLS_archive_hierarchy_complete,true,rounding_only_difference,false,CPI-U NSA is final when released; archived BLS levels and published 12-month rate establish the decision-time state without current revised history.
2010-07,2010-08-13,218.011,215.351,,,,not_available_BLS_archive_hierarchy_complete,true,rounding_only_difference,false,CPI-U NSA is final when released; archived BLS levels and published 12-month rate establish the decision-time state without current revised history.
2010-08,2010-09-17,218.312,215.834,,,,not_available_BLS_archive_hierarchy_complete,true,rounding_only_difference,false,CPI-U NSA is final when released; archived BLS levels and published 12-month rate establish the decision-time state without current revised history.
2010-09,2010-10-15,218.439,215.969,,,,not_available_BLS_archive_hierarchy_complete,true,rounding_only_difference,false,CPI-U NSA is final when released; archived BLS levels and published 12-month rate establish the decision-time state without current revised history.
2010-10,2010-11-17,218.711,216.177,,,,not_available_BLS_archive_hierarchy_complete,true,rounding_only_difference,false,CPI-U NSA is final when released; archived BLS levels and published 12-month rate establish the decision-time state without current revised history.
2010-11,2010-12-15,218.803,216.330,,,,not_available_BLS_archive_hierarchy_complete,true,rounding_only_difference,false,CPI-U NSA is final when released; archived BLS levels and published 12-month rate establish the decision-time state without current revised history.
2010-12,2011-01-14,219.179,215.949,,,,not_available_BLS_archive_hierarchy_complete,true,rounding_only_difference,false,CPI-U NSA is final when released; archived BLS levels and published 12-month rate establish the decision-time state without current revised history.
2011-01,2011-02-17,220.223,216.687,,,,not_available_BLS_archive_hierarchy_complete,true,rounding_only_difference,false,CPI-U NSA is final when released; archived BLS levels and published 12-month rate establish the decision-time state without current revised history.
2011-02,2011-03-17,221.309,216.741,,,,not_available_BLS_archive_hierarchy_complete,true,rounding_only_difference,false,CPI-U NSA is final when released; archived BLS levels and published 12-month rate establish the decision-time state without current revised history.
2011-03,2011-04-15,223.467,217.631,,,,not_available_BLS_archive_hierarchy_complete,true,rounding_only_difference,false,CPI-U NSA is final when released; archived BLS levels and published 12-month rate establish the decision-time state without current revised history.
2011-04,2011-05-13,224.906,218.009,,,,not_available_BLS_archive_hierarchy_complete,true,rounding_only_difference,false,CPI-U NSA is final when released; archived BLS levels and published 12-month rate establish the decision-time state without current revised history.
2011-05,2011-06-15,225.964,218.178,,,,not_available_BLS_archive_hierarchy_complete,true,rounding_only_difference,false,CPI-U NSA is final when released; archived BLS levels and published 12-month rate establish the decision-time state without current revised history.
2011-06,2011-07-15,225.722,217.965,,,,not_available_BLS_archive_hierarchy_complete,true,rounding_only_difference,false,CPI-U NSA is final when released; archived BLS levels and published 12-month rate establish the decision-time state without current revised history.
2011-07,2011-08-18,225.922,218.011,,,,not_available_BLS_archive_hierarchy_complete,true,rounding_only_difference,false,CPI-U NSA is final when released; archived BLS levels and published 12-month rate establish the decision-time state without current revised history.
2011-08,2011-09-15,226.545,218.312,,,,not_available_BLS_archive_hierarchy_complete,true,rounding_only_difference,false,CPI-U NSA is final when released; archived BLS levels and published 12-month rate establish the decision-time state without current revised history.
2011-09,2011-10-19,226.889,218.439,,,,not_available_BLS_archive_hierarchy_complete,true,rounding_only_difference,false,CPI-U NSA is final when released; archived BLS levels and published 12-month rate establish the decision-time state without current revised history.
2011-10,2011-11-16,226.421,218.711,,,,not_available_BLS_archive_hierarchy_complete,true,rounding_only_difference,false,CPI-U NSA is final when released; archived BLS levels and published 12-month rate establish the decision-time state without current revised history.
2011-11,2011-12-16,226.230,218.803,,,,not_available_BLS_archive_hierarchy_complete,true,rounding_only_difference,false,CPI-U NSA is final when released; archived BLS levels and published 12-month rate establish the decision-time state without current revised history.
2011-12,2012-01-19,225.672,219.179,,,,not_available_BLS_archive_hierarchy_complete,true,rounding_only_difference,false,CPI-U NSA is final when released; archived BLS levels and published 12-month rate establish the decision-time state without current revised history.
2012-01,2012-02-17,226.665,220.223,,,,not_available_BLS_archive_hierarchy_complete,true,rounding_only_difference,false,CPI-U NSA is final when released; archived BLS levels and published 12-month rate establish the decision-time state without current revised history.
2012-02,2012-03-16,227.663,221.309,,,,not_available_BLS_archive_hierarchy_complete,true,rounding_only_difference,false,CPI-U NSA is final when released; archived BLS levels and published 12-month rate establish the decision-time state without current revised history.
2012-03,2012-04-13,229.392,223.467,,,,not_available_BLS_archive_hierarchy_complete,true,rounding_only_difference,false,CPI-U NSA is final when released; archived BLS levels and published 12-month rate establish the decision-time state without current revised history.
2012-04,2012-05-15,230.085,224.906,,,,not_available_BLS_archive_hierarchy_complete,true,rounding_only_difference,false,CPI-U NSA is final when released; archived BLS levels and published 12-month rate establish the decision-time state without current revised history.
2012-05,2012-06-14,229.815,225.964,,,,not_available_BLS_archive_hierarchy_complete,true,rounding_only_difference,false,CPI-U NSA is final when released; archived BLS levels and published 12-month rate establish the decision-time state without current revised history.
2012-06,2012-07-17,229.478,225.722,,,,not_available_BLS_archive_hierarchy_complete,true,rounding_only_difference,false,CPI-U NSA is final when released; archived BLS levels and published 12-month rate establish the decision-time state without current revised history.
2012-07,2012-08-15,229.104,225.922,,,,not_available_BLS_archive_hierarchy_complete,true,rounding_only_difference,false,CPI-U NSA is final when released; archived BLS levels and published 12-month rate establish the decision-time state without current revised history.
2012-08,2012-09-14,230.379,226.545,,,,not_available_BLS_archive_hierarchy_complete,true,rounding_only_difference,false,CPI-U NSA is final when released; archived BLS levels and published 12-month rate establish the decision-time state without current revised history.
2012-09,2012-10-16,231.407,226.889,,,,not_available_BLS_archive_hierarchy_complete,true,rounding_only_difference,false,CPI-U NSA is final when released; archived BLS levels and published 12-month rate establish the decision-time state without current revised history.
2012-10,2012-11-15,231.317,226.421,,,,not_available_BLS_archive_hierarchy_complete,true,rounding_only_difference,false,CPI-U NSA is final when released; archived BLS levels and published 12-month rate establish the decision-time state without current revised history.
2012-11,2012-12-14,230.221,226.230,,,,not_available_BLS_archive_hierarchy_complete,true,rounding_only_difference,false,CPI-U NSA is final when released; archived BLS levels and published 12-month rate establish the decision-time state without current revised history.
2012-12,2013-01-16,229.601,225.672,,,,not_available_BLS_archive_hierarchy_complete,true,rounding_only_difference,false,CPI-U NSA is final when released; archived BLS levels and published 12-month rate establish the decision-time state without current revised history.
2013-01,2013-02-21,230.280,226.665,,,,not_available_BLS_archive_hierarchy_complete,true,rounding_only_difference,false,CPI-U NSA is final when released; archived BLS levels and published 12-month rate establish the decision-time state without current revised history.
2013-02,2013-03-15,232.166,227.663,,,,not_available_BLS_archive_hierarchy_complete,true,rounding_only_difference,false,CPI-U NSA is final when released; archived BLS levels and published 12-month rate establish the decision-time state without current revised history.
2013-03,2013-04-16,232.773,229.392,,,,not_available_BLS_archive_hierarchy_complete,true,rounding_only_difference,false,CPI-U NSA is final when released; archived BLS levels and published 12-month rate establish the decision-time state without current revised history.
2013-04,2013-05-16,232.531,230.085,,,,not_available_BLS_archive_hierarchy_complete,true,rounding_only_difference,false,CPI-U NSA is final when released; archived BLS levels and published 12-month rate establish the decision-time state without current revised history.
2013-05,2013-06-18,232.945,229.815,,,,not_available_BLS_archive_hierarchy_complete,true,rounding_only_difference,false,CPI-U NSA is final when released; archived BLS levels and published 12-month rate establish the decision-time state without current revised history.
2013-06,2013-07-16,233.504,229.478,,,,not_available_BLS_archive_hierarchy_complete,true,rounding_only_difference,false,CPI-U NSA is final when released; archived BLS levels and published 12-month rate establish the decision-time state without current revised history.
2013-07,2013-08-15,233.596,229.104,,,,not_available_BLS_archive_hierarchy_complete,true,rounding_only_difference,false,CPI-U NSA is final when released; archived BLS levels and published 12-month rate establish the decision-time state without current revised history.
2013-08,2013-09-17,233.877,230.379,,,,not_available_BLS_archive_hierarchy_complete,true,rounding_only_difference,false,CPI-U NSA is final when released; archived BLS levels and published 12-month rate establish the decision-time state without current revised history.
2013-09,2013-10-30,234.149,231.407,,,,not_available_BLS_archive_hierarchy_complete,true,rounding_only_difference,false,CPI-U NSA is final when released; archived BLS levels and published 12-month rate establish the decision-time state without current revised history.
2013-10,2013-11-20,233.546,231.317,,,,not_available_BLS_archive_hierarchy_complete,true,rounding_only_difference,false,CPI-U NSA is final when released; archived BLS levels and published 12-month rate establish the decision-time state without current revised history.
