reference_month,publication_status,bls_release_date,bls_release_time_et,signal_available_timestamp,source_effective_after_close_date,release_source,release_source_locator,release_artifact_hash,cpi_all_items_nsa_level_as_published,prior_year_cpi_level,prior_year_level_source,canonical_cpi_yoy_unrounded,canonical_regime,bls_published_rounded_yoy,bls_published_rounded_regime,rounded_vs_unrounded_regime_disagreement,rebalance_event,point_in_time_safe,signal_contract_version,source_resolution_status,allocation_persistence_rule,forward_fill_used,interpolation_used,imputation_used,parent_dataset_id,parent_dataset_hash
2005-07,published_official_CPI_release,2005-08-16,,2005-08-16,2005-08-17,U.S. Bureau of Labor Statistics archived CPI news release,https://www.bls.gov/news.release/history/cpi_08162005.txt,sha256:386eb5b0c56862d60ee335483c32cc173c3ee4e7adeac5655f714e191c7b76e7,195.4,189.4,BLS_public_data_API_final_NSA_prior_year_level_as_of_archive_release,3.167898627244,high,3.2,high,false,true,true,cpi_yoy_unrounded_from_point_in_time_CPIAUCNS_levels_v2,direction_owner_source_supported_portability_interpretation,not_applicable_release_event_exists,false,false,false,phase2_public_cpi_point_in_time_v1,sha256:cac4891195e4c3054de4b680b7ddab7123dafefe25926040b4fbd32a3ee85d7e
2005-08,published_official_CPI_release,2005-09-15,,2005-09-15,2005-09-16,U.S. Bureau of Labor Statistics archived CPI news release,https://www.bls.gov/news.release/history/cpi_09152005.txt,sha256:c7d0316af222f383ddea01f2f7a2256940abb41669d970d37c8d8fa10dc1b0e4,196.4,189.5,BLS_public_data_API_final_NSA_prior_year_level_as_of_archive_release,3.641160949868,high,3.6,high,false,true,true,cpi_yoy_unrounded_from_point_in_time_CPIAUCNS_levels_v2,direction_owner_source_supported_portability_interpretation,not_applicable_release_event_exists,false,false,false,phase2_public_cpi_point_in_time_v1,sha256:cac4891195e4c3054de4b680b7ddab7123dafefe25926040b4fbd32a3ee85d7e
2005-09,published_official_CPI_release,2005-10-14,,2005-10-14,2005-10-17,U.S. Bureau of Labor Statistics archived CPI news release,https://www.bls.gov/news.release/history/cpi_10142005.txt,sha256:76e15a58a4aafd6665defa1891463f21c776b1360a40baf4fc0667cce4aa352e,198.8,189.9,BLS_public_data_API_final_NSA_prior_year_level_as_of_archive_release,4.686677198526,high,4.7,high,false,true,true,cpi_yoy_unrounded_from_point_in_time_CPIAUCNS_levels_v2,direction_owner_source_supported_portability_interpretation,not_applicable_release_event_exists,false,false,false,phase2_public_cpi_point_in_time_v1,sha256:cac4891195e4c3054de4b680b7ddab7123dafefe25926040b4fbd32a3ee85d7e
2005-10,published_official_CPI_release,2005-11-16,,2005-11-16,2005-11-17,U.S. Bureau of Labor Statistics archived CPI news release,https://www.bls.gov/news.release/history/cpi_11162005.txt,sha256:0e0aa174f5047cf875b50dba79501c507503a281602e0cad5008429f4d0ab7f5,199.2,190.9,BLS_public_data_API_final_NSA_prior_year_level_as_of_archive_release,4.347826086957,high,4.3,high,false,true,true,cpi_yoy_unrounded_from_point_in_time_CPIAUCNS_levels_v2,direction_owner_source_supported_portability_interpretation,not_applicable_release_event_exists,false,false,false,phase2_public_cpi_point_in_time_v1,sha256:cac4891195e4c3054de4b680b7ddab7123dafefe25926040b4fbd32a3ee85d7e
2005-11,published_official_CPI_release,2005-12-15,,2005-12-15,2005-12-16,U.S. Bureau of Labor Statistics archived CPI news release,https://www.bls.gov/news.release/history/cpi_12152005.txt,sha256:3fdd563d7133294e90f9589e4428be853b3e5dc69a02769f529d307e9b7e4d50,197.6,191.0,BLS_public_data_API_final_NSA_prior_year_level_as_of_archive_release,3.455497382199,high,3.5,high,false,true,true,cpi_yoy_unrounded_from_point_in_time_CPIAUCNS_levels_v2,direction_owner_source_supported_portability_interpretation,not_applicable_release_event_exists,false,false,false,phase2_public_cpi_point_in_time_v1,sha256:cac4891195e4c3054de4b680b7ddab7123dafefe25926040b4fbd32a3ee85d7e
2005-12,published_official_CPI_release,2006-01-18,,2006-01-18,2006-01-19,U.S. Bureau of Labor Statistics archived CPI news release,https://www.bls.gov/news.release/history/cpi_01182006.txt,sha256:42c86b840165e06c733b5da5703631ce0df798cb8cae1748d47cc277ec9cc20d,196.8,190.3,BLS_public_data_API_final_NSA_prior_year_level_as_of_archive_release,3.415659485024,high,3.4,high,false,true,true,cpi_yoy_unrounded_from_point_in_time_CPIAUCNS_levels_v2,direction_owner_source_supported_portability_interpretation,not_applicable_release_event_exists,false,false,false,phase2_public_cpi_point_in_time_v1,sha256:cac4891195e4c3054de4b680b7ddab7123dafefe25926040b4fbd32a3ee85d7e
2006-01,published_official_CPI_release,2006-02-22,,2006-02-22,2006-02-23,U.S. Bureau of Labor Statistics archived CPI news release,https://www.bls.gov/news.release/history/cpi_02222006.txt,sha256:a2962a3556c9954bb61991622f0e9776946a748119070bc4ea9d9a0599b610b7,198.3,190.7,BLS_public_data_API_final_NSA_prior_year_level_as_of_archive_release,3.985317252229,high,4.0,high,false,true,true,cpi_yoy_unrounded_from_point_in_time_CPIAUCNS_levels_v2,direction_owner_source_supported_portability_interpretation,not_applicable_release_event_exists,false,false,false,phase2_public_cpi_point_in_time_v1,sha256:cac4891195e4c3054de4b680b7ddab7123dafefe25926040b4fbd32a3ee85d7e
2006-02,published_official_CPI_release,2006-03-16,,2006-03-16,2006-03-17,U.S. Bureau of Labor Statistics archived CPI news release,https://www.bls.gov/news.release/history/cpi_03162006.txt,sha256:94630a8ed0c12ec21e0b8568aecaa77ab23b2020e08771b961196eb27593f508,198.7,191.8,BLS_public_data_API_final_NSA_prior_year_level_as_of_archive_release,3.597497393118,high,3.6,high,false,true,true,cpi_yoy_unrounded_from_point_in_time_CPIAUCNS_levels_v2,direction_owner_source_supported_portability_interpretation,not_applicable_release_event_exists,false,false,false,phase2_public_cpi_point_in_time_v1,sha256:cac4891195e4c3054de4b680b7ddab7123dafefe25926040b4fbd32a3ee85d7e
2006-03,published_official_CPI_release,2006-04-19,,2006-04-19,2006-04-20,U.S. Bureau of Labor Statistics archived CPI news release,https://www.bls.gov/news.release/history/cpi_04192006.txt,sha256:743c180699524c9b4a4c506b9d83daaa75200914cc9b0e0333e0d01796aab071,199.8,193.3,BLS_public_data_API_final_NSA_prior_year_level_as_of_archive_release,3.362648732540,high,3.4,high,false,true,true,cpi_yoy_unrounded_from_point_in_time_CPIAUCNS_levels_v2,direction_owner_source_supported_portability_interpretation,not_applicable_release_event_exists,false,false,false,phase2_public_cpi_point_in_time_v1,sha256:cac4891195e4c3054de4b680b7ddab7123dafefe25926040b4fbd32a3ee85d7e
2006-04,published_official_CPI_release,2006-05-17,,2006-05-17,2006-05-18,U.S. Bureau of Labor Statistics archived CPI news release,https://www.bls.gov/news.release/history/cpi_05172006.txt,sha256:49cd8443fce289e0ddeb6d2b7a606713c50e83c21b6ee71480fd070610fcabaa,201.5,194.6,BLS_public_data_API_final_NSA_prior_year_level_as_of_archive_release,3.545734840699,high,3.5,high,false,true,true,cpi_yoy_unrounded_from_point_in_time_CPIAUCNS_levels_v2,direction_owner_source_supported_portability_interpretation,not_applicable_release_event_exists,false,false,false,phase2_public_cpi_point_in_time_v1,sha256:cac4891195e4c3054de4b680b7ddab7123dafefe25926040b4fbd32a3ee85d7e
