symbol,provider,timestamp_utc,download_attempted,download_status,qa_status,first_date,last_date,row_count,error
XLK,yfinance_compatible,2026-06-19T11:15:00+00:00,True,downloaded_prior_bootstrap_run,passed,2007-01-03,2026-06-18,4896,
XLF,yfinance_compatible,2026-06-19T11:15:00+00:00,True,downloaded_prior_bootstrap_run,passed,2007-01-03,2026-06-18,4896,
XLE,yfinance_compatible,2026-06-19T11:15:00+00:00,True,downloaded_prior_bootstrap_run,passed,2007-01-03,2026-06-18,4896,
XLV,yfinance_compatible,2026-06-19T11:15:00+00:00,True,downloaded_prior_bootstrap_run,passed,2007-01-03,2026-06-18,4896,
XLY,yfinance_compatible,2026-06-19T11:15:00+00:00,True,downloaded_prior_bootstrap_run,passed,2007-01-03,2026-06-18,4896,
XLP,yfinance_compatible,2026-06-19T11:15:00+00:00,True,downloaded_prior_bootstrap_run,passed,2007-01-03,2026-06-18,4896,
XLU,yfinance_compatible,2026-06-19T11:15:00+00:00,True,downloaded_prior_bootstrap_run,passed,2007-01-03,2026-06-18,4896,
XLI,yfinance_compatible,2026-06-19T11:15:00+00:00,True,downloaded_prior_bootstrap_run,passed,2007-01-03,2026-06-18,4896,
XLB,yfinance_compatible,2026-06-19T11:15:00+00:00,True,downloaded_prior_bootstrap_run,passed,2007-01-03,2026-06-18,4896,
XLC,yfinance_compatible,2026-06-19T11:15:00+00:00,True,downloaded_prior_bootstrap_run,passed,2018-06-19,2026-06-18,2011,
QUAL,yfinance_compatible,2026-06-19T11:15:00+00:00,True,downloaded_prior_bootstrap_run,passed,2013-07-18,2026-06-18,3250,
MTUM,yfinance_compatible,2026-06-19T11:15:00+00:00,True,downloaded_prior_bootstrap_run,passed,2013-04-18,2026-06-18,3313,
VLUE,yfinance_compatible,2026-06-19T11:15:00+00:00,True,downloaded_prior_bootstrap_run,passed,2013-04-18,2026-06-18,3313,
VTV,yfinance_compatible,2026-06-19T11:15:00+00:00,True,downloaded_prior_bootstrap_run,passed,2007-01-03,2026-06-18,4896,
