symbol,qa_status,first_date,last_date,row_count,warmup_sufficiency,exploratory_non_institutional_not_real_money_ready,institutional_grade_data,notes
SPY,passed,2007-01-03,2026-06-18,4896,True,True,False,basic QA passed
QQQ,passed,2007-01-03,2026-06-18,4896,True,True,False,basic QA passed
BIL,passed,2007-05-30,2026-06-18,4795,True,True,False,basic QA passed
GLD,passed,2007-01-03,2026-06-18,4896,True,True,False,basic QA passed
IEF,passed,2007-01-03,2026-06-18,4896,True,True,False,basic QA passed
TLT,passed,2007-01-03,2026-06-18,4896,True,True,False,basic QA passed
AGG,passed,2007-01-03,2026-06-18,4896,True,True,False,basic QA passed
XLK,passed,2007-01-03,2026-06-18,4896,True,True,False,basic QA passed
XLF,passed,2007-01-03,2026-06-18,4896,True,True,False,basic QA passed
XLE,passed,2007-01-03,2026-06-18,4896,True,True,False,basic QA passed
XLV,passed,2007-01-03,2026-06-18,4896,True,True,False,basic QA passed
XLY,passed,2007-01-03,2026-06-18,4896,True,True,False,basic QA passed
XLP,passed,2007-01-03,2026-06-18,4896,True,True,False,basic QA passed
XLU,passed,2007-01-03,2026-06-18,4896,True,True,False,basic QA passed
XLI,passed,2007-01-03,2026-06-18,4896,True,True,False,basic QA passed
XLB,passed,2007-01-03,2026-06-18,4896,True,True,False,basic QA passed
XLC,passed,2018-06-19,2026-06-18,2011,True,True,False,basic QA passed
SPLV,passed,2011-05-05,2026-06-18,3803,True,True,False,basic QA passed
USMV,passed,2011-10-20,2026-06-18,3686,True,True,False,basic QA passed
QUAL,passed,2013-07-18,2026-06-18,3250,True,True,False,basic QA passed
MTUM,passed,2013-04-18,2026-06-18,3313,True,True,False,basic QA passed
VLUE,passed,2013-04-18,2026-06-18,3313,True,True,False,basic QA passed
VTV,passed,2007-01-03,2026-06-18,4896,True,True,False,basic QA passed
EFA,passed,2007-01-03,2026-06-18,4896,True,True,False,basic QA passed
EEM,passed,2007-01-03,2026-06-18,4896,True,True,False,basic QA passed
IWM,passed,2007-01-03,2026-06-18,4896,True,True,False,basic QA passed
DBMF,passed,2019-05-08,2026-06-18,1789,True,True,False,basic QA passed
KMLM,passed,2020-12-02,2026-06-18,1392,True,True,False,basic QA passed
CTA,passed,2022-03-08,2026-06-18,1075,True,True,False,basic QA passed
FMF,passed,2013-08-02,2026-06-18,3239,True,True,False,basic QA passed
WTMF,passed,2011-01-05,2026-06-18,3886,True,True,False,basic QA passed
SCHD,passed,2011-10-20,2026-06-18,3686,True,True,False,basic QA passed
VIG,passed,2007-01-03,2026-06-18,4896,True,True,False,basic QA passed
DGRO,passed,2014-06-12,2026-06-18,3023,True,True,False,basic QA passed
HYG,passed,2007-04-11,2026-06-18,4829,True,True,False,basic QA passed
LQD,passed,2007-01-03,2026-06-18,4896,True,True,False,basic QA passed
EMB,passed,2007-12-19,2026-06-18,4653,True,True,False,basic QA passed
DBC,missing,,,0,False,True,False,cache missing
