variant_name,slippage_label,horizon_trading_days,start_date,end_date,final_equity,total_return,max_equity,min_equity,max_drawdown_dollars,max_drawdown_pct,target_300_hit,target_300_before_any_stop,target_300_first_date,target_300_trading_days,target_400_hit,target_400_before_any_stop,target_400_first_date,target_400_trading_days,absolute_floor_stop_hit,trailing_drawdown_stop_hit,any_project_stop_hit,first_project_stop_date,first_project_stop_type,number_of_trades,number_of_skipped_signals,strategies_killed,best_strategy_by_pnl,worst_strategy_by_pnl,ending_open_positions_count,possible_window_count,window_sampling_method
evidence_inverse_vol_defensive,standard,180,2008-01-03,2008-09-18,2857.195947666935,-0.047601350777688345,3056.0026111941384,2857.195947666935,-198.80666352720345,-0.06505448090881027,False,False,,,False,False,,,False,False,False,,,19,11,N4_inverse_vol_defensive_allocation,N4_inverse_vol_defensive_allocation,N4_inverse_vol_defensive_allocation,0,4451,deterministic_stratified_sample
evidence_inverse_vol_defensive,standard,180,2008-01-16,2008-10-01,2857.195947666935,-0.047601350777688345,3056.0026111941384,2857.195947666935,-198.80666352720345,-0.06505448090881027,False,False,,,False,False,,,False,False,False,,,19,14,N4_inverse_vol_defensive_allocation,N4_inverse_vol_defensive_allocation,N4_inverse_vol_defensive_allocation,0,4451,deterministic_stratified_sample
evidence_inverse_vol_defensive,standard,180,2008-01-22,2008-10-06,2857.195947666935,-0.047601350777688345,3056.0026111941384,2857.195947666935,-198.80666352720345,-0.06505448090881027,False,False,,,False,False,,,False,False,False,,,19,14,N4_inverse_vol_defensive_allocation,N4_inverse_vol_defensive_allocation,N4_inverse_vol_defensive_allocation,0,4451,deterministic_stratified_sample
evidence_inverse_vol_defensive,standard,180,2008-01-30,2008-10-14,2857.195947666935,-0.047601350777688345,3056.0026111941384,2857.195947666935,-198.80666352720345,-0.06505448090881027,False,False,,,False,False,,,False,False,False,,,19,14,N4_inverse_vol_defensive_allocation,N4_inverse_vol_defensive_allocation,N4_inverse_vol_defensive_allocation,0,4451,deterministic_stratified_sample
evidence_inverse_vol_defensive,standard,180,2008-02-01,2008-10-16,2855.699913256486,-0.0481000289145046,3054.4024811545805,2855.699913256486,-198.70256789809446,-0.06505448090881061,False,False,,,False,False,,,False,False,False,,,15,14,N4_inverse_vol_defensive_allocation,N4_inverse_vol_defensive_allocation,N4_inverse_vol_defensive_allocation,0,4451,deterministic_stratified_sample
evidence_inverse_vol_defensive,standard,180,2008-02-07,2008-10-22,2855.699913256486,-0.0481000289145046,3054.4024811545805,2855.699913256486,-198.70256789809446,-0.06505448090881061,False,False,,,False,False,,,False,False,False,,,15,14,N4_inverse_vol_defensive_allocation,N4_inverse_vol_defensive_allocation,N4_inverse_vol_defensive_allocation,0,4451,deterministic_stratified_sample
evidence_inverse_vol_defensive,standard,180,2008-02-12,2008-10-27,2855.699913256486,-0.0481000289145046,3054.4024811545805,2855.699913256486,-198.70256789809446,-0.06505448090881061,False,False,,,False,False,,,False,False,False,,,15,14,N4_inverse_vol_defensive_allocation,N4_inverse_vol_defensive_allocation,N4_inverse_vol_defensive_allocation,0,4451,deterministic_stratified_sample
evidence_inverse_vol_defensive,standard,180,2008-02-26,2008-11-07,2855.699913256486,-0.0481000289145046,3054.4024811545805,2855.699913256486,-198.70256789809446,-0.06505448090881061,False,False,,,False,False,,,False,False,False,,,15,17,N4_inverse_vol_defensive_allocation,N4_inverse_vol_defensive_allocation,N4_inverse_vol_defensive_allocation,0,4451,deterministic_stratified_sample
evidence_inverse_vol_defensive,standard,180,2008-03-06,2008-11-18,2856.1674984573674,-0.04794416718087757,3027.0151769642366,2856.1674984573674,-170.84767850686922,-0.05644097188776265,False,False,,,False,False,,,False,False,False,,,11,17,N4_inverse_vol_defensive_allocation,N4_inverse_vol_defensive_allocation,N4_inverse_vol_defensive_allocation,0,4451,deterministic_stratified_sample
evidence_inverse_vol_defensive,standard,180,2008-03-10,2008-11-20,2856.1674984573674,-0.04794416718087757,3027.0151769642366,2856.1674984573674,-170.84767850686922,-0.05644097188776265,False,False,,,False,False,,,False,False,False,,,11,17,N4_inverse_vol_defensive_allocation,N4_inverse_vol_defensive_allocation,N4_inverse_vol_defensive_allocation,0,4451,deterministic_stratified_sample
evidence_inverse_vol_defensive,standard,180,2008-03-13,2008-11-25,2856.1674984573674,-0.04794416718087757,3027.0151769642366,2856.1674984573674,-170.84767850686922,-0.05644097188776265,False,False,,,False,False,,,False,False,False,,,11,17,N4_inverse_vol_defensive_allocation,N4_inverse_vol_defensive_allocation,N4_inverse_vol_defensive_allocation,0,4451,deterministic_stratified_sample
evidence_inverse_vol_defensive,standard,180,2008-03-19,2008-12-02,2856.1674984573674,-0.04794416718087757,3027.0151769642366,2856.1674984573674,-170.84767850686922,-0.05644097188776265,False,False,,,False,False,,,False,False,False,,,11,20,N4_inverse_vol_defensive_allocation,N4_inverse_vol_defensive_allocation,N4_inverse_vol_defensive_allocation,0,4451,deterministic_stratified_sample
evidence_inverse_vol_defensive,standard,180,2008-03-24,2008-12-04,2856.1674984573674,-0.04794416718087757,3027.0151769642366,2856.1674984573674,-170.84767850686922,-0.05644097188776265,False,False,,,False,False,,,False,False,False,,,11,20,N4_inverse_vol_defensive_allocation,N4_inverse_vol_defensive_allocation,N4_inverse_vol_defensive_allocation,0,4451,deterministic_stratified_sample
evidence_inverse_vol_defensive,standard,180,2008-04-01,2008-12-12,3029.971850629359,0.009990616876452973,3043.7770822662605,2892.0330131277137,-138.6619612357622,-0.04575252950517883,False,False,,,False,False,,,False,False,False,,,24,3,,N4_inverse_vol_defensive_allocation,N4_inverse_vol_defensive_allocation,0,4451,deterministic_stratified_sample
evidence_inverse_vol_defensive,standard,180,2008-04-03,2008-12-16,3052.457643925437,0.017485881308479057,3052.457643925437,2892.0330131277137,-138.6619612357622,-0.04575252950517883,False,False,,,False,False,,,False,False,False,,,24,3,,N4_inverse_vol_defensive_allocation,N4_inverse_vol_defensive_allocation,0,4451,deterministic_stratified_sample
