variant_name,slippage_label,horizon_trading_days,start_date,end_date,final_equity,total_return,max_equity,min_equity,max_drawdown_dollars,max_drawdown_pct,target_300_hit,target_300_before_any_stop,target_300_first_date,target_300_trading_days,target_400_hit,target_400_before_any_stop,target_400_first_date,target_400_trading_days,absolute_floor_stop_hit,trailing_drawdown_stop_hit,any_project_stop_hit,first_project_stop_date,first_project_stop_type,number_of_trades,number_of_skipped_signals,strategies_killed,best_strategy_by_pnl,worst_strategy_by_pnl,ending_open_positions_count,possible_window_count,window_sampling_method
evidence_core_combo,standard,180,2008-01-03,2008-09-18,2856.4353352295366,-0.04785488825682116,3008.1445471443503,2742.688066743694,-265.45648040065635,-0.08824591911736945,False,False,,,False,False,,,False,False,False,,,24,8,,N2_absolute_trend_taa,N1_dual_momentum_taa,0,4451,deterministic_stratified_sample
evidence_core_combo,standard,180,2008-01-16,2008-10-01,2788.8627217016547,-0.07037909276611509,3008.1445471443503,2742.688066743694,-265.45648040065635,-0.08824591911736945,False,False,,,False,False,,,False,False,False,,,26,10,,N2_absolute_trend_taa,N1_dual_momentum_taa,0,4451,deterministic_stratified_sample
evidence_core_combo,standard,180,2008-01-22,2008-10-06,2847.925267824422,-0.050691577391859366,3008.1445471443503,2742.688066743694,-265.45648040065635,-0.08824591911736945,False,False,,,False,False,,,False,False,False,,,26,10,,N2_absolute_trend_taa,N1_dual_momentum_taa,0,4451,deterministic_stratified_sample
evidence_core_combo,standard,180,2008-01-30,2008-10-14,2744.610276993506,-0.08512990766883133,3008.1445471443503,2742.688066743694,-265.45648040065635,-0.08824591911736945,False,False,,,False,False,,,False,False,False,,,26,10,,N2_absolute_trend_taa,N1_dual_momentum_taa,0,4451,deterministic_stratified_sample
evidence_core_combo,standard,180,2008-02-01,2008-10-16,2783.3404738014387,-0.07221984206618703,3053.9081247409613,2774.058614689159,-279.8495100518021,-0.09163651905066383,False,False,,,False,False,,,False,False,False,,,23,9,,N2_absolute_trend_taa,N1_dual_momentum_taa,0,4451,deterministic_stratified_sample
evidence_core_combo,standard,180,2008-02-07,2008-10-22,2811.9501023570765,-0.06268329921430782,3053.9081247409613,2774.058614689159,-279.8495100518021,-0.09163651905066383,False,False,,,False,False,,,False,False,False,,,23,9,,N2_absolute_trend_taa,N1_dual_momentum_taa,0,4451,deterministic_stratified_sample
evidence_core_combo,standard,180,2008-02-12,2008-10-27,2808.0070483803656,-0.06399765053987816,3053.9081247409613,2774.058614689159,-279.8495100518021,-0.09163651905066383,False,False,,,False,False,,,False,False,False,,,23,9,,N2_absolute_trend_taa,N1_dual_momentum_taa,0,4451,deterministic_stratified_sample
evidence_core_combo,standard,180,2008-02-26,2008-11-07,2802.7087282918596,-0.06576375723604677,3053.9081247409613,2774.058614689159,-279.8495100518021,-0.09163651905066383,False,False,,,False,False,,,False,False,False,,,25,11,,N2_absolute_trend_taa,N1_dual_momentum_taa,0,4451,deterministic_stratified_sample
evidence_core_combo,standard,180,2008-03-06,2008-11-18,2895.687465202934,-0.03477084493235527,3046.7901403683404,2830.6170590387615,-216.17308132957896,-0.070951089957067,False,False,,,False,False,,,False,False,False,,,22,10,,N2_absolute_trend_taa,N1_dual_momentum_taa,0,4451,deterministic_stratified_sample
evidence_core_combo,standard,180,2008-03-10,2008-11-20,2936.2203588480907,-0.021259880383969754,3046.7901403683404,2830.6170590387615,-216.17308132957896,-0.070951089957067,False,False,,,False,False,,,False,False,False,,,22,10,,N1_dual_momentum_taa,N2_absolute_trend_taa,0,4451,deterministic_stratified_sample
