lane,strategy,leverage_multiplier,standard_or_stress,unconditional_final_equity,stop_enforced_final_equity,stop_enforced_penalty,absolute_floor_stop_hit,trailing_drawdown_stop_hit,any_project_stop_hit,first_project_stop_date,first_project_stop_type,target_300_before_stop,target_400_before_stop,max_drawdown_dollars,max_drawdown_pct,result_interpretation
etf_validated_lane,current_no_cash_proxy_alpha_AB,1.0,standard,3392.201266116984,3402.011905114574,-9.810638997590104,False,True,True,2016-01-04,trailing_drawdown,True,True,-609.8106389975896,-0.1523760182267952,Stop-enforced result is more relevant than final-date recovery.
etf_validated_lane,current_no_cash_proxy_alpha_AB,1.0,stress,3239.9316755965556,3264.3987370391933,-24.467061442637714,False,True,True,2015-12-03,trailing_drawdown,True,True,-624.4670614426359,-0.161594882913425,Stop-enforced result is more relevant than final-date recovery.
etf_validated_lane,current_core_only_AB,1.0,standard,3305.9478457759783,3307.224537033232,-1.2766912572537876,False,True,True,2016-05-17,trailing_drawdown,True,True,-601.276691257252,-0.1538884406458512,Stop-enforced result is more relevant than final-date recovery.
etf_validated_lane,current_core_only_AB,1.0,stress,3159.6287668532505,3166.8679037572547,-7.239136904004226,False,True,True,2016-04-25,trailing_drawdown,True,True,-607.2391369040033,-0.1612053176322732,Stop-enforced result is more relevant than final-date recovery.
etf_validated_lane,current_momentum_only_A,1.0,standard,3409.440841137106,3410.2622537586967,-0.8214126215907527,False,True,True,2016-05-04,trailing_drawdown,True,True,-600.8214126215898,-0.1498209779319191,Stop-enforced result is more relevant than final-date recovery.
etf_validated_lane,current_momentum_only_A,1.0,stress,3268.951773593808,3271.667469057493,-2.715695463684824,False,True,True,2016-03-14,trailing_drawdown,True,True,-602.7156954636844,-0.1556734146929224,Stop-enforced result is more relevant than final-date recovery.
etf_benchmark,SPY_buy_hold,1.0,standard,5010.15508199935,2400.0,2610.15508199935,True,True,True,,absolute_floor,False,False,-1555.5145367663442,-0.5185048455887814,Stop-enforced result is more relevant than final-date recovery.
etf_benchmark,BIL_cash_proxy,1.0,standard,3043.2981690952124,3043.2981690952124,0.0,False,False,False,,,False,False,-23.68932722612544,-0.0077267560464245,No selected project stop hit in this summary.
etf_benchmark,SPY_200d_trend_model,1.0,standard,10872.794323983217,5896.3828320865,4976.411491896717,False,True,True,,trailing_drawdown,True,True,-629.3048021420045,-0.096870030355013,Stop-enforced result is more relevant than final-date recovery.
crypto_spot_momentum,BTC_buy_hold,1.0,standard,16203.613106028823,3203.1665680656724,13000.446537963151,True,True,True,2018-01-09,trailing_drawdown,True,True,-13617.84323156678,-0.8153271113852913,Stop-enforced result is more relevant than final-date recovery.
simulated_leverage_scenario,BTC_buy_hold,1.5,standard,7762.493487394988,3462.17330909362,4300.320178301368,True,True,True,2018-01-08,trailing_drawdown,True,True,-12063.841022983666,-0.9388519030145902,Stop-enforced result is more relevant than final-date recovery.
simulated_leverage_scenario,BTC_buy_hold,2.0,standard,1012.8060508815314,3569.8225009649327,-2557.016450083401,True,True,True,2018-01-08,trailing_drawdown,True,True,-5562.15697622001,-0.9867820255409341,Stop-enforced result is more relevant than final-date recovery.
crypto_spot_momentum,ETH_buy_hold,1.0,standard,7859.808635803201,4087.6789901723732,3772.1296456308273,True,True,True,2018-01-16,trailing_drawdown,True,True,-14813.276440707225,-0.9396254038538313,Stop-enforced result is more relevant than final-date recovery.
simulated_leverage_scenario,ETH_buy_hold,1.5,standard,953.4569387549438,5350.308214579455,-4396.8512758245115,True,True,True,2018-01-11,trailing_drawdown,True,True,-8671.554621772693,-0.9915699850444797,Stop-enforced result is more relevant than final-date recovery.
simulated_leverage_scenario,ETH_buy_hold,2.0,standard,12.742557190502593,6298.698288895799,-6285.955731705297,True,True,True,2018-01-11,trailing_drawdown,True,True,-9051.31294432202,-0.9996714459042596,Stop-enforced result is more relevant than final-date recovery.
crypto_spot_momentum,crypto_buy_hold_equal_weight,1.0,standard,13631.22962097375,2332.791886831467,11298.437734142284,True,True,True,2018-02-04,absolute_floor,False,False,-14868.296730511116,-0.8407066400473499,Stop-enforced result is more relevant than final-date recovery.
simulated_leverage_scenario,crypto_buy_hold_equal_weight,1.5,standard,4570.157519361164,2298.0070766397916,2272.1504427213727,True,True,True,2018-02-02,absolute_floor,False,False,-13288.646008103164,-0.9512387057322645,Stop-enforced result is more relevant than final-date recovery.
simulated_leverage_scenario,crypto_buy_hold_equal_weight,2.0,standard,321.5051537993657,2081.4604296319267,-1759.955275832561,True,True,True,2018-02-02,absolute_floor,False,False,-4552.076768380889,-0.9931627021028973,Stop-enforced result is more relevant than final-date recovery.
crypto_spot_momentum,crypto_time_series_momentum,1.0,standard,28885.46845298727,4238.299992532238,24647.168460455032,True,True,True,2019-06-09,trailing_drawdown,True,True,-19215.844050937,-0.6424906679166281,Stop-enforced result is more relevant than final-date recovery.
simulated_leverage_scenario,crypto_time_series_momentum,1.5,standard,29208.740318658627,4912.532363143406,24296.207955515223,True,True,True,2019-05-17,trailing_drawdown,True,True,-44297.151838284524,-0.8398114985756611,Stop-enforced result is more relevant than final-date recovery.
simulated_leverage_scenario,crypto_time_series_momentum,2.0,standard,9549.458097841138,5605.7279817354,3943.7301161057376,True,True,True,2019-05-17,trailing_drawdown,True,True,-43451.60538029736,-0.9562061070980945,Stop-enforced result is more relevant than final-date recovery.
crypto_spot_momentum,crypto_cross_sectional_momentum,1.0,standard,35275.74280980671,2349.3803323063958,32926.36247750031,True,True,True,2018-11-14,absolute_floor,False,False,-48034.4874644582,-0.7822035090133698,Stop-enforced result is more relevant than final-date recovery.
simulated_leverage_scenario,crypto_cross_sectional_momentum,1.5,standard,31265.628567486747,2374.148620929997,28891.47994655675,True,True,True,2018-07-10,absolute_floor,False,False,-125617.09640066442,-0.9266008632528093,Stop-enforced result is more relevant than final-date recovery.
simulated_leverage_scenario,crypto_cross_sectional_momentum,2.0,standard,7626.2718472160805,2264.391030923097,5361.880816292984,True,True,True,2018-05-11,absolute_floor,False,False,-132207.7500625906,-0.9808913776729756,Stop-enforced result is more relevant than final-date recovery.
crypto_spot_momentum,crypto_dual_momentum_cash_filter,1.0,standard,63227.353034982625,4443.36308966382,58783.989945318805,False,True,True,2019-06-04,trailing_drawdown,True,True,-36248.198429371245,-0.6405730186573844,Stop-enforced result is more relevant than final-date recovery.
simulated_leverage_scenario,crypto_dual_momentum_cash_filter,1.5,standard,83631.71756156973,4917.6354212486995,78714.08214032103,False,True,True,2019-05-17,trailing_drawdown,True,True,-105292.17455085076,-0.83243552691817,Stop-enforced result is more relevant than final-date recovery.
simulated_leverage_scenario,crypto_dual_momentum_cash_filter,2.0,standard,32975.76759064743,5623.519967726846,27352.247622920586,True,True,True,2019-05-17,trailing_drawdown,True,True,-124244.00276056278,-0.9393432080352517,Stop-enforced result is more relevant than final-date recovery.
crypto_spot_momentum,BTC_buy_hold,1.0,stress,16174.04476724952,3197.3214325621716,12976.723334687347,True,True,True,2018-01-09,trailing_drawdown,True,True,-13592.99340335382,-0.8153271113852912,Stop-enforced result is more relevant than final-date recovery.
simulated_leverage_scenario,BTC_buy_hold,1.5,stress,7731.937784958815,3448.545067396958,4283.392717561857,True,True,True,2018-01-08,trailing_drawdown,True,True,-12016.35381579517,-0.9388519030145903,Stop-enforced result is more relevant than final-date recovery.
simulated_leverage_scenario,BTC_buy_hold,2.0,stress,1005.9961429757989,3545.819719336405,-2539.8235763606062,True,True,True,2018-01-08,trailing_drawdown,True,True,-5524.758130969914,-0.9867820255409342,Stop-enforced result is more relevant than final-date recovery.
crypto_spot_momentum,ETH_buy_hold,1.0,stress,7846.064135698688,4080.530838491954,3765.533297206734,True,True,True,2018-01-16,trailing_drawdown,True,True,-14787.372364791154,-0.9396254038538314,Stop-enforced result is more relevant than final-date recovery.
simulated_leverage_scenario,ETH_buy_hold,1.5,stress,949.9248465423518,5330.487936167776,-4380.563089625424,True,True,True,2018-01-11,trailing_drawdown,True,True,-8639.430747787745,-0.9915699850444798,Stop-enforced result is more relevant than final-date recovery.
simulated_leverage_scenario,ETH_buy_hold,2.0,stress,12.66323754874768,6259.490264609236,-6246.827027060488,True,True,True,2018-01-11,trailing_drawdown,True,True,-8994.970493633136,-0.9996714459042595,Stop-enforced result is more relevant than final-date recovery.
crypto_spot_momentum,crypto_buy_hold_equal_weight,1.0,stress,13601.309029194224,2327.6714013218507,11273.637627872373,True,True,True,2018-02-04,absolute_floor,False,False,-14835.660772545443,-0.8410562894721527,Stop-enforced result is more relevant than final-date recovery.
simulated_leverage_scenario,crypto_buy_hold_equal_weight,1.5,stress,4546.407452650667,2286.0648577687407,2260.3425948819267,True,True,True,2018-02-02,absolute_floor,False,False,-13219.587944382713,-0.9514921070618342,Stop-enforced result is more relevant than final-date recovery.
simulated_leverage_scenario,crypto_buy_hold_equal_weight,2.0,stress,318.36890704687505,2061.156016356662,-1742.787109309787,True,True,True,2018-02-02,absolute_floor,False,False,-4507.6717695396455,-0.9932293991778033,Stop-enforced result is more relevant than final-date recovery.
crypto_spot_momentum,crypto_time_series_momentum,1.0,stress,26131.666065918238,4230.023251045217,21901.64281487302,True,True,True,2019-06-09,trailing_drawdown,True,True,-19015.44900775728,-0.6509402954932743,Stop-enforced result is more relevant than final-date recovery.
