run_id,lane,strategy,leverage_multiplier,standard_or_stress,horizon,rolling_method,number_of_windows,possible_window_count,sampled_results_are_final,pct_target_300_hit,pct_target_300_before_stop,pct_target_400_hit,pct_target_400_before_stop,pct_any_project_stop_hit,pct_absolute_floor_stop_hit,pct_trailing_drawdown_stop_hit,median_final_equity,median_stop_enforced_final_equity,mean_stop_enforced_final_equity,median_max_drawdown,worst_max_drawdown,pct_positive_return,pct_loss,pct_below_2400,pct_above_3300,pct_above_3400,rolling_metric_quality,rolling_notes
20260531_151218,etf_validated_lane,current_core_only_AB,1.0,standard,90,deterministic_stratified_sample,500,4541,False,0.104,0.104,0.042,0.042,0.0,0.0,0.0,3009.7026631778367,3009.7026631778367,3037.7970703787887,-128.5115851623998,-341.37262661437035,0.518,0.41,0.0,0.056,0.018,sampled_existing_summary,Loaded from existing ETF independent rolling summary; not recomputed by compact challenge audit.
20260531_151218,etf_validated_lane,current_core_only_AB,1.0,standard,180,deterministic_stratified_sample,500,4451,False,0.156,0.156,0.068,0.068,0.0,0.0,0.0,3000.0,3000.0,3030.970836768672,-188.73568500212605,-443.67370008246735,0.48,0.488,0.0,0.074,0.04,sampled_existing_summary,Loaded from existing ETF independent rolling summary; not recomputed by compact challenge audit.
20260531_151218,etf_validated_lane,current_core_only_AB,1.0,stress,90,deterministic_stratified_sample,500,4541,False,0.086,0.086,0.042,0.042,0.0,0.0,0.0,3000.0,3000.0,3018.778679729345,-147.3467697110675,-342.54354166498615,0.47,0.458,0.0,0.042,0.016,sampled_existing_summary,Loaded from existing ETF independent rolling summary; not recomputed by compact challenge audit.
20260531_151218,etf_validated_lane,current_core_only_AB,1.0,stress,180,deterministic_stratified_sample,500,4451,False,0.168,0.168,0.06,0.06,0.0,0.0,0.0,2978.093629798968,2978.093629798968,3000.490047398167,-213.40486010826496,-447.8604894568748,0.434,0.534,0.0,0.068,0.018,sampled_existing_summary,Loaded from existing ETF independent rolling summary; not recomputed by compact challenge audit.
20260531_151218,etf_validated_lane,current_momentum_only_A,1.0,standard,90,deterministic_stratified_sample,500,4541,False,0.004,0.004,0.0,0.0,0.0,0.0,0.0,3011.3250960392593,3011.3250960392593,3019.480037130987,-98.50143319056929,-258.5176468067957,0.544,0.366,0.0,0.0,0.0,sampled_existing_summary,Loaded from existing ETF independent rolling summary; not recomputed by compact challenge audit.
20260531_151218,etf_validated_lane,current_momentum_only_A,1.0,standard,180,deterministic_stratified_sample,500,4451,False,0.108,0.108,0.012,0.012,0.0,0.0,0.0,3000.1749820594564,3000.1749820594564,3028.7727969001357,-144.57447684635827,-269.8777418353393,0.5,0.468,0.0,0.048,0.006,sampled_existing_summary,Loaded from existing ETF independent rolling summary; not recomputed by compact challenge audit.
20260531_151218,etf_validated_lane,current_momentum_only_A,1.0,stress,90,deterministic_stratified_sample,500,4541,False,0.004,0.004,0.0,0.0,0.0,0.0,0.0,3000.0,3000.0,3004.9231367333314,-103.9155274604775,-265.17637256215085,0.448,0.462,0.0,0.0,0.0,sampled_existing_summary,Loaded from existing ETF independent rolling summary; not recomputed by compact challenge audit.
20260531_151218,etf_validated_lane,current_momentum_only_A,1.0,stress,180,deterministic_stratified_sample,500,4451,False,0.086,0.086,0.004,0.004,0.0,0.0,0.0,2967.0144809764347,2967.0144809764347,2997.3358671361875,-152.85661358093012,-288.06506658948,0.384,0.584,0.0,0.034,0.004,sampled_existing_summary,Loaded from existing ETF independent rolling summary; not recomputed by compact challenge audit.
20260531_151218,etf_validated_lane,current_no_cash_proxy_alpha_AB,1.0,standard,90,deterministic_stratified_sample,500,4541,False,0.186,0.186,0.048,0.048,0.0,0.0,0.0,3044.6855368332967,3044.6855368332967,3070.762834024583,-151.0928743684974,-341.37262661437035,0.592,0.336,0.0,0.098,0.022,sampled_existing_summary,Loaded from existing ETF independent rolling summary; not recomputed by compact challenge audit.
20260531_151218,etf_validated_lane,current_no_cash_proxy_alpha_AB,1.0,standard,180,deterministic_stratified_sample,500,4451,False,0.254,0.254,0.138,0.138,0.0,0.0,0.0,3090.122882435435,3090.122882435435,3091.571594081574,-184.06647101933663,-443.67370008246735,0.66,0.308,0.0,0.156,0.082,sampled_existing_summary,Loaded from existing ETF independent rolling summary; not recomputed by compact challenge audit.
