rank_overall,rank_target_300,rank_target_400,rank_risk_control,lane,strategy,leverage_multiplier,standard_or_stress,pct_90d_target_300_before_stop,pct_90d_target_400_before_stop,pct_90d_any_stop_hit,stop_enforced_final_equity,stress_result_available,stress_degradation_pct,benchmark_relative_result,credibility_tier,audit_verdict,stop_enforced_metric_quality,benchmark_comparison_available,benchmark_comparison_notes,ranking_penalty_notes,reason
1,21,21,1,etf_validated_lane,current_no_cash_proxy_alpha_AB,1.0,standard,0.186,0.048,0.0,3402.011905114574,True,-0.04045052513440456,402.0119051145739,ETF evidence lane; not a real-money recommendation,watchlist,approximate,True,"SPY_buy_hold, SPY_200d_trend_model, and BIL_cash_proxy 90-day rows available.",90d +300 before stop 18.6%; 90d stop hit 0.0%; 90d +400 before stop 4.8%; approximate stop-enforced metric penalty,90d +300 before stop 18.6%; 90d stop hit 0.0%; 90d +400 before stop 4.8%; approximate stop-enforced metric penalty
2,22,22,2,etf_validated_lane,current_core_only_AB,1.0,standard,0.104,0.042,0.0,3307.224537033232,True,-0.04243940249726293,307.2245370332321,ETF evidence lane; not a real-money recommendation,watchlist,approximate,True,"SPY_buy_hold, SPY_200d_trend_model, and BIL_cash_proxy 90-day rows available.",90d +300 before stop 10.4%; 90d stop hit 0.0%; 90d +400 before stop 4.2%; approximate stop-enforced metric penalty,90d +300 before stop 10.4%; 90d stop hit 0.0%; 90d +400 before stop 4.2%; approximate stop-enforced metric penalty
3,24,24,4,etf_benchmark,BIL_cash_proxy,1.0,standard,0.0,0.0,0.0,3870.8587865925588,True,-0.0005002501250714692,870.8587865925588,ETF benchmark,benchmark_only,exact,True,"SPY_buy_hold, SPY_200d_trend_model, and BIL_cash_proxy 90-day rows available.",90d +300 before stop 0.0%; 90d stop hit 0.0%,90d +300 before stop 0.0%; 90d stop hit 0.0%
4,23,23,3,etf_validated_lane,current_momentum_only_A,1.0,standard,0.004,0.0,0.0,3410.2622537586967,True,-0.04064050632717428,410.2622537586967,ETF evidence lane; not a real-money recommendation,watchlist,approximate,True,"SPY_buy_hold, SPY_200d_trend_model, and BIL_cash_proxy 90-day rows available.",90d +300 before stop 0.4%; 90d stop hit 0.0%; approximate stop-enforced metric penalty,90d +300 before stop 0.4%; 90d stop hit 0.0%; approximate stop-enforced metric penalty
5,20,20,5,etf_benchmark,SPY_200d_trend_model,1.0,standard,0.228,0.082,0.002,2966.663066194596,True,-0.021295588367675332,-33.33693380540399,ETF benchmark,benchmark_only,exact,True,"SPY_buy_hold, SPY_200d_trend_model, and BIL_cash_proxy 90-day rows available.",90d +300 before stop 22.8%; 90d stop hit 0.2%; 90d +400 before stop 8.2%; large recovery after stop warning,90d +300 before stop 22.8%; 90d stop hit 0.2%; 90d +400 before stop 8.2%; large recovery after stop warning
6,19,19,6,etf_benchmark,SPY_buy_hold,1.0,standard,0.338,0.186,0.156,2752.9007161024706,True,-0.0004991904627668591,-247.0992838975294,ETF benchmark,benchmark_only,exact,True,"SPY_buy_hold, SPY_200d_trend_model, and BIL_cash_proxy 90-day rows available.",90d +300 before stop 33.8%; 90d stop hit 15.6%; 90d +400 before stop 18.6%; large recovery after stop warning,90d +300 before stop 33.8%; 90d stop hit 15.6%; 90d +400 before stop 18.6%; large recovery after stop warning
7,16,16,7,crypto_spot_momentum,crypto_time_series_momentum,1.0,standard,0.48,0.44,0.332,4238.299992532238,True,-0.001952844655075085,1238.2999925322383,Tier 1 exploratory screen,exploratory_only,exact,True,"SPY_buy_hold, SPY_200d_trend_model, and BIL_cash_proxy 90-day rows available.",90d +300 before stop 48.0%; 90d stop hit 33.2%; 90d +400 before stop 44.0%; Tier 1 exploratory penalty; large recovery after stop warning,90d +300 before stop 48.0%; 90d stop hit 33.2%; 90d +400 before stop 44.0%; Tier 1 exploratory penalty; large recovery after stop warning
8,1,1,21,simulated_leverage_scenario,crypto_buy_hold_equal_weight,2.0,standard,0.716,0.648,0.944,2081.4604296319267,True,-0.009754887955691424,-918.5395703680733,Tier 1 exploratory screen; approximate simulated leverage,too_risky,exact,True,"SPY_buy_hold, SPY_200d_trend_model, and BIL_cash_proxy 90-day rows available.",90d +300 before stop 71.6%; 90d stop hit 94.4%; 90d +400 before stop 64.8%; Tier 1 exploratory penalty; approximate leverage penalty,90d +300 before stop 71.6%; 90d stop hit 94.4%; 90d +400 before stop 64.8%; Tier 1 exploratory penalty; approximate leverage penalty
9,18,18,8,crypto_spot_momentum,crypto_dual_momentum_cash_filter,1.0,standard,0.476,0.432,0.392,4443.36308966382,True,-0.0019675753779656692,1443.3630896638197,Tier 1 exploratory screen,exploratory_only,exact,True,"SPY_buy_hold, SPY_200d_trend_model, and BIL_cash_proxy 90-day rows available.",90d +300 before stop 47.6%; 90d stop hit 39.2%; 90d +400 before stop 43.2%; Tier 1 exploratory penalty; large recovery after stop warning,90d +300 before stop 47.6%; 90d stop hit 39.2%; 90d +400 before stop 43.2%; Tier 1 exploratory penalty; large recovery after stop warning
10,2,6,18,crypto_spot_momentum,ETH_buy_hold,1.0,standard,0.68,0.6,0.816,4087.6789901723732,True,-0.001748706710484084,1087.6789901723732,Tier 1 exploratory screen,exploratory_only,exact,True,"SPY_buy_hold, SPY_200d_trend_model, and BIL_cash_proxy 90-day rows available.",90d +300 before stop 68.0%; 90d stop hit 81.6%; 90d +400 before stop 60.0%; Tier 1 exploratory penalty; large recovery after stop warning,90d +300 before stop 68.0%; 90d stop hit 81.6%; 90d +400 before stop 60.0%; Tier 1 exploratory penalty; large recovery after stop warning
