lane,strategy,leverage_multiplier,standard_or_stress,unconditional_final_equity,stop_enforced_final_equity,stop_enforced_penalty,absolute_floor_stop_hit,trailing_drawdown_stop_hit,any_project_stop_hit,first_project_stop_date,first_project_stop_type,target_300_before_stop,target_400_before_stop,max_drawdown_dollars,max_drawdown_pct,stop_enforced_metric_quality,stop_enforced_metric_source,stop_enforced_metric_notes,result_interpretation
etf_validated_lane,current_no_cash_proxy_alpha_AB,1.0,standard,3392.201266116984,3392.201266116984,0.0,False,True,True,2016-01-04,trailing_drawdown,True,True,-609.8106389975896,-0.1523760182267952,exact,computed_from_focused_backtester_variant_equity_curve,Computed by running the existing fixed-rule ETF Backtester for the focused no-cash A/B finalist.,Stop-enforced result is more relevant than final-date recovery.
etf_validated_lane,current_no_cash_proxy_alpha_AB,1.0,stress,3239.9316755965556,3239.9316755965556,0.0,False,True,True,2015-12-03,trailing_drawdown,True,True,-624.4670614426359,-0.16159488291342508,exact,computed_from_focused_backtester_variant_equity_curve,Computed by running the existing fixed-rule ETF Backtester for the focused no-cash A/B finalist.,Stop-enforced result is more relevant than final-date recovery.
etf_benchmark,SPY_buy_hold,1.0,standard,21927.233499213387,2341.939079267469,19585.29441994592,True,True,True,2008-09-29,absolute_floor,False,False,-3284.466285770486,-0.5187516412008799,exact,computed_from_cached_adjusted_benchmark_equity_curve,Computed by challenge audit from cached adjusted SPY/BIL prices; raw OHLCV not copied into evidence.,Stop-enforced result is more relevant than final-date recovery.
simulated_leverage_diagnostic,SPY_buy_hold_sim_1_25x,1.25,standard,25586.513034466756,2399.499934401372,23187.013100065386,True,True,True,2008-07-15,absolute_floor,False,False,-4569.881423700497,-0.6169571214829361,approximate,approximate_return_multiplier_reconstructed_equity_curve,"Diagnostic only. Return multiplier, simplified financing, and no real margin/liquidation/path-dependency model.",Stop-enforced result is more relevant than final-date recovery.
simulated_leverage_diagnostic,SPY_buy_hold_sim_1_5x,1.5,standard,21655.693154209504,2371.990536773017,19283.702617436487,True,True,True,2008-07-07,absolute_floor,False,False,-4679.119982459594,-0.704160099452912,approximate,approximate_return_multiplier_reconstructed_equity_curve,"Diagnostic only. Return multiplier, simplified financing, and no real margin/liquidation/path-dependency model.",Stop-enforced result is more relevant than final-date recovery.
etf_benchmark,SPY_buy_hold,1.0,stress,21915.98869200732,2340.7380771694948,19575.250614837823,True,True,True,2008-09-29,absolute_floor,False,False,-3282.7819332889176,-0.5189984368129782,exact,computed_from_cached_adjusted_benchmark_equity_curve,Computed by challenge audit from cached adjusted SPY/BIL prices; raw OHLCV not copied into evidence.,Stop-enforced result is more relevant than final-date recovery.
simulated_leverage_diagnostic,SPY_buy_hold_sim_1_25x,1.25,stress,25570.004628292307,2397.951778172372,23172.052850119933,True,True,True,2008-07-15,absolute_floor,False,False,-4566.9329383555,-0.6172042605679795,approximate,approximate_return_multiplier_reconstructed_equity_curve,"Diagnostic only. Return multiplier, simplified financing, and no real margin/liquidation/path-dependency model.",Stop-enforced result is more relevant than final-date recovery.
simulated_leverage_diagnostic,SPY_buy_hold_sim_1_5x,1.5,stress,21638.81564038611,2370.1419095880856,19268.673730798026,True,True,True,2008-07-07,absolute_floor,False,False,-4675.47327802842,-0.7043906643198707,approximate,approximate_return_multiplier_reconstructed_equity_curve,"Diagnostic only. Return multiplier, simplified financing, and no real margin/liquidation/path-dependency model.",Stop-enforced result is more relevant than final-date recovery.
etf_benchmark,SPY_200d_trend_model,1.0,standard,16434.943695765938,3443.3492099452815,12991.594485820657,False,True,True,2010-06-04,trailing_drawdown,True,True,-2311.8890196820103,-0.2145300486335292,exact,computed_from_cached_adjusted_benchmark_equity_curve,Computed by challenge audit from cached adjusted SPY/BIL prices; raw OHLCV not copied into evidence.,Stop-enforced result is more relevant than final-date recovery.
simulated_leverage_diagnostic,SPY_200d_trend_model_sim_1_25x,1.25,standard,19216.17809500964,3660.190421529007,15555.987673480633,False,True,True,2010-05-20,trailing_drawdown,True,True,-3353.8482861771317,-0.2652892260126385,approximate,approximate_return_multiplier_reconstructed_equity_curve,"Diagnostic only. Return multiplier, simplified financing, and no real margin/liquidation/path-dependency model.",Stop-enforced result is more relevant than final-date recovery.
