lane,strategy,role,leverage_multiplier,exposure_multiplier,standard_or_stress,unconditional_final_equity,stop_enforced_final_equity,stop_enforced_penalty,absolute_floor_stop_hit,trailing_drawdown_stop_hit,any_project_stop_hit,first_project_stop_date,first_project_stop_type,equity_at_first_project_stop,stop_overshoot_dollars,stop_overshoot_pct,target_300_before_stop,target_400_before_stop,max_drawdown_dollars,max_drawdown_pct,stop_enforced_metric_quality,stop_enforced_metric_source,stop_enforced_metric_notes,result_interpretation
etf_validated_lane,current_no_cash_proxy_alpha_AB,,1.0,1.0,standard,3392.201266116984,3392.201266116984,0.0,False,True,True,2016-01-04,trailing_drawdown,3392.201266116984,-9.810638997589649,-0.0028837756219607484,True,True,-609.8106389975896,-0.1523760182267952,exact,computed_from_focused_backtester_variant_equity_curve,Computed by running the existing fixed-rule ETF Backtester for the focused no-cash A/B finalist.,Stop-enforced result is more relevant than final-date recovery.
etf_validated_lane,current_no_cash_proxy_alpha_AB,,1.0,1.0,stress,3239.9316755965556,3239.9316755965556,0.0,False,True,True,2015-12-03,trailing_drawdown,3239.9316755965556,-24.467061442635895,-0.007495120361683362,True,True,-624.4670614426359,-0.16159488291342508,exact,computed_from_focused_backtester_variant_equity_curve,Computed by running the existing fixed-rule ETF Backtester for the focused no-cash A/B finalist.,Stop-enforced result is more relevant than final-date recovery.
etf_benchmark,SPY_buy_hold,,1.0,1.0,standard,21927.233499213387,2341.939079267469,19585.29441994592,True,True,True,2008-09-29,absolute_floor,2341.939079267469,-58.06092073253103,-0.02419205030522126,False,False,-3284.466285770486,-0.5187516412008799,exact,computed_from_cached_adjusted_benchmark_equity_curve,Computed by challenge audit from cached adjusted SPY/BIL prices; raw OHLCV not copied into evidence.,Stop-enforced result is more relevant than final-date recovery.
etf_benchmark,SPY_buy_hold,,1.0,1.0,stress,21915.98869200732,2340.7380771694948,19575.250614837823,True,True,True,2008-09-29,absolute_floor,2340.7380771694948,-59.26192283050523,-0.024692467846043845,False,False,-3282.7819332889176,-0.5189984368129782,exact,computed_from_cached_adjusted_benchmark_equity_curve,Computed by challenge audit from cached adjusted SPY/BIL prices; raw OHLCV not copied into evidence.,Stop-enforced result is more relevant than final-date recovery.
etf_benchmark,SPY_200d_trend_model,,1.0,1.0,standard,16434.943695765938,3443.3492099452815,12991.594485820657,False,True,True,2010-06-04,trailing_drawdown,3443.3492099452815,-52.66660283515739,-0.015064749605142883,True,True,-2311.8890196820103,-0.2145300486335292,exact,computed_from_cached_adjusted_benchmark_equity_curve,Computed by challenge audit from cached adjusted SPY/BIL prices; raw OHLCV not copied into evidence.,Stop-enforced result is more relevant than final-date recovery.
simulated_etf_exposure_frontier,SPY_200d_exposure_frontier_1_00x,risk_budget_diagnostic,1.0,1.0,standard,16434.943695765938,3443.3492099452815,12991.594485820657,False,True,True,2010-06-04,trailing_drawdown,3443.3492099452815,-52.66660283515739,-0.015064749605142883,True,True,-2311.8890196820103,-0.2145300486335292,exact,exposure_frontier_reconstructed_equity_curve,"Diagnostic only. Return multiplier, simplified financing, and no real margin/liquidation/path-dependency model.",Stop-enforced result is more relevant than final-date recovery.
simulated_etf_exposure_frontier,SPY_200d_exposure_frontier_1_05x,risk_budget_diagnostic,1.05,1.05,standard,17134.97673358396,3447.4771599069477,13687.499573677012,False,True,True,2010-06-04,trailing_drawdown,3447.4771599069477,-91.12826753710624,-0.025752593615086517,True,True,-2520.999681533185,-0.22476464605491187,approximate,exposure_frontier_reconstructed_equity_curve,"Diagnostic only. Return multiplier, simplified financing, and no real margin/liquidation/path-dependency model.",Stop-enforced result is more relevant than final-date recovery.
simulated_etf_exposure_frontier,SPY_200d_exposure_frontier_1_10x,risk_budget_diagnostic,1.1,1.1,standard,17528.663798333662,3571.16366615567,13957.500132177993,False,True,True,2010-06-01,trailing_drawdown,3571.16366615567,-0.6046288745960737,-0.00016927998253339955,True,True,-2711.73935789622,-0.23518120076175053,approximate,exposure_frontier_reconstructed_equity_curve,"Diagnostic only. Return multiplier, simplified financing, and no real margin/liquidation/path-dependency model.",Stop-enforced result is more relevant than final-date recovery.
simulated_etf_exposure_frontier,SPY_200d_exposure_frontier_1_15x,risk_budget_diagnostic,1.15,1.15,standard,17593.975040131234,3568.042684863039,14025.932355268194,False,True,True,2010-05-28,trailing_drawdown,3568.042684863039,-27.229278044649163,-0.0075736351312425875,True,True,-2876.084583265223,-0.24576889599491353,approximate,exposure_frontier_reconstructed_equity_curve,"Diagnostic only. Return multiplier, simplified financing, and no real margin/liquidation/path-dependency model.",Stop-enforced result is more relevant than final-date recovery.
simulated_etf_exposure_frontier,SPY_200d_exposure_frontier_1_20x,risk_budget_diagnostic,1.2,1.2,standard,17327.214996614377,3552.1034733717115,13775.111523242665,False,True,True,2010-05-28,trailing_drawdown,3552.1034733717115,-56.84740766773939,-0.01575178203904127,True,True,-3006.5632916113736,-0.2566616903431605,approximate,exposure_frontier_reconstructed_equity_curve,"Diagnostic only. Return multiplier, simplified financing, and no real margin/liquidation/path-dependency model.",Stop-enforced result is more relevant than final-date recovery.
