rank_overall,rank_target_300,rank_target_400,rank_risk_control,lane,strategy,leverage_multiplier,exposure_multiplier,standard_or_stress,pct_90d_target_300_before_stop,pct_90d_target_400_before_stop,pct_90d_any_stop_hit,median_90d_stop_enforced_equity,worst_90d_max_drawdown,worst_stop_enforced_loss,pct_90d_stop_overshoot_gt_50,pct_90d_stop_overshoot_gt_100,target_300_gain_vs_1x,target_400_gain_vs_1x,stop_hit_increase_vs_1x,worst_drawdown_worsening_vs_1x,diagnostic_score,stop_enforced_final_equity,stress_result_available,stress_degradation_pct,benchmark_relative_result,credibility_tier,audit_verdict,stop_enforced_metric_quality,benchmark_comparison_available,benchmark_comparison_notes,risk_framework_name,risk_band,risk_budget_used_pct,target_300_progress_pct,target_400_progress_pct,drawdown_warning_hit,drawdown_review_hit,hard_stop_hit,risk_framework_verdict,exposure_policy_status,instrument_risk_role,paper_forward_allowed_by_risk_framework,promotion_blockers,ranking_penalty_notes,reason
1,7,7,3,etf_benchmark,SPY_200d_trend_model,1.0,1.0,standard,0.2512662409160978,0.10416207883726052,0.004844747852895838,3114.121454836779,-661.4912486768249,-641.9013683895955,0.001101079057476327,0.0,,,,,-0.11010790574763268,3443.3492099452815,True,-0.005478532848684385,443.3492099452815,ETF benchmark,benchmark_candidate,exact,True,"SPY_buy_hold, SPY_200d_trend_model, and BIL_cash_proxy 90-day rows available.",balanced_speculative_research_v1,hard_stop,1.1024854144613747,0.38040484945592956,0.28530363709194717,True,True,True,benchmark_candidate,paper_forward_eligible_if_candidate_validated,core,False,project_stop_hit,90d +300 before stop 25.1%; 90d stop hit 0.5%; 90d +400 before stop 10.4%; large recovery after stop warning; worst 90d drawdown beyond $600 (-661.49),90d +300 before stop 25.1%; 90d stop hit 0.5%; 90d +400 before stop 10.4%; large recovery after stop warning; worst 90d drawdown beyond $600 (-661.49)
2,9,9,1,etf_validated_lane,current_no_cash_proxy_alpha_AB,1.0,1.0,standard,0.126183659986787,0.0336930191587756,0.0,3024.793587110975,-406.0204244096831,,0.0,0.0,,,,,0.0,3392.201266116984,True,-0.04488813563079928,392.2012661169838,ETF exact focused finalist; not a real-money recommendation,watchlist,exact,True,"SPY_buy_hold, SPY_200d_trend_model, and BIL_cash_proxy 90-day rows available.",balanced_speculative_research_v1,warning,0.6767007073494717,0.08264529036991614,0.0619839677774371,True,False,False,watchlist,paper_forward_eligible_if_candidate_validated,defensive_benchmark,True,none,90d +300 before stop 12.6%; 90d stop hit 0.0%; 90d +400 before stop 3.4%; lower 90d target-before-stop rates than SPY_200d_trend_model,90d +300 before stop 12.6%; 90d stop hit 0.0%; 90d +400 before stop 3.4%; lower 90d target-before-stop rates than SPY_200d_trend_model
3,8,8,4,simulated_etf_exposure_frontier,SPY_200d_exposure_frontier_1_00x,1.0,1.0,standard,0.2512662409160978,0.10416207883726052,0.004844747852895838,3114.121454836779,-661.4912486768249,-641.9013683895955,0.001101079057476327,0.0,0.0,0.0,0.0,0.0,-0.11010790574763268,3443.3492099452815,True,-0.005478532848684385,443.3492099452815,tier1_exploratory,watchlist_diagnostic,exact,True,"SPY_buy_hold, SPY_200d_trend_model, and BIL_cash_proxy 90-day rows available.",balanced_speculative_research_v1,hard_stop,1.1024854144613747,0.38040484945592956,0.28530363709194717,True,True,True,too_risky,paper_forward_eligible_if_candidate_validated,diagnostic,False,tier1_exploratory;leverage_or_exposure_diagnostic;project_stop_hit,90d +300 before stop 25.1%; 90d stop hit 0.5%; 90d +400 before stop 10.4%; Tier 1 exploratory penalty; large recovery after stop warning; worst 90d drawdown beyond $600 (-661.49); exposure frontier gain_vs_1x +300=0.0% +400=0.0% stop_increase=0.0% drawdown_worsening=0.00 overshoot_gt_100=0.0%,90d +300 before stop 25.1%; 90d stop hit 0.5%; 90d +400 before stop 10.4%; Tier 1 exploratory penalty; large recovery after stop warning; worst 90d drawdown beyond $600 (-661.49); exposure frontier gain_vs_1x +300=0.0% +400=0.0% stop_increase=0.0% drawdown_worsening=0.00 overshoot_gt_100=0.0%
4,10,10,2,etf_benchmark,BIL_cash_proxy,1.0,1.0,standard,0.0,0.0,0.0,2999.8119756888113,-24.674171298818692,-14.342627892100154,0.0,0.0,,,,,0.0,3775.5184876438425,True,-0.0005003599375561825,775.5184876438425,ETF benchmark,benchmark_only,exact,True,"SPY_buy_hold, SPY_200d_trend_model, and BIL_cash_proxy 90-day rows available.",balanced_speculative_research_v1,normal,0.041123618831364485,0.0,0.0,False,False,False,benchmark_only,paper_forward_eligible_if_candidate_validated,defensive_benchmark,True,none,90d +300 before stop 0.0%; 90d stop hit 0.0%,90d +300 before stop 0.0%; 90d stop hit 0.0%
5,2,4,10,etf_benchmark,SPY_buy_hold,1.0,1.0,standard,0.3287822065624312,0.15789473684210525,0.06782646994054173,3162.166054157341,-1329.5804799262269,-801.1575717527398,0.022682228584012334,0.009249064082801146,,,,,-3.7480731116494166,2341.939079267469,True,-0.0005128237999896462,-658.060920732531,ETF benchmark,benchmark_candidate,exact,True,"SPY_buy_hold, SPY_200d_trend_model, and BIL_cash_proxy 90-day rows available.",balanced_speculative_research_v1,hard_stop,2.2159674665437112,0.5405535138578034,0.40541513539335255,True,True,True,benchmark_candidate,paper_forward_eligible_if_candidate_validated,core,False,project_stop_hit,90d +300 before stop 32.9%; 90d stop hit 6.8%; 90d +400 before stop 15.8%; large recovery after stop warning; worst 90d drawdown beyond $600 (-1329.58),90d +300 before stop 32.9%; 90d stop hit 6.8%; 90d +400 before stop 15.8%; large recovery after stop warning; worst 90d drawdown beyond $600 (-1329.58)
6,1,1,9,simulated_etf_exposure_frontier,SPY_200d_exposure_frontier_1_25x,1.25,1.25,standard,0.3375908390222418,0.1964325038537767,0.03523452983924246,3118.51680166446,-825.9609302379627,-654.6516827014916,0.014093811935696983,0.001981942303457388,0.08632459810614401,0.09227042501651618,0.030389781986346624,-164.4696815611378,-16.121709402535274,3595.4277305232195,True,-0.0018397055314619249,595.4277305232195,tier1_exploratory,too_risky,approximate,True,"SPY_buy_hold, SPY_200d_trend_model, and BIL_cash_proxy 90-day rows available.",balanced_speculative_research_v1,hard_stop,1.3766015503966045,0.39505600554820075,0.29629200416115054,True,True,True,too_risky,too_risky_by_default,diagnostic,False,tier1_exploratory;leverage_or_exposure_diagnostic;exposure_multiplier_gt_1;stop_enforced_metric_quality_approximate;project_stop_hit,90d +300 before stop 33.8%; 90d stop hit 3.5%; 90d +400 before stop 19.6%; Tier 1 exploratory penalty; approximate leverage penalty; large recovery after stop warning; worst 90d drawdown beyond $600 (-825.96); approximate stop-enforced metric penalty; approximate cost-model penalty; exposure frontier gain_vs_1x +300=8.6% +400=9.2% stop_increase=3.0% drawdown_worsening=-164.47 overshoot_gt_100=0.2%,90d +300 before stop 33.8%; 90d stop hit 3.5%; 90d +400 before stop 19.6%; Tier 1 exploratory penalty; approximate leverage penalty; large recovery after stop warning; worst 90d drawdown beyond $600 (-825.96); approximate stop-enforced metric penalty; approximate cost-model penalty; exposure frontier gain_vs_1x +300=8.6% +400=9.2% stop_increase=3.0% drawdown_worsening=-164.47 overshoot_gt_100=0.2%
7,3,2,8,simulated_etf_exposure_frontier,SPY_200d_exposure_frontier_1_20x,1.2,1.2,standard,0.3243778903325259,0.17969610218013654,0.03457388240475666,3119.852254346293,-792.3168660054616,-665.3456242422171,0.015415106804668574,0.0026425897379431843,0.07311164941642811,0.07553402334287602,0.029729134551860822,-130.82561732863678,-15.122420794744317,3552.1034733717115,True,0.013569456844912108,552.1034733717115,tier1_exploratory,too_risky,approximate,True,"SPY_buy_hold, SPY_200d_trend_model, and BIL_cash_proxy 90-day rows available.",balanced_speculative_research_v1,hard_stop,1.3205281100091026,0.399507514487644,0.29963063586573296,True,True,True,too_risky,too_risky_by_default,diagnostic,False,tier1_exploratory;leverage_or_exposure_diagnostic;exposure_multiplier_gt_1;stop_enforced_metric_quality_approximate;project_stop_hit,90d +300 before stop 32.4%; 90d stop hit 3.5%; 90d +400 before stop 18.0%; Tier 1 exploratory penalty; approximate leverage penalty; large recovery after stop warning; worst 90d drawdown beyond $600 (-792.32); approximate stop-enforced metric penalty; approximate cost-model penalty; exposure frontier gain_vs_1x +300=7.3% +400=7.6% stop_increase=3.0% drawdown_worsening=-130.83 overshoot_gt_100=0.3%,90d +300 before stop 32.4%; 90d stop hit 3.5%; 90d +400 before stop 18.0%; Tier 1 exploratory penalty; approximate leverage penalty; large recovery after stop warning; worst 90d drawdown beyond $600 (-792.32); approximate stop-enforced metric penalty; approximate cost-model penalty; exposure frontier gain_vs_1x +300=7.3% +400=7.6% stop_increase=3.0% drawdown_worsening=-130.83 overshoot_gt_100=0.3%
8,4,3,7,simulated_etf_exposure_frontier,SPY_200d_exposure_frontier_1_15x,1.15,1.15,standard,0.31072451001981943,0.16229905307201056,0.034133450781766134,3120.0265143797965,-759.0187540107313,-637.3833728706245,0.008147985025324819,0.0,0.05945826910372165,0.05813697423475005,0.029288702928870296,-97.52750533390645,-12.920114550127046,3568.042684863039,True,-0.004009331901101464,568.0426848630391,tier1_exploratory,too_risky,approximate,True,"SPY_buy_hold, SPY_200d_trend_model, and BIL_cash_proxy 90-day rows available.",balanced_speculative_research_v1,hard_stop,1.265031256684552,0.4000883812659883,0.3000662859494912,True,True,True,too_risky,too_risky_by_default,diagnostic,False,tier1_exploratory;leverage_or_exposure_diagnostic;exposure_multiplier_gt_1;stop_enforced_metric_quality_approximate;project_stop_hit,90d +300 before stop 31.1%; 90d stop hit 3.4%; 90d +400 before stop 16.2%; Tier 1 exploratory penalty; approximate leverage penalty; large recovery after stop warning; worst 90d drawdown beyond $600 (-759.02); approximate stop-enforced metric penalty; approximate cost-model penalty; exposure frontier gain_vs_1x +300=5.9% +400=5.8% stop_increase=2.9% drawdown_worsening=-97.53 overshoot_gt_100=0.0%,90d +300 before stop 31.1%; 90d stop hit 3.4%; 90d +400 before stop 16.2%; Tier 1 exploratory penalty; approximate leverage penalty; large recovery after stop warning; worst 90d drawdown beyond $600 (-759.02); approximate stop-enforced metric penalty; approximate cost-model penalty; exposure frontier gain_vs_1x +300=5.9% +400=5.8% stop_increase=2.9% drawdown_worsening=-97.53 overshoot_gt_100=0.0%
9,5,5,6,simulated_etf_exposure_frontier,SPY_200d_exposure_frontier_1_10x,1.1,1.1,standard,0.29530940321515087,0.13917639286500771,0.02950891874036556,3119.1332422346118,-726.0958217769776,-614.0472289446657,0.001101079057476327,0.0,0.044043162299053085,0.0350143140277472,0.024664170887469722,-64.60457310015272,-10.464641410433682,3571.16366615567,True,-0.002718769676149217,571.16366615567,tier1_exploratory,too_risky,approximate,True,"SPY_buy_hold, SPY_200d_trend_model, and BIL_cash_proxy 90-day rows available.",balanced_speculative_research_v1,hard_stop,1.2101597029616293,0.3971108074487059,0.2978331055865294,True,True,True,too_risky,diagnostic_only,diagnostic,False,tier1_exploratory;leverage_or_exposure_diagnostic;exposure_multiplier_gt_1;stop_enforced_metric_quality_approximate;project_stop_hit,90d +300 before stop 29.5%; 90d stop hit 3.0%; 90d +400 before stop 13.9%; Tier 1 exploratory penalty; approximate leverage penalty; large recovery after stop warning; worst 90d drawdown beyond $600 (-726.10); approximate stop-enforced metric penalty; approximate cost-model penalty; exposure frontier gain_vs_1x +300=4.4% +400=3.5% stop_increase=2.5% drawdown_worsening=-64.60 overshoot_gt_100=0.0%,90d +300 before stop 29.5%; 90d stop hit 3.0%; 90d +400 before stop 13.9%; Tier 1 exploratory penalty; approximate leverage penalty; large recovery after stop warning; worst 90d drawdown beyond $600 (-726.10); approximate stop-enforced metric penalty; approximate cost-model penalty; exposure frontier gain_vs_1x +300=4.4% +400=3.5% stop_increase=2.5% drawdown_worsening=-64.60 overshoot_gt_100=0.0%
10,6,6,5,simulated_etf_exposure_frontier,SPY_200d_exposure_frontier_1_05x,1.05,1.05,standard,0.2728473904426338,0.12155912794538648,0.01761726491962123,3117.2208151099685,-693.5770743523262,-662.8961620035257,0.0004404316229905307,0.0,0.021581149526536003,0.017397049108125964,0.012772517066725393,-32.08582567550138,-6.882442950725651,3447.4771599069477,True,-0.0057514200150471755,447.4771599069477,tier1_exploratory,too_risky,approximate,True,"SPY_buy_hold, SPY_200d_trend_model, and BIL_cash_proxy 90-day rows available.",balanced_speculative_research_v1,hard_stop,1.1559617905872104,0.39073605036656167,0.2930520377749212,True,True,True,too_risky,diagnostic_only,diagnostic,False,tier1_exploratory;leverage_or_exposure_diagnostic;exposure_multiplier_gt_1;stop_enforced_metric_quality_approximate;project_stop_hit,90d +300 before stop 27.3%; 90d stop hit 1.8%; 90d +400 before stop 12.2%; Tier 1 exploratory penalty; approximate leverage penalty; large recovery after stop warning; worst 90d drawdown beyond $600 (-693.58); approximate stop-enforced metric penalty; approximate cost-model penalty; exposure frontier gain_vs_1x +300=2.2% +400=1.7% stop_increase=1.3% drawdown_worsening=-32.09 overshoot_gt_100=0.0%,90d +300 before stop 27.3%; 90d stop hit 1.8%; 90d +400 before stop 12.2%; Tier 1 exploratory penalty; approximate leverage penalty; large recovery after stop warning; worst 90d drawdown beyond $600 (-693.58); approximate stop-enforced metric penalty; approximate cost-model penalty; exposure frontier gain_vs_1x +300=2.2% +400=1.7% stop_increase=1.3% drawdown_worsening=-32.09 overshoot_gt_100=0.0%
