lane,strategy,role,leverage_multiplier,exposure_multiplier,standard_or_stress,unconditional_final_equity,stop_enforced_final_equity,stop_enforced_penalty,absolute_floor_stop_hit,trailing_drawdown_stop_hit,any_project_stop_hit,first_project_stop_date,first_project_stop_type,equity_at_first_project_stop,stop_overshoot_dollars,stop_overshoot_pct,target_300_before_stop,target_400_before_stop,max_drawdown_dollars,max_drawdown_pct,stop_enforced_metric_quality,stop_enforced_metric_source,stop_enforced_metric_notes,risk_framework_name,risk_band,risk_budget_used_pct,target_300_progress_pct,target_400_progress_pct,drawdown_warning_hit,drawdown_review_hit,hard_stop_hit,risk_framework_verdict,exposure_policy_status,instrument_risk_role,paper_forward_allowed_by_risk_framework,promotion_blockers,result_interpretation
etf_validated_lane,current_no_cash_proxy_alpha_AB,,1.0,1.0,standard,3392.201266116984,3402.011905114574,-9.810638997590104,False,True,True,2016-01-04,trailing_drawdown,3402.011905114574,0.0,0.0,True,True,-609.8106389975896,-0.1523760182267952,approximate,evidence/latest/strategy_variant_results.csv summary_drawdown,Variant equity curve is not present in compact evidence; stop-enforced equity is approximated from summary max drawdown.,balanced_speculative_research_v1,hard_stop,1.0163510649959828,1.3400396837152464,1.0050297627864346,True,True,True,incomplete_evidence,paper_forward_eligible_if_candidate_validated,defensive_benchmark,False,stop_enforced_metric_quality_approximate;final_validation_completed_false;project_stop_hit,Stop-enforced result is more relevant than final-date recovery.
etf_validated_lane,current_no_cash_proxy_alpha_AB,,1.0,1.0,stress,3239.9316755965556,3264.3987370391933,-24.467061442637714,False,True,True,2015-12-03,trailing_drawdown,3264.3987370391933,0.0,0.0,True,True,-624.4670614426359,-0.161594882913425,approximate,evidence/latest/strategy_variant_results.csv summary_drawdown,Variant equity curve is not present in compact evidence; stop-enforced equity is approximated from summary max drawdown.,balanced_speculative_research_v1,hard_stop,1.0407784357377265,0.8813291234639776,0.6609968425979832,True,True,True,incomplete_evidence,paper_forward_eligible_if_candidate_validated,defensive_benchmark,False,stop_enforced_metric_quality_approximate;final_validation_completed_false;project_stop_hit,Stop-enforced result is more relevant than final-date recovery.
etf_benchmark,SPY_buy_hold,,1.0,1.0,standard,22883.48304840306,2752.9007161024706,20130.58233230059,True,True,True,2008-07-02,trailing_drawdown,2752.9007161024706,-9.491343024630169,-0.003435914534025042,True,False,-3427.702294326209,-0.551894317086492,exact,computed_from_cached_adjusted_benchmark_equity_curve,Computed by challenge audit from cached adjusted SPY/BIL prices; raw OHLCV not copied into evidence.,balanced_speculative_research_v1,hard_stop,5.712837157210348,0.0,0.0,True,True,True,incomplete_evidence,paper_forward_eligible_if_candidate_validated,core,False,final_validation_completed_false;project_stop_hit,Stop-enforced result is more relevant than final-date recovery.
etf_benchmark,SPY_buy_hold,,1.0,1.0,stress,22872.05983191051,2751.526494320048,20120.53333759046,True,True,True,2008-07-02,trailing_drawdown,2751.526494320048,-9.187090759054172,-0.0033277956861254535,True,False,-3425.991218031686,-0.5518943170864918,exact,computed_from_cached_adjusted_benchmark_equity_curve,Computed by challenge audit from cached adjusted SPY/BIL prices; raw OHLCV not copied into evidence.,balanced_speculative_research_v1,hard_stop,5.709985363386143,0.0,0.0,True,True,True,incomplete_evidence,paper_forward_eligible_if_candidate_validated,core,False,final_validation_completed_false;project_stop_hit,Stop-enforced result is more relevant than final-date recovery.
etf_benchmark,SPY_200d_trend_model,,1.0,1.0,standard,14440.403682680057,2966.663066194596,11473.74061648546,False,True,True,2010-06-22,trailing_drawdown,2966.663066194596,-32.261452325544724,-0.01075767400156659,True,True,-2031.3188369707868,-0.2145300486335285,exact,computed_from_cached_adjusted_benchmark_equity_curve,Computed by challenge audit from cached adjusted SPY/BIL prices; raw OHLCV not copied into evidence.,balanced_speculative_research_v1,hard_stop,3.3855313949513115,0.0,0.0,True,True,True,incomplete_evidence,paper_forward_eligible_if_candidate_validated,core,False,final_validation_completed_false;project_stop_hit,Stop-enforced result is more relevant than final-date recovery.
etf_benchmark,SPY_200d_trend_model,,1.0,1.0,stress,12992.590697243422,2903.4862307113303,10089.104466532091,False,True,True,2010-06-22,trailing_drawdown,2903.4862307113303,-40.06125810002277,-0.013609856220189634,True,True,-2043.994597379662,-0.22314703608429534,exact,computed_from_cached_adjusted_benchmark_equity_curve,Computed by challenge audit from cached adjusted SPY/BIL prices; raw OHLCV not copied into evidence.,balanced_speculative_research_v1,hard_stop,3.4066576622994367,0.0,0.0,True,True,True,incomplete_evidence,paper_forward_eligible_if_candidate_validated,core,False,final_validation_completed_false;project_stop_hit,Stop-enforced result is more relevant than final-date recovery.
etf_benchmark,BIL_cash_proxy,,1.0,1.0,standard,3870.8587865925588,3870.8587865925588,0.0,False,False,False,,,,0.0,0.0,True,True,-24.50801348259529,-0.007800799339387976,exact,computed_from_cached_adjusted_benchmark_equity_curve,Computed by challenge audit from cached adjusted SPY/BIL prices; raw OHLCV not copied into evidence.,balanced_speculative_research_v1,normal,0.04084668913765881,2.902862621975196,2.1771469664813967,False,False,False,incomplete_evidence,paper_forward_eligible_if_candidate_validated,defensive_benchmark,True,final_validation_completed_false,No selected project stop hit in this summary.
etf_benchmark,BIL_cash_proxy,,1.0,1.0,stress,3868.922389000432,3868.922389000432,0.0,False,False,False,,,,0.0,0.0,True,True,-24.495753345813227,-0.007800799339396774,exact,computed_from_cached_adjusted_benchmark_equity_curve,Computed by challenge audit from cached adjusted SPY/BIL prices; raw OHLCV not copied into evidence.,balanced_speculative_research_v1,normal,0.04082625557635538,2.896407963334773,2.17230597250108,False,False,False,incomplete_evidence,paper_forward_eligible_if_candidate_validated,defensive_benchmark,True,final_validation_completed_false,No selected project stop hit in this summary.
diversified_portfolio_challenge,portfolio_spy200d_100_v1,diversified_portfolio_diagnostic,1.0,1.0,standard,14433.183480838648,2965.179734661499,11468.00374617715,False,True,True,2010-06-22,trailing_drawdown,2965.179734661499,-31.945321599383988,-0.010658654877497153,True,True,-2030.303177552294,-0.21453004863352876,exact,monthly_rebalanced_portfolio_of_sleeve_return_streams,Computed from reconstructed portfolio equity curve; raw OHLCV excluded from compact evidence.,balanced_speculative_research_v1,hard_stop,3.3838386292538236,0.0,0.0,True,True,True,too_risky,paper_forward_eligible_if_candidate_validated,satellite,False,leverage_or_exposure_diagnostic;final_validation_completed_false;project_stop_hit,Stop-enforced result is more relevant than final-date recovery.
diversified_portfolio_challenge,portfolio_spy200d_80_bil_20_v1,diversified_portfolio_diagnostic,1.0,1.0,standard,11321.74556148121,2895.4822243684757,8426.263337112734,False,True,True,2010-08-11,trailing_drawdown,2895.4822243684757,-10.406497786856107,-0.003581175599572679,True,True,-1312.8715152656005,-0.17494946224600677,exact,monthly_rebalanced_portfolio_of_sleeve_return_streams,Computed from reconstructed portfolio equity curve; raw OHLCV excluded from compact evidence.,balanced_speculative_research_v1,hard_stop,2.188119192109334,0.0,0.0,True,True,True,too_risky,paper_forward_eligible_if_candidate_validated,defensive_benchmark,False,leverage_or_exposure_diagnostic;final_validation_completed_false;project_stop_hit,Stop-enforced result is more relevant than final-date recovery.
diversified_portfolio_challenge,portfolio_spy200d_70_bil_30_v1,diversified_portfolio_diagnostic,1.0,1.0,standard,9988.838146204982,5271.548316855311,4717.289829349671,False,True,True,2020-03-03,trailing_drawdown,5271.548316855311,-17.720421807355706,-0.0033502593048119764,True,True,-1023.4078340549531,-0.15454887413034832,exact,monthly_rebalanced_portfolio_of_sleeve_return_streams,Computed from reconstructed portfolio equity curve; raw OHLCV excluded from compact evidence.,balanced_speculative_research_v1,hard_stop,1.705679723424922,7.571827722851037,5.6788707921382775,True,True,True,too_risky,paper_forward_eligible_if_candidate_validated,defensive_benchmark,False,leverage_or_exposure_diagnostic;final_validation_completed_false;project_stop_hit,Stop-enforced result is more relevant than final-date recovery.
diversified_portfolio_challenge,portfolio_spy200d_60_ief_20_bil_20_v1,diversified_portfolio_diagnostic,1.0,1.0,standard,9572.170378932118,5529.492901497331,4042.677477434787,False,True,True,2020-03-05,trailing_drawdown,5529.492901497331,-15.596257298634555,-0.0028126251629146124,True,True,-1066.0260556219873,-0.14322816034361072,exact,monthly_rebalanced_portfolio_of_sleeve_return_streams,Computed from reconstructed portfolio equity curve; raw OHLCV excluded from compact evidence.,balanced_speculative_research_v1,hard_stop,1.7767100927033121,8.431643004991104,6.323732253743328,True,True,True,too_risky,paper_forward_eligible_if_candidate_validated,defensive_benchmark,False,leverage_or_exposure_diagnostic;final_validation_completed_false;project_stop_hit,Stop-enforced result is more relevant than final-date recovery.
diversified_portfolio_challenge,portfolio_spy200d_70_gld_15_bil_15_v1,diversified_portfolio_diagnostic,1.0,1.0,standard,13272.767867710498,6207.904635523091,7064.8632321874065,False,True,True,2020-02-28,trailing_drawdown,6207.904635523091,-8.876725799460473,-0.0014278652060512626,True,True,-1128.5398734227956,-0.14862698771523566,exact,monthly_rebalanced_portfolio_of_sleeve_return_streams,Computed from reconstructed portfolio equity curve; raw OHLCV excluded from compact evidence.,balanced_speculative_research_v1,hard_stop,1.8808997890379926,10.693015451743637,8.019761588807729,True,True,True,too_risky,paper_forward_eligible_if_candidate_validated,defensive_benchmark,False,leverage_or_exposure_diagnostic;final_validation_completed_false;project_stop_hit,Stop-enforced result is more relevant than final-date recovery.
diversified_portfolio_challenge,portfolio_spy200d_60_ief_20_gld_10_bil_10_v1,diversified_portfolio_diagnostic,1.0,1.0,standard,11578.763091929592,6122.680409909185,5456.0826820204065,False,True,True,2020-03-05,trailing_drawdown,6122.680409909185,-56.01430820059977,-0.009065718692399798,True,True,-1141.324899479756,-0.13722157076110844,exact,monthly_rebalanced_portfolio_of_sleeve_return_streams,Computed from reconstructed portfolio equity curve; raw OHLCV excluded from compact evidence.,balanced_speculative_research_v1,hard_stop,1.9022081657995933,10.408934699697284,7.806701024772963,True,True,True,too_risky,paper_forward_eligible_if_candidate_validated,defensive_benchmark,False,leverage_or_exposure_diagnostic;final_validation_completed_false;project_stop_hit,Stop-enforced result is more relevant than final-date recovery.
diversified_portfolio_challenge,portfolio_spy200d_80_ab_20_v1,diversified_portfolio_diagnostic,1.0,1.0,standard,11321.74556148121,2895.4822243684757,8426.263337112734,False,True,True,2010-08-11,trailing_drawdown,2895.4822243684757,-10.406497786856107,-0.003581175599572679,True,True,-1312.8715152656005,-0.17494946224600677,unavailable,monthly_rebalanced_portfolio_of_sleeve_return_streams,Computed from reconstructed portfolio equity curve; raw OHLCV excluded from compact evidence.,balanced_speculative_research_v1,hard_stop,2.188119192109334,0.0,0.0,True,True,True,too_risky,paper_forward_eligible_if_candidate_validated,satellite,False,leverage_or_exposure_diagnostic;stop_enforced_metric_quality_unavailable;final_validation_completed_false;project_stop_hit,Stop-enforced result is more relevant than final-date recovery.
diversified_portfolio_challenge,portfolio_spy200d_70_ab_20_bil_10_v1,diversified_portfolio_diagnostic,1.0,1.0,standard,9988.838146204984,5271.548316855311,4717.289829349673,False,True,True,2020-03-03,trailing_drawdown,5271.548316855311,-17.720421807355706,-0.0033502593048119764,True,True,-1023.4078340549531,-0.15454887413034832,unavailable,monthly_rebalanced_portfolio_of_sleeve_return_streams,Computed from reconstructed portfolio equity curve; raw OHLCV excluded from compact evidence.,balanced_speculative_research_v1,hard_stop,1.705679723424922,7.571827722851037,5.6788707921382775,True,True,True,too_risky,paper_forward_eligible_if_candidate_validated,defensive_benchmark,False,leverage_or_exposure_diagnostic;stop_enforced_metric_quality_unavailable;final_validation_completed_false;project_stop_hit,Stop-enforced result is more relevant than final-date recovery.
diversified_portfolio_challenge,portfolio_spy200d_100_v1,diversified_portfolio_diagnostic,1.0,1.0,stress,12979.598106546218,2900.582744480619,10079.015362065598,False,True,True,2010-06-22,trailing_drawdown,2900.582744480619,-39.421196841921756,-0.01340855237907892,True,True,-2041.9506027822927,-0.22314703608429584,exact,monthly_rebalanced_portfolio_of_sleeve_return_streams,Computed from reconstructed portfolio equity curve; raw OHLCV excluded from compact evidence.,balanced_speculative_research_v1,hard_stop,3.4032510046371542,0.0,0.0,True,True,True,too_risky,paper_forward_eligible_if_candidate_validated,satellite,False,leverage_or_exposure_diagnostic;final_validation_completed_false;project_stop_hit,Stop-enforced result is more relevant than final-date recovery.
