rank_overall,rank_target_300,rank_target_400,rank_risk_control,lane,strategy,portfolio_id,portfolio_role,role,leverage_multiplier,exposure_multiplier,standard_or_stress,pct_90d_target_300_before_stop,pct_90d_target_400_before_stop,pct_90d_any_stop_hit,median_90d_stop_enforced_equity,worst_90d_max_drawdown,worst_stop_enforced_loss,pct_90d_stop_overshoot_gt_50,pct_90d_stop_overshoot_gt_100,average_exposure,target_300_gain_vs_1x,target_400_gain_vs_1x,stop_hit_increase_vs_1x,worst_drawdown_worsening_vs_1x,target_300_change_vs_spy_200d,target_400_change_vs_spy_200d,stop_hit_change_vs_spy_200d,worst_drawdown_change_vs_spy_200d,median_equity_change_vs_spy_200d,diversification_score,max_single_sleeve_weight,cash_weight,bond_weight,gold_weight,crypto_weight,diagnostic_score,stop_enforced_final_equity,stress_result_available,stress_degradation_pct,benchmark_relative_result,credibility_tier,audit_verdict,stop_enforced_metric_quality,benchmark_comparison_available,benchmark_comparison_notes,risk_framework_name,risk_band,risk_budget_used_pct,target_300_progress_pct,target_400_progress_pct,drawdown_warning_hit,drawdown_review_hit,hard_stop_hit,risk_framework_verdict,exposure_policy_status,instrument_risk_role,paper_forward_allowed_by_risk_framework,promotion_blockers,ranking_penalty_notes,reason
1,2,2,10,etf_benchmark,SPY_200d_trend_model,,,,1.0,1.0,standard,0.23805549760066763,0.0986855831420822,0.004590027122887545,3095.5867363347493,-661.4912486768249,-641.9013683895955,0.001043187982474442,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,-0.1043187982474442,2966.663066194596,True,-0.021295588367675332,-33.33693380540399,ETF benchmark,benchmark_candidate,exact,True,"SPY_buy_hold, SPY_200d_trend_model, and BIL_cash_proxy 90-day rows available.",balanced_speculative_research_v1,hard_stop,1.1024854144613747,0.31862245444916426,0.2389668408368732,True,True,True,benchmark_candidate,paper_forward_eligible_if_candidate_validated,core,True,none,90d +300 before stop 23.8%; 90d stop hit 0.5%; 90d +400 before stop 9.9%; large recovery after stop warning; worst 90d drawdown beyond $600 (-661.49),90d +300 before stop 23.8%; 90d stop hit 0.5%; 90d +400 before stop 9.9%; large recovery after stop warning; worst 90d drawdown beyond $600 (-661.49)
2,3,3,11,diversified_portfolio_challenge,portfolio_spy200d_100_v1,portfolio_spy200d_100_v1,baseline_candidate,diversified_portfolio_diagnostic,1.0,1.0,standard,0.23784686000417274,0.09847694554558732,0.004590027122887545,3095.58673633475,-661.4912486768249,-641.9013683895946,0.001043187982474442,0.0,,,,,,-0.00020863759649489277,-0.0002086375964948789,0.0,0.0,9.094947017729282e-13,0.0,1.0,0.0,0.0,0.0,0.0,-0.1043187982474442,2965.179734661499,True,-0.021785185371993702,-34.82026533850103,tier3_candidate_validation,watchlist_diagnostic,exact,True,"SPY_buy_hold, SPY_200d_trend_model, and BIL_cash_proxy 90-day rows available.",balanced_speculative_research_v1,hard_stop,1.1024854144613747,0.31862245444916726,0.23896684083687547,True,True,True,diagnostic_only,paper_forward_eligible_if_candidate_validated,satellite,False,leverage_or_exposure_diagnostic,90d +300 before stop 23.8%; 90d stop hit 0.5%; 90d +400 before stop 9.8%; large recovery after stop warning; worst 90d drawdown beyond $600 (-661.49); portfolio vs SPY_200d +300=-0.0% +400=-0.0% stop=0.0% drawdown_change=0.00 median_equity_change=0.00 diversification_score=0.00,90d +300 before stop 23.8%; 90d stop hit 0.5%; 90d +400 before stop 9.8%; large recovery after stop warning; worst 90d drawdown beyond $600 (-661.49); portfolio vs SPY_200d +300=-0.0% +400=-0.0% stop=0.0% drawdown_change=0.00 median_equity_change=0.00 diversification_score=0.00
3,4,4,1,etf_validated_lane,current_no_cash_proxy_alpha_AB,,,,1.0,1.0,standard,0.186,0.048,0.0,3044.6855368332967,-341.37262661437035,,0.0,0.0,,,,,,-0.05205549760066763,-0.0506855831420822,-0.004590027122887545,320.1186220624545,-50.90119950145254,0.0,,0.0,0.0,0.0,0.0,0.0,3402.011905114574,True,-0.04045052513440456,402.0119051145739,ETF evidence lane; not a real-money recommendation,watchlist,approximate,True,"SPY_buy_hold, SPY_200d_trend_model, and BIL_cash_proxy 90-day rows available.",balanced_speculative_research_v1,warning,0.5689543776906173,0.14895178944432247,0.11171384208324184,True,False,False,incomplete_evidence,paper_forward_eligible_if_candidate_validated,defensive_benchmark,False,stop_enforced_metric_quality_approximate;final_validation_completed_false,90d +300 before stop 18.6%; 90d stop hit 0.0%; 90d +400 before stop 4.8%; lower 90d target-before-stop rates than SPY_200d_trend_model; approximate stop-enforced metric penalty; finalist all_possible validation incomplete or unavailable,90d +300 before stop 18.6%; 90d stop hit 0.0%; 90d +400 before stop 4.8%; lower 90d target-before-stop rates than SPY_200d_trend_model; approximate stop-enforced metric penalty; finalist all_possible validation incomplete or unavailable
4,7,7,6,diversified_portfolio_challenge,portfolio_spy200d_70_gld_15_bil_15_v1,portfolio_spy200d_70_gld_15_bil_15_v1,gold_defensive_mix,diversified_portfolio_diagnostic,1.0,1.0,standard,0.10995201335280617,0.022950135614437723,0.0,3084.43834744065,-455.1643203181047,-437.3936345322172,0.0,0.0,,,,,,-0.12810348424786144,-0.07573544752764448,-0.004590027122887545,206.32692835872012,-11.148388894099298,0.55,0.7,0.15,0.0,0.15,0.0,0.0,6207.904635523091,True,-0.06360840662975295,3207.904635523091,tier3_candidate_validation,too_slow,exact,True,"SPY_buy_hold, SPY_200d_trend_model, and BIL_cash_proxy 90-day rows available.",balanced_speculative_research_v1,review,0.7586072005301745,0.28146115813549993,0.21109586860162494,True,True,False,diagnostic_only,paper_forward_eligible_if_candidate_validated,defensive_benchmark,False,leverage_or_exposure_diagnostic,90d +300 before stop 11.0%; 90d stop hit 0.0%; 90d +400 before stop 2.3%; large recovery after stop warning; portfolio vs SPY_200d +300=-12.8% +400=-7.6% stop=-0.5% drawdown_change=206.33 median_equity_change=-11.15 diversification_score=0.55,90d +300 before stop 11.0%; 90d stop hit 0.0%; 90d +400 before stop 2.3%; large recovery after stop warning; portfolio vs SPY_200d +300=-12.8% +400=-7.6% stop=-0.5% drawdown_change=206.33 median_equity_change=-11.15 diversification_score=0.55
5,5,5,3,diversified_portfolio_challenge,portfolio_spy200d_80_bil_20_v1,portfolio_spy200d_80_bil_20_v1,defensive_mix,diversified_portfolio_diagnostic,1.0,1.0,standard,0.12434800751095347,0.023993323596912162,0.0,3078.96406509324,-536.2577237041014,-525.5504399707324,0.0,0.0,,,,,,-0.11370749008971416,-0.07469225954517003,-0.004590027122887545,125.23352497272344,-16.622671241509124,0.39999999999999997,0.8,0.2,0.0,0.0,0.0,0.0,2895.4822243684757,True,-0.020803991607459313,-104.51777563152427,tier3_candidate_validation,too_slow,exact,True,"SPY_buy_hold, SPY_200d_trend_model, and BIL_cash_proxy 90-day rows available.",balanced_speculative_research_v1,review,0.893762872840169,0.2632135503108005,0.19741016273310039,True,True,False,diagnostic_only,paper_forward_eligible_if_candidate_validated,defensive_benchmark,False,leverage_or_exposure_diagnostic,90d +300 before stop 12.4%; 90d stop hit 0.0%; 90d +400 before stop 2.4%; large recovery after stop warning; portfolio vs SPY_200d +300=-11.4% +400=-7.5% stop=-0.5% drawdown_change=125.23 median_equity_change=-16.62 diversification_score=0.40,90d +300 before stop 12.4%; 90d stop hit 0.0%; 90d +400 before stop 2.4%; large recovery after stop warning; portfolio vs SPY_200d +300=-11.4% +400=-7.5% stop=-0.5% drawdown_change=125.23 median_equity_change=-16.62 diversification_score=0.40
6,8,8,4,diversified_portfolio_challenge,portfolio_spy200d_70_bil_30_v1,portfolio_spy200d_70_bil_30_v1,defensive_mix,diversified_portfolio_diagnostic,1.0,1.0,standard,0.06509493010640517,0.01272689338618819,0.0,3070.207252234945,-472.29556753156294,-464.36552541485344,0.0,0.0,,,,,,-0.17296056749426247,-0.085958689755894,-0.004590027122887545,189.19568114526191,-25.37948409980436,0.55,0.7,0.3,0.0,0.0,0.0,0.0,5271.548316855311,True,-0.0737640424385594,2271.548316855311,tier3_candidate_validation,too_slow,exact,True,"SPY_buy_hold, SPY_200d_trend_model, and BIL_cash_proxy 90-day rows available.",balanced_speculative_research_v1,review,0.7871592792192715,0.23402417411648305,0.1755181305873623,True,True,False,diagnostic_only,paper_forward_eligible_if_candidate_validated,defensive_benchmark,False,leverage_or_exposure_diagnostic,90d +300 before stop 6.5%; 90d stop hit 0.0%; 90d +400 before stop 1.3%; large recovery after stop warning; portfolio vs SPY_200d +300=-17.3% +400=-8.6% stop=-0.5% drawdown_change=189.20 median_equity_change=-25.38 diversification_score=0.55,90d +300 before stop 6.5%; 90d stop hit 0.0%; 90d +400 before stop 1.3%; large recovery after stop warning; portfolio vs SPY_200d +300=-17.3% +400=-8.6% stop=-0.5% drawdown_change=189.20 median_equity_change=-25.38 diversification_score=0.55
7,10,10,7,diversified_portfolio_challenge,portfolio_spy200d_60_ief_20_gld_10_bil_10_v1,portfolio_spy200d_60_ief_20_gld_10_bil_10_v1,multi_asset_defensive_mix,diversified_portfolio_diagnostic,1.0,1.0,standard,0.04882119757980388,0.008762779052785313,0.0,3081.2417269245625,-365.07255780027435,-324.6413902046115,0.0,0.0,,,,,,-0.18923430002086375,-0.08992280408929688,-0.004590027122887545,296.4186908765505,-14.345009410186776,0.65,0.6,0.1,0.2,0.1,0.0,0.0,6122.680409909185,True,-0.04370399836288813,3122.680409909185,tier3_candidate_validation,too_slow,exact,True,"SPY_buy_hold, SPY_200d_trend_model, and BIL_cash_proxy 90-day rows available.",balanced_speculative_research_v1,warning,0.6084542630004572,0.2708057564152083,0.20310431731140624,True,False,False,diagnostic_only,paper_forward_eligible_if_candidate_validated,defensive_benchmark,False,leverage_or_exposure_diagnostic,90d +300 before stop 4.9%; 90d stop hit 0.0%; 90d +400 before stop 0.9%; large recovery after stop warning; portfolio vs SPY_200d +300=-18.9% +400=-9.0% stop=-0.5% drawdown_change=296.42 median_equity_change=-14.35 diversification_score=0.65,90d +300 before stop 4.9%; 90d stop hit 0.0%; 90d +400 before stop 0.9%; large recovery after stop warning; portfolio vs SPY_200d +300=-18.9% +400=-9.0% stop=-0.5% drawdown_change=296.42 median_equity_change=-14.35 diversification_score=0.65
8,11,11,5,diversified_portfolio_challenge,portfolio_spy200d_60_ief_20_bil_20_v1,portfolio_spy200d_60_ief_20_bil_20_v1,bond_defensive_mix,diversified_portfolio_diagnostic,1.0,1.0,standard,0.02837471312330482,0.004381389526392656,0.0,3067.781448418901,-354.8290427098859,-343.4228380220097,0.0,0.0,,,,,,-0.20968078447736282,-0.09430419361568955,-0.004590027122887545,306.6622059669389,-27.805287915848112,0.65,0.6,0.2,0.2,0.0,0.0,0.0,5529.492901497331,True,-0.043753051904762676,2529.4929014973313,tier3_candidate_validation,too_slow,exact,True,"SPY_buy_hold, SPY_200d_trend_model, and BIL_cash_proxy 90-day rows available.",balanced_speculative_research_v1,warning,0.5913817378498099,0.2259381613963372,0.16945362104725292,True,False,False,diagnostic_only,paper_forward_eligible_if_candidate_validated,defensive_benchmark,False,leverage_or_exposure_diagnostic,90d +300 before stop 2.8%; 90d stop hit 0.0%; 90d +400 before stop 0.4%; large recovery after stop warning; portfolio vs SPY_200d +300=-21.0% +400=-9.4% stop=-0.5% drawdown_change=306.66 median_equity_change=-27.81 diversification_score=0.65,90d +300 before stop 2.8%; 90d stop hit 0.0%; 90d +400 before stop 0.4%; large recovery after stop warning; portfolio vs SPY_200d +300=-21.0% +400=-9.4% stop=-0.5% drawdown_change=306.66 median_equity_change=-27.81 diversification_score=0.65
9,12,12,2,etf_benchmark,BIL_cash_proxy,,,,1.0,1.0,standard,0.0,0.0,0.0,3000.4623768570827,-24.674171298818692,-14.342627892100154,0.0,0.0,,,,,,-0.23805549760066763,-0.0986855831420822,-0.004590027122887545,636.8170773780062,-95.12435947766653,0.0,,0.0,0.0,0.0,0.0,0.0,3870.8587865925588,True,-0.0005002501250714692,870.8587865925588,ETF benchmark,benchmark_only,exact,True,"SPY_buy_hold, SPY_200d_trend_model, and BIL_cash_proxy 90-day rows available.",balanced_speculative_research_v1,normal,0.041123618831364485,0.001541256190275817,0.001155942142706863,False,False,False,benchmark_only,paper_forward_eligible_if_candidate_validated,defensive_benchmark,True,none,90d +300 before stop 0.0%; 90d stop hit 0.0%,90d +300 before stop 0.0%; 90d stop hit 0.0%
10,1,1,12,etf_benchmark,SPY_buy_hold,,,,1.0,1.0,standard,0.3150427707072814,0.14959315668683495,0.06426037972042561,3152.5499343907036,-1329.5804799262269,-801.1575717527398,0.021489672438973505,0.008762779052785313,,,,,,0.0769872731066138,0.050907573544752754,0.05967035259753807,-668.089231249402,56.96319805595431,0.0,,0.0,0.0,0.0,0.0,-3.5510118923430007,2752.9007161024706,True,-0.0004991904627668591,-247.0992838975294,ETF benchmark,benchmark_candidate,exact,True,"SPY_buy_hold, SPY_200d_trend_model, and BIL_cash_proxy 90-day rows available.",balanced_speculative_research_v1,hard_stop,2.2159674665437112,0.5084997813023453,0.381374835976759,True,True,True,benchmark_candidate,paper_forward_eligible_if_candidate_validated,core,False,project_stop_hit,90d +300 before stop 31.5%; 90d stop hit 6.4%; 90d +400 before stop 15.0%; large recovery after stop warning; worst 90d drawdown beyond $600 (-1329.58),90d +300 before stop 31.5%; 90d stop hit 6.4%; 90d +400 before stop 15.0%; large recovery after stop warning; worst 90d drawdown beyond $600 (-1329.58)
