symbol,cache_path,source_status,cache_written,rows_available,sha256,write_status
SPY,data/cache/SPY.csv,cache_confirmed,True,4887,7ba676562aafa7795874ba04db63241c45d7a61e4db29f800f9cbbe7871b4cfc,cache_confirmed
QQQ,data/cache/QQQ.csv,cache_confirmed,True,4882,5cb8120fa36ab286f228137250eca27bfd9a8411d90091bd0534a7aac7f36458,cache_confirmed
GLD,data/cache/GLD.csv,cache_confirmed,True,4887,86bfcbb950182721de08580449e0bc17ba33a38b3498a1854a201ff1cb95594c,cache_confirmed
IEF,data/cache/IEF.csv,cache_confirmed,True,4882,026057433626a78f82f88fb9accd17290ac078016c1a28a59c58a7e9bb12a490,cache_confirmed
BIL,data/cache/BIL.csv,cache_confirmed,True,4786,1945812df681efae2fb4645313d96506f3f87bf7f578f3bd59a105e464e5db19,cache_confirmed
DBC,data/cache/DBC.csv,cache_confirmed,True,5115,1388b2576ca2bf665f3aa73c2dc58b1bfd56daa2fcc75a7edcc0047a7e450935,cache_confirmed
PDBC,data/cache/PDBC.csv,cache_confirmed,True,2910,b03a8ecf871f20eb235607eb16fcab47170d84c64553b2a94a5272b363f51b80,cache_confirmed
COMT,data/cache/COMT.csv,cache_confirmed,True,2926,ed250fa9c0e93ef027da83184543cebe35b573e5e4af7d89625626f946c00032,cache_confirmed
GSG,data/cache/GSG.csv,cache_confirmed,True,5000,5c0a5cf4b399186567e242e557dbfdd6084adcd9639399b3f8f49c0d57d404e2,cache_confirmed
USCI,data/cache/USCI.csv,cache_confirmed,True,3980,adfded8452e4d318b32a5927f808abfd590386d20b0c2aad153493c9255d7717,cache_confirmed
IWM,data/cache/IWM.csv,cache_confirmed,True,4882,cf1c1712123301eadb44f35eef517c867000782a1efbd077cbfd2ec5119ce103,cache_confirmed
EFA,data/cache/EFA.csv,downloaded_yfinance_compatible,True,5139,04100e1aca8fe9bf8e19728af87021ca95b0421d66c8aa22509ae55e4b7f7347,downloaded_yfinance_compatible
EEM,data/cache/EEM.csv,downloaded_yfinance_compatible,True,5139,e5fe69905cecac0ca804d1455e974c1dc2dd8cdbff5db94d51f85c4ef8161bd8,downloaded_yfinance_compatible
TLT,data/cache/TLT.csv,cache_confirmed,True,4882,eb66ff33d417e74edf87cfcd06332ade8cfd93f00407c53346ff3b226f000ce9,cache_confirmed
