strategy,slippage_label,horizon,credibility_tier,final_validation,candidate_validation,paper_forward_ready,sampled_results_are_final,number_of_windows,mean_final_equity,median_final_equity,pct_windows_target_300_hit,pct_windows_target_300_before_stop,pct_windows_target_400_hit,pct_windows_target_400_before_stop,pct_windows_any_project_stop_hit,median_max_drawdown_pct,worst_max_drawdown_pct,median_rebalances,pct_windows_positive_return,pct_windows_below_2400,pct_windows_above_3300,pct_windows_above_3400
BTC_buy_hold,standard,30,Tier 1 exploratory screen,False,False,False,False,250,3206.2518421403283,3140.781669528658,0.556,0.556,0.448,0.448,0.224,-0.12068068752583752,-0.5156564724075637,1.0,0.604,0.072,0.42,0.352
BTC_buy_hold,standard,60,Tier 1 exploratory screen,False,False,False,False,250,3378.654159029355,3267.2134238094586,0.676,0.66,0.576,0.552,0.536,-0.146568105707274,-0.6031682535784076,1.0,0.608,0.156,0.488,0.424
BTC_buy_hold,standard,90,Tier 1 exploratory screen,False,False,False,False,250,3584.512119927016,3370.436951321497,0.676,0.656,0.628,0.6,0.688,-0.18798209505268082,-0.6068625538009217,1.0,0.588,0.172,0.504,0.496
BTC_buy_hold,standard,180,Tier 1 exploratory screen,False,False,False,False,250,4044.932482218034,3485.746124829776,0.712,0.628,0.668,0.572,0.984,-0.3214698048461444,-0.6631802395500518,1.0,0.564,0.296,0.536,0.52
BTC_buy_hold,stress,30,Tier 1 exploratory screen,False,False,False,False,250,3199.873513418234,3134.505870082745,0.548,0.548,0.44,0.44,0.216,-0.12068068752583765,-0.5156564724075636,1.0,0.6,0.072,0.42,0.348
BTC_buy_hold,stress,60,Tier 1 exploratory screen,False,False,False,False,250,3371.9418689506174,3260.6765741646304,0.672,0.656,0.568,0.544,0.524,-0.147362803264819,-0.6031682535784075,1.0,0.592,0.164,0.484,0.416
BTC_buy_hold,stress,90,Tier 1 exploratory screen,False,False,False,False,250,3577.35512367567,3363.675936450983,0.672,0.652,0.62,0.592,0.68,-0.1879820950526808,-0.6068625538009217,1.0,0.588,0.172,0.504,0.492
BTC_buy_hold,stress,180,Tier 1 exploratory screen,False,False,False,False,250,4036.8828409504176,3478.8102773306805,0.708,0.624,0.66,0.56,0.984,-0.3214698048461442,-0.6631802395500517,1.0,0.56,0.296,0.536,0.52
ETH_buy_hold,standard,30,Tier 1 exploratory screen,False,False,False,False,250,3216.864918805711,3070.06670323192,0.592,0.588,0.504,0.496,0.332,-0.14009972573001367,-0.595966406536359,1.0,0.544,0.12,0.384,0.332
ETH_buy_hold,standard,60,Tier 1 exploratory screen,False,False,False,False,250,3338.527717674476,3246.7002032063733,0.7,0.664,0.628,0.588,0.66,-0.1907125623941337,-0.6621024109744212,1.0,0.584,0.228,0.484,0.432
ETH_buy_hold,standard,90,Tier 1 exploratory screen,False,False,False,False,250,3542.956935282797,3190.969201747872,0.716,0.68,0.648,0.6,0.816,-0.30052182677486006,-0.7348326491963396,1.0,0.56,0.284,0.472,0.44
ETH_buy_hold,standard,180,Tier 1 exploratory screen,False,False,False,False,250,4279.061938602829,3343.6741986859583,0.752,0.676,0.692,0.596,0.996,-0.4569795204754491,-0.840314530000367,1.0,0.556,0.384,0.508,0.496
ETH_buy_hold,stress,30,Tier 1 exploratory screen,False,False,False,False,250,3210.4614100622116,3063.993410795456,0.584,0.58,0.5,0.492,0.332,-0.14009972573001356,-0.5959664065363592,1.0,0.544,0.12,0.38,0.332
ETH_buy_hold,stress,60,Tier 1 exploratory screen,False,False,False,False,250,3331.89695060614,3240.389030819296,0.692,0.656,0.624,0.584,0.66,-0.19153508072070202,-0.6621024109744215,1.0,0.58,0.228,0.484,0.428
ETH_buy_hold,stress,90,Tier 1 exploratory screen,False,False,False,False,250,3535.881149111639,3184.5167835612224,0.712,0.676,0.64,0.596,0.816,-0.30052182677485983,-0.7348326491963396,1.0,0.556,0.284,0.468,0.44
ETH_buy_hold,stress,180,Tier 1 exploratory screen,False,False,False,False,250,4270.539417327155,3337.2390538048057,0.748,0.672,0.688,0.588,0.996,-0.4569795204754491,-0.840676510343387,1.0,0.556,0.384,0.504,0.492
cash_flat,standard,30,Tier 1 exploratory screen,False,False,False,False,250,3000.0,3000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cash_flat,standard,60,Tier 1 exploratory screen,False,False,False,False,250,3000.0,3000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cash_flat,standard,90,Tier 1 exploratory screen,False,False,False,False,250,3000.0,3000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cash_flat,standard,180,Tier 1 exploratory screen,False,False,False,False,250,3000.0,3000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cash_flat,stress,30,Tier 1 exploratory screen,False,False,False,False,250,3000.0,3000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cash_flat,stress,60,Tier 1 exploratory screen,False,False,False,False,250,3000.0,3000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cash_flat,stress,90,Tier 1 exploratory screen,False,False,False,False,250,3000.0,3000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cash_flat,stress,180,Tier 1 exploratory screen,False,False,False,False,250,3000.0,3000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
crypto_buy_hold_equal_weight,standard,30,Tier 1 exploratory screen,False,False,False,False,250,3101.1235074835313,3060.6976942860483,0.38,0.376,0.284,0.284,0.172,-0.07360326707502776,-0.4990056910373914,1.0,0.564,0.048,0.256,0.192
crypto_buy_hold_equal_weight,standard,60,Tier 1 exploratory screen,False,False,False,False,250,3279.01766478947,3202.2500967052715,0.708,0.684,0.588,0.56,0.472,-0.1410905825611509,-0.5964331803496995,1.0,0.608,0.16,0.456,0.396
crypto_buy_hold_equal_weight,standard,90,Tier 1 exploratory screen,False,False,False,False,250,3485.472111615155,3240.3735189854833,0.716,0.68,0.628,0.584,0.7,-0.22940176011161106,-0.6595910906349146,1.0,0.576,0.16,0.484,0.46
crypto_buy_hold_equal_weight,standard,180,Tier 1 exploratory screen,False,False,False,False,250,4021.9980072698622,3635.8354809330913,0.732,0.648,0.648,0.544,0.992,-0.39116097580266024,-0.735495383712725,1.0,0.568,0.28,0.544,0.532
crypto_buy_hold_equal_weight,stress,30,Tier 1 exploratory screen,False,False,False,False,250,3095.1895323487042,3054.6208337044704,0.376,0.372,0.284,0.284,0.172,-0.07360326707502782,-0.4990056910373913,1.0,0.564,0.048,0.248,0.192
crypto_buy_hold_equal_weight,stress,60,Tier 1 exploratory screen,False,False,False,False,250,3272.5093712427897,3195.848706855045,0.708,0.684,0.584,0.56,0.472,-0.14109058256115126,-0.5964331803496992,1.0,0.6,0.164,0.452,0.384
crypto_buy_hold_equal_weight,stress,90,Tier 1 exploratory screen,False,False,False,False,250,3478.5334617248413,3234.06219874646,0.716,0.68,0.628,0.58,0.7,-0.22940176011161117,-0.6595910906349148,1.0,0.572,0.16,0.484,0.456
