strategy,slippage_label,horizon,start_date,end_date,credibility_tier,final_validation,candidate_validation,paper_forward_ready,sampled_results_are_final,rolling_method,possible_window_count,final_equity,total_return,max_equity,min_equity,max_drawdown_dollars,max_drawdown_pct,number_of_rebalances,target_300_hit,target_300_before_stop,target_300_first_date,time_to_target_300_days,target_400_hit,target_400_before_stop,target_400_first_date,time_to_target_400_days,absolute_floor_stop_hit,trailing_drawdown_stop_hit,any_project_stop_hit,first_project_stop_date
crypto_buy_hold_equal_weight,standard,90,2018-01-01,2018-03-31,Tier 1 exploratory screen,False,False,False,False,deterministic_sample,2983,1483.7054480413349,-0.505431517319555,3000.0,1471.4640076251467,-1528.5359923748533,-0.5095119974582845,1,False,False,,,False,False,,,True,True,True,2018-02-04
crypto_buy_hold_equal_weight,standard,90,2018-09-29,2018-12-27,Tier 1 exploratory screen,False,False,False,False,deterministic_sample,2983,1587.3268459666592,-0.470891051344447,3000.0,1267.3753918952666,-1732.6246081047334,-0.5775415360349111,1,False,False,,,False,False,,,True,True,True,2018-11-16
crypto_buy_hold_equal_weight,standard,90,2019-06-27,2019-09-24,Tier 1 exploratory screen,False,False,False,False,deterministic_sample,2983,2049.2061422540105,-0.3169312859153298,3335.9149833469346,2049.2061422540105,-1286.708841092924,-0.3857139188247432,1,True,True,2019-07-08,11,False,False,,,True,True,True,2019-07-14
crypto_buy_hold_equal_weight,standard,90,2020-03-24,2020-06-21,Tier 1 exploratory screen,False,False,False,False,deterministic_sample,2983,4738.726668056086,0.5795755560186953,5143.374044246262,3000.0,-611.7448942192987,-0.1298333425168206,1,True,True,2020-04-06,13,True,True,2020-04-06,13,False,True,True,2020-05-11
crypto_buy_hold_equal_weight,standard,90,2020-12-20,2021-03-19,Tier 1 exploratory screen,False,False,False,False,deterministic_sample,2983,6809.0546658159765,1.2696848886053256,7177.148329511285,3000.0,-1685.389576192032,-0.2421155796463007,1,True,True,2021-01-03,14,True,True,2021-01-03,14,False,True,True,2021-01-11
crypto_buy_hold_equal_weight,standard,90,2021-09-17,2021-12-15,Tier 1 exploratory screen,False,False,False,False,deterministic_sample,2983,3684.5510560439116,0.22818368534797062,4728.390341330247,3000.0,-1255.472516074783,-0.2655179512361449,1,True,True,2021-10-02,15,True,True,2021-10-05,18,False,True,True,2021-11-18
crypto_buy_hold_equal_weight,standard,90,2022-06-15,2022-09-12,Tier 1 exploratory screen,False,False,False,False,deterministic_sample,2983,4066.372914683643,0.3554576382278811,4558.682639776711,2922.3248692085826,-1084.2381594523058,-0.23784023700000598,1,True,True,2022-07-07,22,True,True,2022-07-16,31,False,True,True,2022-08-19
crypto_buy_hold_equal_weight,standard,90,2023-03-13,2023-06-10,Tier 1 exploratory screen,False,False,False,False,deterministic_sample,2983,2805.2992433985605,-0.06490025220047979,3338.1059801705883,2805.2992433985605,-532.8067367720278,-0.15961348738987596,1,True,True,2023-04-14,32,False,False,,,False,False,False,
crypto_buy_hold_equal_weight,standard,90,2023-12-09,2024-03-07,Tier 1 exploratory screen,False,False,False,False,deterministic_sample,2983,4933.43048129857,0.6444768270995234,4933.43048129857,2877.404564412886,-490.4083596330156,-0.14561627106171518,1,True,True,2024-01-10,32,True,True,2024-02-12,65,False,False,False,
crypto_buy_hold_equal_weight,standard,90,2024-09-05,2024-12-03,Tier 1 exploratory screen,False,False,False,False,deterministic_sample,2983,4372.802274683684,0.4576007582278947,4456.40580930092,2789.4689630508365,-260.21599604731,-0.080350835254537,1,True,True,2024-11-06,62,True,True,2024-11-07,63,False,False,False,
crypto_buy_hold_equal_weight,standard,90,2025-06-03,2025-08-31,Tier 1 exploratory screen,False,False,False,False,deterministic_sample,2983,4030.6819005471475,0.34356063351571575,4468.031961752748,2928.2133506421446,-512.3670452673441,-0.11467398838085963,1,True,True,2025-07-10,37,True,True,2025-07-10,37,False,False,False,
crypto_buy_hold_equal_weight,standard,90,2026-03-02,2026-05-31,Tier 1 exploratory screen,False,False,False,False,deterministic_sample,2983,3060.856233998808,0.020285411332936043,3490.5642466410577,2932.1631527805393,-449.8674838783286,-0.12888102097282195,1,True,True,2026-04-13,42,True,True,2026-04-17,46,False,False,False,
crypto_time_series_momentum,standard,90,2018-01-01,2018-03-31,Tier 1 exploratory screen,False,False,False,False,deterministic_sample,2983,3000.0,0.0,3000.0,3000.0,0.0,0.0,0,False,False,,,False,False,,,False,False,False,
crypto_time_series_momentum,standard,90,2018-09-29,2018-12-27,Tier 1 exploratory screen,False,False,False,False,deterministic_sample,2983,3000.0,0.0,3000.0,3000.0,0.0,0.0,0,False,False,,,False,False,,,False,False,False,
crypto_time_series_momentum,standard,90,2019-06-27,2019-09-24,Tier 1 exploratory screen,False,False,False,False,deterministic_sample,2983,2339.705015166178,-0.22009832827794074,3335.9149833469346,2211.764462590863,-1124.1505207560717,-0.3369841636756006,3,True,True,2019-07-08,11,False,False,,,True,True,True,2019-07-14
crypto_time_series_momentum,standard,90,2020-03-24,2020-06-21,Tier 1 exploratory screen,False,False,False,False,deterministic_sample,2983,3067.7340522651475,0.022578017421715835,3580.2039057440547,2843.084350964241,-527.4711556358361,-0.1473299201728608,3,True,True,2020-04-29,36,True,True,2020-04-29,36,False,False,False,
crypto_time_series_momentum,standard,90,2020-12-20,2021-03-19,Tier 1 exploratory screen,False,False,False,False,deterministic_sample,2983,8152.919528116105,1.7176398427053683,8593.66177005809,2852.8854421664014,-2018.0254473801706,-0.24211557964630046,1,True,True,2020-12-28,8,True,True,2020-12-28,8,False,True,True,2021-01-11
crypto_time_series_momentum,standard,90,2021-09-17,2021-12-15,Tier 1 exploratory screen,False,False,False,False,deterministic_sample,2983,3304.1675861002386,0.10138919536674629,4315.063312662712,2517.8151113441504,-1200.6804929224936,-0.2782532736887203,5,True,True,2021-10-06,19,True,True,2021-10-11,24,False,True,True,2021-11-18
crypto_time_series_momentum,standard,90,2022-06-15,2022-09-12,Tier 1 exploratory screen,False,False,False,False,deterministic_sample,2983,3000.0,0.0,3000.0,3000.0,0.0,0.0,0,False,False,,,False,False,,,False,False,False,
crypto_time_series_momentum,standard,90,2023-03-13,2023-06-10,Tier 1 exploratory screen,False,False,False,False,deterministic_sample,2983,2856.9029170411904,-0.04769902765293654,3399.5106705937583,2856.9029170411904,-542.6077535525678,-0.1596134873898766,1,True,True,2023-04-13,31,False,False,,,False,False,False,
crypto_time_series_momentum,standard,90,2023-12-09,2024-03-07,Tier 1 exploratory screen,False,False,False,False,deterministic_sample,2983,4776.536750801955,0.5921789169339851,4776.536750801955,2785.8968928301915,-474.812316007547,-0.14561627106171518,1,True,True,2024-02-12,65,True,True,2024-02-12,65,False,False,False,
crypto_time_series_momentum,standard,90,2024-09-05,2024-12-03,Tier 1 exploratory screen,False,False,False,False,deterministic_sample,2983,3891.9387523144687,0.29731291743815613,3966.3486651731105,2755.8992101577655,-244.10078984223446,-0.08136692994741149,4,True,True,2024-11-10,66,True,True,2024-11-11,67,False,False,False,
crypto_time_series_momentum,standard,90,2025-06-03,2025-08-31,Tier 1 exploratory screen,False,False,False,False,deterministic_sample,2983,4048.0861176095827,0.3493620392031942,4487.324627366891,2860.9545752117288,-514.5794121798158,-0.11467398838085956,2,True,True,2025-07-10,37,True,True,2025-07-10,37,False,False,False,
crypto_time_series_momentum,standard,90,2026-03-02,2026-05-31,Tier 1 exploratory screen,False,False,False,False,deterministic_sample,2983,3000.0,0.0,3000.0,3000.0,0.0,0.0,0,False,False,,,False,False,,,False,False,False,
crypto_cross_sectional_momentum,standard,90,2018-01-01,2018-03-31,Tier 1 exploratory screen,False,False,False,False,deterministic_sample,2983,3000.0,0.0,3000.0,3000.0,0.0,0.0,0,False,False,,,False,False,,,False,False,False,
crypto_cross_sectional_momentum,standard,90,2018-09-29,2018-12-27,Tier 1 exploratory screen,False,False,False,False,deterministic_sample,2983,2611.9163088078494,-0.12936123039738356,3000.0,2582.3533187220733,-417.64668127792675,-0.13921556042597558,4,False,False,,,False,False,,,False,False,False,
crypto_cross_sectional_momentum,standard,90,2019-06-27,2019-09-24,Tier 1 exploratory screen,False,False,False,False,deterministic_sample,2983,2787.250201059399,-0.07091659964686703,3483.622171569956,2625.816347857653,-857.8058237123032,-0.24623962687828393,2,True,True,2019-07-03,6,True,True,2019-07-08,11,False,True,True,2019-07-14
crypto_cross_sectional_momentum,standard,90,2020-03-24,2020-06-21,Tier 1 exploratory screen,False,False,False,False,deterministic_sample,2983,3390.350885291495,0.1301169617638318,4035.1479933449177,2850.8104913574302,-672.2103049819812,-0.16658876107905907,4,True,True,2020-04-18,25,True,True,2020-04-18,25,False,True,True,2020-06-15
crypto_cross_sectional_momentum,standard,90,2020-12-20,2021-03-19,Tier 1 exploratory screen,False,False,False,False,deterministic_sample,2983,6737.371536507677,1.2457905121692257,7265.725716072848,2910.8470305626906,-2016.8694467905952,-0.2775867856295463,2,True,True,2020-12-26,6,True,True,2020-12-28,8,False,True,True,2021-01-11
crypto_cross_sectional_momentum,standard,90,2021-09-17,2021-12-15,Tier 1 exploratory screen,False,False,False,False,deterministic_sample,2983,3616.696099855256,0.2055653666184185,4331.05385301082,2488.088680166134,-960.0211081941543,-0.22165993330394085,1,True,True,2021-10-14,27,True,True,2021-10-14,27,False,True,True,2021-11-18
crypto_cross_sectional_momentum,standard,90,2022-06-15,2022-09-12,Tier 1 exploratory screen,False,False,False,False,deterministic_sample,2983,2915.2061720267066,-0.0282646093244312,3000.0,2915.2061720267066,-84.79382797329345,-0.028264609324431148,1,False,False,,,False,False,,,False,False,False,
crypto_cross_sectional_momentum,standard,90,2023-03-13,2023-06-10,Tier 1 exploratory screen,False,False,False,False,deterministic_sample,2983,2763.1621927560486,-0.07894593574798381,3258.5257317353307,2753.420233618226,-505.1054981171046,-0.1550104371427229,1,False,False,,,False,False,,,False,False,False,
crypto_cross_sectional_momentum,standard,90,2023-12-09,2024-03-07,Tier 1 exploratory screen,False,False,False,False,deterministic_sample,2983,4338.601706431016,0.44620056881033876,4338.601706431016,2561.431895481442,-653.8011647771109,-0.20334487501336387,4,True,False,2024-02-20,73,True,False,2024-02-25,78,False,True,True,2024-01-23
crypto_cross_sectional_momentum,standard,90,2024-09-05,2024-12-03,Tier 1 exploratory screen,False,False,False,False,deterministic_sample,2983,4109.144088130965,0.36971469604365503,4237.359334487109,2838.1056468478623,-300.1466805008213,-0.08519272687087209,3,True,True,2024-11-10,66,True,True,2024-11-10,66,False,False,False,
crypto_cross_sectional_momentum,standard,90,2025-06-03,2025-08-31,Tier 1 exploratory screen,False,False,False,False,deterministic_sample,2983,4991.374628781999,0.6637915429273329,5493.158629287651,2659.8752022548306,-776.3449997744128,-0.20803297904022225,3,True,True,2025-06-10,7,True,False,2025-07-14,41,False,True,True,2025-06-21
crypto_cross_sectional_momentum,standard,90,2026-03-02,2026-05-31,Tier 1 exploratory screen,False,False,False,False,deterministic_sample,2983,2693.9149133617043,-0.10202836221276523,3000.0,2677.127004548568,-322.87299545143196,-0.10762433181714398,1,False,False,,,False,False,,,False,False,False,
