family_id,strategy_id,previous_generic_verdict,updated_label,profit_first_score,promotion_candidate,candidate_exhaustive_unlocked,paper_forward_unlocked,reason
gtaa_faber_style_benchmark_lane,gtaa_equal_weight_trend_filter_v1,watchlist,benchmark_watchlist,47.31,False,False,False,score=47.31; label=benchmark_watchlist
gtaa_faber_style_benchmark_lane,gtaa_top3_trend_filter_v1,watchlist,benchmark_watchlist,56.76,False,False,False,score=56.76; label=benchmark_watchlist
gtaa_faber_style_benchmark_lane,gtaa_top2_risk_adjusted_v1,too_risky,too_risky,24.7917170996014,False,False,False,score=24.7917170996014; label=weak
gtaa_faber_style_benchmark_lane,gtaa_spy_gld_ief_static_trend_v1,watchlist,benchmark_watchlist,48.17,False,False,False,score=48.17; label=benchmark_watchlist
gtaa_faber_style_benchmark_lane,gtaa_breadth_defensive_v1,watchlist,benchmark_watchlist,54.94,False,False,False,score=54.94; label=benchmark_watchlist
static_all_weather_or_permanent_portfolio_benchmark,static_all_weather_equal_weight_v1,watchlist,benchmark_watchlist,49.66,False,False,False,score=49.66; label=benchmark_watchlist
static_all_weather_or_permanent_portfolio_benchmark,static_permanent_portfolio_v1,watchlist,benchmark_watchlist,49.66,False,False,False,score=49.66; label=benchmark_watchlist
static_all_weather_or_permanent_portfolio_benchmark,static_all_weather_trend_filtered_v1,watchlist,defensive_watchlist,49.79,False,False,False,score=49.79; label=defensive_watchlist
low_beta_defensive_equity_etf,low_beta_usmv_splv_top1_v1,too_risky,too_risky,9.191513583619894,False,False,False,score=9.191513583619894; label=weak
low_beta_defensive_equity_etf,low_beta_usmv_splv_50_50_v1,too_risky,too_risky,8.883369120386789,False,False,False,score=8.883369120386789; label=weak
dividend_quality_yield_etf,dividend_quality_top2_v1,too_risky,too_risky,21.86116981385647,False,False,False,score=21.86116981385647; label=weak
dividend_quality_yield_etf,dividend_quality_trend_equal_weight_v1,too_risky,too_risky,20.167464249105457,False,False,False,score=20.167464249105457; label=weak
carry_yield_etf_proxy,carry_yield_top2_v1,too_risky,too_risky,6.48816463236642,False,False,False,score=6.48816463236642; label=weak
carry_yield_etf_proxy,carry_yield_defensive_filter_v1,watchlist,diversifier_watchlist_candidate,51.43,False,False,False,score=51.43; label=diversifier_watchlist_candidate
