rebalance_date,available_assets,eligible_assets,ranks,selected_assets,weights,BIL_weight,reason,signal_values,warnings,rebalance,signal_date,portfolio_equity_before,portfolio_equity_after,turnover
2008-06-02,SPY;QQQ;EFA;EEM;IWM;GLD;IEF;BIL,QQQ;EFA;EEM;IWM;GLD;IEF,"{""GLD"": 0.09903226446701296}",GLD,"{""BIL"": 0.5, ""GLD"": 0.5}",0.5,PAA breadth defensive branch,"{""BIL"": {""above_200d"": true, ""ret126"": 0.01016581145730533}, ""EEM"": {""above_200d"": true, ""ret126"": -0.011348661644091207}, ""EFA"": {""above_200d"": true, ""ret126"": -0.054556457046674445}, ""GLD"": {""above_200d"": true, ""ret126"": 0.09903226446701296}, ""IEF"": {""above_200d"": true, ""ret126"": 0.023981228773185315}, ""IWM"": {""above_200d"": true, ""ret126"": -0.023756517279603484}, ""QQQ"": {""above_200d"": true, ""ret126"": -0.026782333791753876}, ""SPY"": {""above_200d"": false, ""ret126"": -0.036271243331340575}}",,True,2008-05-30,3000.0,3000.0,1.0
2008-07-01,SPY;QQQ;EFA;EEM;IWM;GLD;IEF;BIL,GLD;IEF,"{""GLD"": 0.1012048376611916}",GLD,"{""BIL"": 0.5, ""GLD"": 0.5}",0.5,PAA breadth defensive branch,"{""BIL"": {""above_200d"": true, ""ret126"": 0.010363475845448056}, ""EEM"": {""above_200d"": false, ""ret126"": -0.0976452204481203}, ""EFA"": {""above_200d"": false, ""ret126"": -0.11419586254493785}, ""GLD"": {""above_200d"": true, ""ret126"": 0.1012048376611916}, ""IEF"": {""above_200d"": true, ""ret126"": 0.03273033524793334}, ""IWM"": {""above_200d"": false, ""ret126"": -0.09662018597183775}, ""QQQ"": {""above_200d"": false, ""ret126"": -0.12703912457336675}, ""SPY"": {""above_200d"": false, ""ret126"": -0.12249196827841713}}",,True,2008-06-30,3000.0,3000.0,0.0
2008-08-01,SPY;QQQ;EFA;EEM;IWM;GLD;IEF;BIL,GLD;IEF,"{""IEF"": 0.001770351031484596}",IEF,"{""BIL"": 0.5, ""IEF"": 0.5}",0.5,PAA breadth defensive branch,"{""BIL"": {""above_200d"": true, ""ret126"": 0.008515927581784322}, ""EEM"": {""above_200d"": false, ""ret126"": -0.05238048412686924}, ""EFA"": {""above_200d"": false, ""ret126"": -0.06488107000018761}, ""GLD"": {""above_200d"": true, ""ret126"": -0.014442009549097135}, ""IEF"": {""above_200d"": true, ""ret126"": 0.001770351031484596}, ""IWM"": {""above_200d"": false, ""ret126"": 0.010757456924559206}, ""QQQ"": {""above_200d"": false, ""ret126"": 0.008802526913317177}, ""SPY"": {""above_200d"": false, ""ret126"": -0.06751537280809528}}",,True,2008-07-31,3000.0,3000.0,1.0
2008-09-02,SPY;QQQ;EFA;EEM;IWM;GLD;IEF;BIL,IWM;IEF,"{""IEF"": 0.007175248697876224}",IEF,"{""BIL"": 0.5, ""IEF"": 0.5}",0.5,PAA breadth defensive branch,"{""BIL"": {""above_200d"": true, ""ret126"": 0.007285654099856487}, ""EEM"": {""above_200d"": false, ""ret126"": -0.13430120986269511}, ""EFA"": {""above_200d"": false, ""ret126"": -0.09799319604959433}, ""GLD"": {""above_200d"": false, ""ret126"": -0.15970793007476147}, ""IEF"": {""above_200d"": true, ""ret126"": 0.007175248697876224}, ""IWM"": {""above_200d"": true, ""ret126"": 0.08895663545400123}, ""QQQ"": {""above_200d"": false, ""ret126"": 0.08245298375051058}, ""SPY"": {""above_200d"": false, ""ret126"": -0.02565580835967529}}",,True,2008-08-29,3000.0,3000.0,0.0
2008-10-01,SPY;QQQ;EFA;EEM;IWM;GLD;IEF;BIL,IEF,"{""IEF"": 0.002016715754568521}",IEF,"{""BIL"": 0.5, ""IEF"": 0.5}",0.5,PAA breadth defensive branch,"{""BIL"": {""above_200d"": true, ""ret126"": 0.011083878686384718}, ""EEM"": {""above_200d"": false, ""ret126"": -0.25748570017455996}, ""EFA"": {""above_200d"": false, ""ret126"": -0.22823196992872985}, ""GLD"": {""above_200d"": false, ""ret126"": -0.047048248080878596}, ""IEF"": {""above_200d"": true, ""ret126"": 0.002016715754568521}, ""IWM"": {""above_200d"": false, ""ret126"": -0.03609918643216381}, ""QQQ"": {""above_200d"": false, ""ret126"": -0.14347387638126052}, ""SPY"": {""above_200d"": false, ""ret126"": -0.14231986214150094}}",,True,2008-09-30,3000.0,3000.0,0.0
2008-11-03,SPY;QQQ;EFA;EEM;IWM;GLD;IEF;BIL,IEF,"{""IEF"": 0.012571352063733165}",IEF,"{""BIL"": 0.5, ""IEF"": 0.5}",0.5,PAA breadth defensive branch,"{""BIL"": {""above_200d"": true, ""ret126"": 0.008424551657874035}, ""EEM"": {""above_200d"": false, ""ret126"": -0.4839547368154895}, ""EFA"": {""above_200d"": false, ""ret126"": -0.4072113491954015}, ""GLD"": {""above_200d"": false, ""ret126"": -0.17306132938601104}, ""IEF"": {""above_200d"": true, ""ret126"": 0.012571352063733165}, ""IWM"": {""above_200d"": false, ""ret126"": -0.25190384346107564}, ""QQQ"": {""above_200d"": false, ""ret126"": -0.3227406249746536}, ""SPY"": {""above_200d"": false, ""ret126"": -0.30499432469964993}}",,True,2008-10-31,3000.0,3000.0,0.0
2008-12-01,SPY;QQQ;EFA;EEM;IWM;GLD;IEF;BIL,IEF,"{""IEF"": 0.09681327503089943}",IEF,"{""BIL"": 0.5, ""IEF"": 0.5}",0.5,PAA breadth defensive branch,"{""BIL"": {""above_200d"": true, ""ret126"": 0.006446719125100087}, ""EEM"": {""above_200d"": false, ""ret126"": -0.5341875311961706}, ""EFA"": {""above_200d"": false, ""ret126"": -0.4398660371056441}, ""GLD"": {""above_200d"": false, ""ret126"": -0.08697136886657086}, ""IEF"": {""above_200d"": true, ""ret126"": 0.09681327503089943}, ""IWM"": {""above_200d"": false, ""ret126"": -0.35643544590705256}, ""QQQ"": {""above_200d"": false, ""ret126"": -0.4097176985876452}, ""SPY"": {""above_200d"": false, ""ret126"": -0.34438665115284417}}",,True,2008-11-28,3000.0,3000.0,0.0
2009-01-02,SPY;QQQ;EFA;EEM;IWM;GLD;IEF;BIL,GLD;IEF,"{""IEF"": 0.1474418783657121}",IEF,"{""BIL"": 0.5, ""IEF"": 0.5}",0.5,PAA breadth defensive branch,"{""BIL"": {""above_200d"": true, ""ret126"": 0.004866228379208248}, ""EEM"": {""above_200d"": false, ""ret126"": -0.4134005862563195}, ""EFA"": {""above_200d"": false, ""ret126"": -0.32040687902865816}, ""GLD"": {""above_200d"": true, ""ret126"": -0.07137492386573263}, ""IEF"": {""above_200d"": true, ""ret126"": 0.1474418783657121}, ""IWM"": {""above_200d"": false, ""ret126"": -0.2566886778467289}, ""QQQ"": {""above_200d"": false, ""ret126"": -0.3334093079504812}, ""SPY"": {""above_200d"": false, ""ret126"": -0.2748522641980332}}",,True,2008-12-31,3000.0,3000.0,0.0
2009-02-02,SPY;QQQ;EFA;EEM;IWM;GLD;IEF;BIL,GLD;IEF,"{""IEF"": 0.09459958631291276}",IEF,"{""BIL"": 0.5, ""IEF"": 0.5}",0.5,PAA breadth defensive branch,"{""BIL"": {""above_200d"": true, ""ret126"": 0.005306989625269765}, ""EEM"": {""above_200d"": false, ""ret126"": -0.4627162864217167}, ""EFA"": {""above_200d"": false, ""ret126"": -0.40966408441081437}, ""GLD"": {""above_200d"": true, ""ret126"": 0.013654481600099855}, ""IEF"": {""above_200d"": true, ""ret126"": 0.09459958631291276}, ""IWM"": {""above_200d"": false, ""ret126"": -0.3702514443600269}, ""QQQ"": {""above_200d"": false, ""ret126"": -0.3593970595513145}, ""SPY"": {""above_200d"": false, ""ret126"": -0.33780860208758023}}",,True,2009-01-30,3000.0,3000.0,0.0
2009-03-02,SPY;QQQ;EFA;EEM;IWM;GLD;IEF;BIL,GLD;IEF,"{""GLD"": 0.1385201150260622}",GLD,"{""BIL"": 0.5, ""GLD"": 0.5}",0.5,PAA breadth defensive branch,"{""BIL"": {""above_200d"": true, ""ret126"": 0.0040367595903376685}, ""EEM"": {""above_200d"": false, ""ret126"": -0.4651206564586985}, ""EFA"": {""above_200d"": false, ""ret126"": -0.4420767479367761}, ""GLD"": {""above_200d"": true, ""ret126"": 0.1385201150260622}, ""IEF"": {""above_200d"": true, ""ret126"": 0.06735104198608122}, ""IWM"": {""above_200d"": false, ""ret126"": -0.45869241012357187}, ""QQQ"": {""above_200d"": false, ""ret126"": -0.40961803313925216}, ""SPY"": {""above_200d"": false, ""ret126"": -0.41723092912678195}}",,True,2009-02-27,3000.0,3000.0,1.0
