rebalance_date,available_assets,eligible_assets,ranks,selected_assets,weights,BIL_weight,reason,signal_values,warnings,rebalance,signal_date,portfolio_equity_before,portfolio_equity_after,turnover
2023-04-03,DBMF;KMLM;CTA;FMF;WTMF;BIL,WTMF,"{""WTMF"": 0.029689497375475105}",WTMF,"{""WTMF"": 1.0}",0.0,top managed-futures wrapper above 200d SMA by 126d return,"{""BIL"": {""above_200d"": true, ""ret126"": 0.018797951992596262}, ""CTA"": {""above_200d"": false, ""ret126"": -0.1548124179212621}, ""DBMF"": {""above_200d"": false, ""ret126"": -0.1629707502960004}, ""FMF"": {""above_200d"": false, ""ret126"": -0.07635149611377012}, ""KMLM"": {""above_200d"": false, ""ret126"": -0.17283463111822184}, ""WTMF"": {""above_200d"": true, ""ret126"": 0.029689497375475105}}",,True,2023-03-31,3000.0,3000.0,1.0
2023-05-01,DBMF;KMLM;CTA;FMF;WTMF;BIL,WTMF,"{""WTMF"": 0.032369926843533126}",WTMF,"{""WTMF"": 1.0}",0.0,top managed-futures wrapper above 200d SMA by 126d return,"{""BIL"": {""above_200d"": true, ""ret126"": 0.02110074738474177}, ""CTA"": {""above_200d"": false, ""ret126"": -0.10571146025864431}, ""DBMF"": {""above_200d"": false, ""ret126"": -0.1511864502965341}, ""FMF"": {""above_200d"": false, ""ret126"": -0.052450472279815474}, ""KMLM"": {""above_200d"": false, ""ret126"": -0.10686795732304921}, ""WTMF"": {""above_200d"": true, ""ret126"": 0.032369926843533126}}",,True,2023-04-28,3000.0,3000.0,0.0
2023-06-01,DBMF;KMLM;CTA;FMF;WTMF;BIL,WTMF,"{""WTMF"": 0.07117846627738489}",WTMF,"{""WTMF"": 1.0}",0.0,top managed-futures wrapper above 200d SMA by 126d return,"{""BIL"": {""above_200d"": true, ""ret126"": 0.02182322043607532}, ""CTA"": {""above_200d"": false, ""ret126"": -0.05229838501034445}, ""DBMF"": {""above_200d"": false, ""ret126"": -0.0908516012629681}, ""FMF"": {""above_200d"": false, ""ret126"": 0.007799972980420344}, ""KMLM"": {""above_200d"": false, ""ret126"": -0.01979113795907461}, ""WTMF"": {""above_200d"": true, ""ret126"": 0.07117846627738489}}",,True,2023-05-31,3000.0,3000.0,0.0
2023-07-03,DBMF;KMLM;CTA;FMF;WTMF;BIL,FMF;WTMF,"{""WTMF"": 0.10518000874924605}",WTMF,"{""WTMF"": 1.0}",0.0,top managed-futures wrapper above 200d SMA by 126d return,"{""BIL"": {""above_200d"": true, ""ret126"": 0.022821742091956754}, ""CTA"": {""above_200d"": false, ""ret126"": -0.01911150735107381}, ""DBMF"": {""above_200d"": false, ""ret126"": -0.05344299335603897}, ""FMF"": {""above_200d"": true, ""ret126"": 0.01118681254310605}, ""KMLM"": {""above_200d"": false, ""ret126"": -0.012702563701035174}, ""WTMF"": {""above_200d"": true, ""ret126"": 0.10518000874924605}}",,True,2023-06-30,3000.0,3000.0,0.0
2023-08-01,DBMF;KMLM;CTA;FMF;WTMF;BIL,CTA;FMF;WTMF,"{""WTMF"": 0.08942334870338886}",WTMF,"{""WTMF"": 1.0}",0.0,top managed-futures wrapper above 200d SMA by 126d return,"{""BIL"": {""above_200d"": true, ""ret126"": 0.0236354805409682}, ""CTA"": {""above_200d"": true, ""ret126"": 0.03752853965192293}, ""DBMF"": {""above_200d"": false, ""ret126"": -0.03131601300307052}, ""FMF"": {""above_200d"": true, ""ret126"": 0.05489008085017977}, ""KMLM"": {""above_200d"": false, ""ret126"": 0.04353742983145681}, ""WTMF"": {""above_200d"": true, ""ret126"": 0.08942334870338886}}",,True,2023-07-31,3000.0,3000.0,0.0
2023-09-01,DBMF;KMLM;CTA;FMF;WTMF;BIL,KMLM;CTA;FMF;WTMF,"{""WTMF"": 0.07872087347927481}",WTMF,"{""WTMF"": 1.0}",0.0,top managed-futures wrapper above 200d SMA by 126d return,"{""BIL"": {""above_200d"": true, ""ret126"": 0.02467121842418951}, ""CTA"": {""above_200d"": true, ""ret126"": -0.0732206645730138}, ""DBMF"": {""above_200d"": false, ""ret126"": -0.03830089017147764}, ""FMF"": {""above_200d"": true, ""ret126"": 0.04015082461237762}, ""KMLM"": {""above_200d"": true, ""ret126"": 0.022667462840624486}, ""WTMF"": {""above_200d"": true, ""ret126"": 0.07872087347927481}}",,True,2023-08-31,3000.0,3000.0,0.0
2023-10-02,DBMF;KMLM;CTA;FMF;WTMF;BIL,DBMF;KMLM;CTA;FMF;WTMF,"{""CTA"": 0.18029593568837265}",CTA,"{""CTA"": 1.0}",0.0,top managed-futures wrapper above 200d SMA by 126d return,"{""BIL"": {""above_200d"": true, ""ret126"": 0.024839897797488186}, ""CTA"": {""above_200d"": true, ""ret126"": 0.18029593568837265}, ""DBMF"": {""above_200d"": true, ""ret126"": 0.08974367195740318}, ""FMF"": {""above_200d"": true, ""ret126"": 0.058589713043176506}, ""KMLM"": {""above_200d"": true, ""ret126"": 0.09148797649733886}, ""WTMF"": {""above_200d"": true, ""ret126"": 0.05010450299094127}}",,True,2023-09-29,3000.0,3000.0,2.0
2023-11-01,DBMF;KMLM;CTA;FMF;WTMF;BIL,DBMF;KMLM;CTA;FMF;WTMF,"{""DBMF"": 0.08151770928825086}",DBMF,"{""DBMF"": 1.0}",0.0,top managed-futures wrapper above 200d SMA by 126d return,"{""BIL"": {""above_200d"": true, ""ret126"": 0.025947830183305376}, ""CTA"": {""above_200d"": true, ""ret126"": 0.05894708622863987}, ""DBMF"": {""above_200d"": true, ""ret126"": 0.08151770928825086}, ""FMF"": {""above_200d"": true, ""ret126"": 0.03439503963316559}, ""KMLM"": {""above_200d"": true, ""ret126"": 0.04287546085278349}, ""WTMF"": {""above_200d"": true, ""ret126"": 0.02509700118219471}}",,True,2023-10-31,3000.0,3000.0,2.0
2023-12-01,DBMF;KMLM;CTA;FMF;WTMF;BIL,CTA;FMF;WTMF,"{""WTMF"": 0.030194942430790128}",WTMF,"{""WTMF"": 1.0}",0.0,top managed-futures wrapper above 200d SMA by 126d return,"{""BIL"": {""above_200d"": true, ""ret126"": 0.02613545101982928}, ""CTA"": {""above_200d"": true, ""ret126"": 0.01834583904497955}, ""DBMF"": {""above_200d"": false, ""ret126"": 0.02324713398277045}, ""FMF"": {""above_200d"": true, ""ret126"": 0.0006853443108076895}, ""KMLM"": {""above_200d"": false, ""ret126"": -0.024983857647553398}, ""WTMF"": {""above_200d"": true, ""ret126"": 0.030194942430790128}}",,True,2023-11-30,3000.0,3000.0,2.0
2024-01-02,DBMF;KMLM;CTA;FMF;WTMF;BIL,WTMF,"{""WTMF"": 0.05198397451543002}",WTMF,"{""WTMF"": 1.0}",0.0,top managed-futures wrapper above 200d SMA by 126d return,"{""BIL"": {""above_200d"": true, ""ret126"": 0.02636977073711022}, ""CTA"": {""above_200d"": false, ""ret126"": -0.006729003845068804}, ""DBMF"": {""above_200d"": false, ""ret126"": -0.04057772472528265}, ""FMF"": {""above_200d"": false, ""ret126"": -0.01951757166156476}, ""KMLM"": {""above_200d"": false, ""ret126"": -0.05408954906389318}, ""WTMF"": {""above_200d"": true, ""ret126"": 0.05198397451543002}}",,True,2023-12-29,3000.0,3000.0,0.0
2024-02-01,DBMF;KMLM;CTA;FMF;WTMF;BIL,FMF;WTMF,"{""WTMF"": 0.03797182331920701}",WTMF,"{""WTMF"": 1.0}",0.0,top managed-futures wrapper above 200d SMA by 126d return,"{""BIL"": {""above_200d"": true, ""ret126"": 0.026516439944248793}, ""CTA"": {""above_200d"": false, ""ret126"": -0.006199135440818071}, ""DBMF"": {""above_200d"": false, ""ret126"": -0.020304777627543902}, ""FMF"": {""above_200d"": true, ""ret126"": -0.014250949589833972}, ""KMLM"": {""above_200d"": false, ""ret126"": -0.07878582806339252}, ""WTMF"": {""above_200d"": true, ""ret126"": 0.03797182331920701}}",,True,2024-01-31,3000.0,3000.0,0.0
2024-03-01,DBMF;KMLM;CTA;FMF;WTMF;BIL,DBMF;CTA;FMF;WTMF,"{""WTMF"": 0.08598254050449583}",WTMF,"{""WTMF"": 1.0}",0.0,top managed-futures wrapper above 200d SMA by 126d return,"{""BIL"": {""above_200d"": true, ""ret126"": 0.027145170035398625}, ""CTA"": {""above_200d"": true, ""ret126"": 0.06019039443991603}, ""DBMF"": {""above_200d"": true, ""ret126"": 0.019748557531146682}, ""FMF"": {""above_200d"": true, ""ret126"": 0.02822383244146809}, ""KMLM"": {""above_200d"": false, ""ret126"": -0.06826163722654555}, ""WTMF"": {""above_200d"": true, ""ret126"": 0.08598254050449583}}",,True,2024-02-29,3000.0,3000.0,0.0
