trade_id,strategy,strategy_version,symbol,correlation_cluster,signal_date,entry_date,entry_signal_date,exit_date,regime_at_signal,regime_at_entry,spy_close_at_signal,spy_200sma_at_signal,spy_above_200sma_at_signal,realized_vol_20_at_signal,volatility_regime_at_signal,entry_rule_name,entry_reason_code,entry_reason_text,signal_values_json,project_equity_at_signal,project_equity_at_entry,high_water_mark_at_entry,drawdown_at_entry,total_open_risk_before_entry,total_open_risk_after_entry,cluster_open_risk_before_entry,cluster_open_risk_after_entry,strategy_pnl_before_entry,strategy_loss_budget_remaining_before_entry,strategy_status_at_entry,entry_price,stop_price_initial,stop_price_final,exit_price,stop_price,target_price,shares,notional_value,intended_risk_amount,actual_risk_amount,risk_amount,risk_utilization_pct,stop_distance,stop_distance_pct,pnl,r_multiple,slippage_paid_estimate,fees_paid_estimate,exit_reason,exit_reason_text,stop_hit,target_hit,same_bar_stop_target,gap_through_stop,final_mark_to_market,holding_days,market_regime_at_entry,valid_trade,auto_outcome_class,manual_review_class,rule_followed,notes
2,D_mean_reversion,v1_fixed_rules,XLU,equity_index,2008-01-03,2008-01-04,2008-01-03,2008-01-07,sideways_normal_volatility,sideways_normal_volatility,103.44564056396484,105.53218006134033,False,0.16497981641284215,normal_volatility,mean_reversion_trend_filter,oversold_in_uptrend,Oversold ETF signal appeared while trend filter allowed long exposure.,"{""atr_20"": 0.179631, ""bollinger_lower"": 11.051014, ""breakout_level"": 11.620669, ""close"": 11.089192, ""ema_10"": 11.230196, ""momentum_126"": 0.064363, ""momentum_63"": 0.049313, ""realized_vol_20"": 0.16498, ""rsi_2"": 0.0, ""sma_100"": 10.754148, ""sma_200"": 10.628738, ""sma_50"": 11.119077, ""volume"": 10287200.0, ""volume_sma_20"": 8555400.0}",3000.0,3004.1105734652574,3000.0,4.110573465257403,27.839951326945897,56.97454407056049,27.839951326945897,56.97454407056049,4.110573465257576,64.11057346525757,active,11.113214074034872,10.843767462299363,10.843767462299363,11.233962519139485,10.843767462299363,,108.12751571065726,1201.644229386103,30.0,29.134592743614594,29.134592743614594,0.9711530914538198,0.26944661173550877,0.024245606171219992,13.056229395086529,0.4481349545532279,1.2081723440836463,0.0,mean_reversion_exit,mean reversion exit,False,False,False,False,False,1,sideways_normal_volatility,True,valid_win,,True,mean reversion setup
1,D_mean_reversion,v1_fixed_rules,XLP,equity_index,2008-01-03,2008-01-04,2008-01-03,2008-01-08,sideways_normal_volatility,sideways_normal_volatility,103.44564056396484,105.53218006134033,False,0.1433034799637278,normal_volatility,mean_reversion_trend_filter,oversold_in_uptrend,Oversold ETF signal appeared while trend filter allowed long exposure.,"{""atr_20"": 0.265346, ""bollinger_lower"": 17.334208, ""breakout_level"": 17.961693, ""close"": 17.288284, ""ema_10"": 17.601823, ""momentum_126"": 0.047834, ""momentum_63"": 0.019572, ""realized_vol_20"": 0.143303, ""rsi_2"": 0.0, ""sma_100"": 17.049465, ""sma_200"": 16.743539, ""sma_50"": 17.456168, ""volume"": 4379600.0, ""volume_sma_20"": 2769240.0}",3000.0,3000.0,3000.0,0.0,0.0,27.839951326945897,0.0,27.839951326945897,0.0,60.0,active,17.156051280167063,16.758031586331697,16.758031586331697,17.51827504523762,16.758031586331697,,69.94616537356926,1200.0,30.0,27.839951326945897,27.839951326945897,0.9279983775648633,0.39801969383536573,0.023199959439121582,25.33616337386204,0.9100649306573867,1.212668081686931,0.0,mean_reversion_exit,mean reversion exit,False,False,False,False,False,2,sideways_normal_volatility,True,valid_win,,True,mean reversion setup
3,D_mean_reversion,v1_fixed_rules,GLD,commodity_alternative,2008-01-07,2008-01-08,2008-01-07,2008-01-09,sideways_normal_volatility,bear_normal_volatility,100.82489013671876,105.53255519866943,False,0.2205126206122569,normal_volatility,mean_reversion_trend_filter,oversold_in_uptrend,Oversold ETF signal appeared while trend filter allowed long exposure.,"{""atr_20"": 1.332999, ""bollinger_lower"": 76.084663, ""breakout_level"": 85.57, ""close"": 84.769997, ""ema_10"": 83.212714, ""momentum_126"": 0.296574, ""momentum_63"": 0.154905, ""realized_vol_20"": 0.220513, ""rsi_2"": 0.0, ""sma_100"": 75.2812, ""sma_200"": 70.67785, ""sma_50"": 79.9144, ""volume"": 6944300.0, ""volume_sma_20"": 6931680.0}",3031.2971054908476,3038.3923927689484,3031.2971054908476,7.095287278100841,0.0,28.151260636026624,0.0,28.151260636026624,38.39239276894857,98.39239276894857,active,86.32313877868651,84.32363964843749,84.32363964843749,86.51671755981445,84.32363964843749,,14.07915622975071,1215.3569571075793,30.0,28.151260636026624,28.151260636026624,0.9383753545342208,1.9994991302490206,0.02316295675224803,2.7254259022649814,0.09681363607486597,1.216719670058712,0.0,mean_reversion_exit,mean reversion exit,False,False,False,False,False,1,bear_normal_volatility,True,valid_win,,True,mean reversion setup
4,D_mean_reversion,v1_fixed_rules,XLB,equity_index,2008-01-07,2008-01-08,2008-01-07,2008-01-09,sideways_normal_volatility,bear_normal_volatility,100.82489013671876,105.53255519866943,False,0.29744945028864656,normal_volatility,mean_reversion_trend_filter,oversold_in_uptrend,Oversold ETF signal appeared while trend filter allowed long exposure.,"{""atr_20"": 0.32431, ""bollinger_lower"": 13.45941, ""breakout_level"": 14.569044, ""close"": 13.558094, ""ema_10"": 13.93428, ""momentum_126"": -0.021856, ""momentum_63"": -0.054657, ""realized_vol_20"": 0.297449, ""rsi_2"": 0.0, ""sma_100"": 13.716389, ""sma_200"": 13.488945, ""sma_50"": 13.900786, ""volume"": 39212600.0, ""volume_sma_20"": 14580800.0}",3031.2971054908476,3044.8245960926656,3031.2971054908476,13.527490601818045,28.151260636026624,58.15126063602662,0.0,30.0,44.824596092665864,104.82459609266587,active,13.625588358753362,13.139124073359387,13.139124073359387,13.298618655982743,13.139124073359387,,61.66948098914142,840.2829622560071,30.0,30.0,30.0,1.0,0.4864642853939749,0.03570225905741972,-20.164051869037888,-0.672135062301263,0.8302009363214882,0.0,mean_reversion_exit,mean reversion exit,False,False,False,False,False,1,bear_normal_volatility,True,valid_loss,,True,mean reversion setup
5,D_mean_reversion,v1_fixed_rules,IEF,bond,2008-01-10,2008-01-11,2008-01-10,2008-01-14,sideways_normal_volatility,bear_normal_volatility,100.89625549316406,105.52266040802002,False,0.08352906404719791,normal_volatility,mean_reversion_trend_filter,oversold_in_uptrend,Oversold ETF signal appeared while trend filter allowed long exposure.,"{""atr_20"": 0.398479, ""bollinger_lower"": 54.292305, ""breakout_level"": 56.626644, ""close"": 56.383171, ""ema_10"": 56.154834, ""momentum_126"": 0.119858, ""momentum_63"": 0.067499, ""realized_vol_20"": 0.083529, ""rsi_2"": 0.0, ""sma_100"": 54.131289, ""sma_200"": 52.583481, ""sma_50"": 55.200922, ""volume"": 258300.0, ""volume_sma_20"": 321780.0}",3020.953766802176,3020.953766802176,3031.2971054908476,-10.343338688671793,0.0,12.787662350171647,0.0,12.787662350171647,20.95376680217566,80.95376680217566,active,56.48189320279324,55.88417520135198,55.88417520135198,56.68151684295249,55.88417520135198,,21.39413957641759,1208.3815067208704,30.0,12.787662350171647,12.787662350171647,0.42625541167238823,0.5977180014412582,0.010582471081399567,4.27077602031961,0.3339762892834188,1.2105168947310303,0.0,mean_reversion_exit,mean reversion exit,False,False,False,False,False,1,bear_normal_volatility,True,valid_win,,True,mean reversion setup
6,D_mean_reversion,v1_fixed_rules,SHY,bond,2008-01-10,2008-01-11,2008-01-10,2008-01-14,sideways_normal_volatility,bear_normal_volatility,100.89625549316406,105.52266040802002,False,0.026367602289104265,normal_volatility,mean_reversion_trend_filter,oversold_in_uptrend,Oversold ETF signal appeared while trend filter allowed long exposure.,"{""atr_20"": 0.14692, ""bollinger_lower"": 60.889088, ""breakout_level"": 61.782272, ""close"": 61.752369, ""ema_10"": 61.610669, ""momentum_126"": 0.056975, ""momentum_63"": 0.032156, ""realized_vol_20"": 0.026368, ""rsi_2"": 0.0, ""sma_100"": 60.462952, ""sma_200"": 59.401851, ""sma_50"": 61.107751, ""volume"": 997700.0, ""volume_sma_20"": 924820.0}",3020.953766802176,3026.5175609854523,3031.2971054908476,-4.779544505395279,12.787662350171647,17.10380487190768,12.787662350171647,17.10380487190768,26.517560985452363,86.51756098545236,active,61.81316986722635,61.592789144587854,61.592789144587854,61.8858525282788,61.592789144587854,,19.58493678603677,1210.607024394181,30.0,4.316142521736033,4.316142521736033,0.1438714173912011,0.22038072263849529,0.003565271334763601,1.4234853221531096,0.32980498558248655,1.2113187670552577,0.0,mean_reversion_exit,mean reversion exit,False,False,False,False,False,1,bear_normal_volatility,True,valid_win,,True,mean reversion setup
7,D_mean_reversion,v1_fixed_rules,XLP,equity_index,2008-01-14,2008-01-15,2008-01-14,2008-01-18,sideways_normal_volatility,bear_normal_volatility,100.88909149169922,105.52864715576172,False,0.15604715092826973,normal_volatility,mean_reversion_trend_filter,oversold_in_uptrend,Oversold ETF signal appeared while trend filter allowed long exposure.,"{""atr_20"": 0.260029, ""bollinger_lower"": 17.102816, ""breakout_level"": 17.961693, ""close"": 17.233196, ""ema_10"": 17.417724, ""momentum_126"": 0.031245, ""momentum_63"": 0.002283, ""realized_vol_20"": 0.156047, ""rsi_2"": 0.0, ""sma_100"": 17.132566, ""sma_200"": 16.790723, ""sma_50"": 17.482217, ""volume"": 7331400.0, ""volume_sma_20"": 3622340.0}",3026.6480281446484,3026.6480281446484,3031.2971054908476,-4.649077346199192,0.0,27.534267980217095,0.0,27.534267980217095,26.64802814464838,86.64802814464838,active,17.149925344115484,16.759881113770124,16.759881113770124,16.75150117321324,16.759881113770124,,70.59268113218133,1210.6592112578594,30.0,27.534267980217095,27.534267980217095,0.9178089326739032,0.3900442303453602,0.02274320281395236,-28.12583045185594,-1.0214845904769967,1.1965962960319314,0.0,stop_loss,stop loss,True,False,False,False,False,3,bear_normal_volatility,True,valid_loss,,True,mean reversion setup
8,C_swing_trend_pullback,v1_fixed_rules,GLD,commodity_alternative,2008-01-18,2008-01-22,2008-01-18,2008-01-25,bear_normal_volatility,bear_normal_volatility,94.30504608154295,105.4467826461792,False,0.20644439474190643,normal_volatility,swing_trend_pullback,pullback_reclaim,Uptrend pullback reclaimed the short trigger.,"{""atr_20"": 1.427499, ""bollinger_lower"": 78.61997, ""breakout_level"": 89.540001, ""close"": 87.419998, ""ema_10"": 86.794134, ""momentum_126"": 0.293578, ""momentum_63"": 0.150263, ""pullback_days"": 3.0, ""realized_vol_20"": 0.206444, ""rsi_2"": 82.143052, ""sma_100"": 77.2762, ""sma_200"": 71.6563, ""sma_50"": 81.545599, ""volume"": 9094500.0, ""volume_sma_20"": 9699455.0}",2998.5221976927924,2998.5221976927924,3031.2971054908476,-32.77490779805521,0.0,29.799741207056925,0.0,29.799741207056925,0.0,150.0,active,86.18306938934326,84.0418203048706,84.0418203048706,90.42033477450944,84.0418203048706,90.46556755828858,13.91698958479456,1199.408879077117,45.0,29.799741207056925,29.799741207056925,0.6622164712679317,2.141249084472662,0.024845356514274164,58.96997823336827,1.978875515180766,1.228893868193801,0.0,target_hit,target hit,False,True,False,False,False,3,bear_normal_volatility,True,valid_win,,True,pullback_days=3
10,C_swing_trend_pullback,v1_fixed_rules,TLT,bond,2008-01-31,2008-02-01,2008-01-31,2008-02-05,bear_high_volatility,bear_high_volatility,98.09691619873048,105.20211448669434,False,0.14711179633688848,high_volatility,swing_trend_pullback,pullback_reclaim,Uptrend pullback reclaimed the short trigger.,"{""atr_20"": 0.651969, ""bollinger_lower"": 53.652772, ""breakout_level"": 55.437431, ""close"": 54.564312, ""ema_10"": 54.619225, ""momentum_126"": 0.112644, ""momentum_63"": 0.059189, ""pullback_days"": 3.0, ""realized_vol_20"": 0.147112, ""rsi_2"": 51.936512, ""sma_100"": 52.286298, ""sma_200"": 50.325515, ""sma_50"": 53.684693, ""volume"": 11441000.0, ""volume_sma_20"": 3378490.0}",3057.4921759261606,3055.5234008872867,3057.4921759261606,-1.9687750388739005,18.370699915743785,41.28074959087069,18.370699915743785,41.28074959087069,57.0012031944943,207.0012031944943,active,54.787120446848725,53.76014774339146,53.76014774339146,54.9685781540943,53.76014774339146,56.84106585376326,22.30833360809008,1222.2093603549147,45.0,22.910049675126906,22.910049675126906,0.5091122150028201,1.0269727034572682,0.018744783355671656,4.048019068993491,0.17669185036243565,1.2242333698894114,0.0,ema10_loss_exit,ema10 loss exit,False,False,False,False,False,2,bear_high_volatility,True,valid_win,,True,pullback_days=3
9,C_swing_trend_pullback,v1_fixed_rules,IEF,bond,2008-01-31,2008-02-01,2008-01-31,2008-02-07,bear_high_volatility,bear_high_volatility,98.09691619873048,105.20211448669434,False,0.08307058701557159,high_volatility,swing_trend_pullback,pullback_reclaim,Uptrend pullback reclaimed the short trigger.,"{""atr_20"": 0.444284, ""bollinger_lower"": 56.046214, ""breakout_level"": 58.048824, ""close"": 57.613201, ""ema_10"": 57.403286, ""momentum_126"": 0.11621, ""momentum_63"": 0.068725, ""pullback_days"": 3.0, ""realized_vol_20"": 0.083071, ""rsi_2"": 92.007098, ""sma_100"": 54.776618, ""sma_200"": 53.016578, ""sma_50"": 56.070267, ""volume"": 384900.0, ""volume_sma_20"": 469590.0}",3057.4921759261606,3057.4921759261606,3057.4921759261606,0.0,0.0,18.370699915743785,0.0,18.370699915743785,58.96997823336827,208.96997823336827,active,57.89343616454694,57.023815833835876,57.023815833835876,56.99530392591896,57.023815833835876,59.63267682596907,21.124965996048598,1222.9968703704642,45.0,18.370699915743785,18.370699915743785,0.40823777590541743,0.869620330711065,0.015021052269887675,-18.973013000971083,-1.0327866160783081,1.2135103638699787,0.0,stop_loss,stop loss,True,False,False,False,False,4,bear_high_volatility,True,valid_loss,,True,pullback_days=3
