checkpoint_timestamp_utc,run_id,observation_start_date,observation_end_date,strategy,role,current_equity,current_return,target_300_hit,target_400_hit,any_project_stop_hit,first_project_stop_date,high_water_mark,current_drawdown_dollars,current_drawdown_pct,max_drawdown_dollars,target_300_distance,target_400_distance,distance_to_absolute_stop,distance_to_trailing_stop,risk_band,risk_budget_used_pct,target_300_progress_pct,target_400_progress_pct,signal_state,current_position_symbols,status,notes
2026-06-01T01:48:40Z,20260601_014839,2026-05-01,2026-05-29,SPY_200d_trend_model,primary_watchlist_candidate,3147.582244626764,0.0491940815422546,False,False,False,,3147.582244626764,0.0,0.0,-60.08235045265019,152.4177553732361,252.4177553732361,747.5822446267639,600.0,normal,0.1001372507544169,0.4919408154225463,0.3689556115669097,risk_on,SPY,active_observation,Observation is active under fixed paper/demo rules.
2026-06-01T01:48:40Z,20260601_014839,2026-05-01,2026-05-29,SPY_buy_hold,aggressive_benchmark,3147.582244626764,0.0491940815422546,False,False,False,,3147.582244626764,0.0,0.0,-60.08235045265019,152.4177553732361,252.4177553732361,747.5822446267639,600.0,normal,0.1001372507544169,0.4919408154225463,0.3689556115669097,hold_spy,SPY,active_observation,Observation is active under fixed paper/demo rules.
2026-06-01T01:48:40Z,20260601_014839,2026-05-01,2026-05-29,BIL_cash_proxy,defensive_benchmark,3007.0297198301073,0.0023432399433691,False,False,False,,3007.0297198301073,0.0,0.0,-0.3281335337674136,292.9702801698927,392.9702801698927,607.0297198301073,600.0,normal,0.0005468892229456,0.0234323994336909,0.0175742995752682,hold_bil,BIL,active_observation,Observation is active under fixed paper/demo rules.
2026-06-01T01:48:40Z,20260601_014839,2026-05-01,2026-05-29,current_no_cash_proxy_alpha_AB,strategy_control,2908.0136396346625,-0.0306621201217791,False,False,False,,3147.1270062088306,-239.11336657416817,-0.0759783021474607,-261.40570484625414,391.98636036533753,491.98636036533753,508.01363963466247,360.88663342583186,normal,0.4356761747437569,0.0,0.0,engine_replayed_signal_snapshot_unavailable,XLK,active_observation,Observation is active under fixed paper/demo rules.
2026-06-05T21:05:33Z,20260605_210533,2026-06-05,2026-05-29,SPY_200d_trend_model,primary_watchlist_candidate,3000.0,0.0,False,False,False,,3000.0,0.0,0.0,0.0,300.0,400.0,600.0,600.0,normal,0.0,0.0,0.0,,,no_new_data,Observation is active under fixed paper/demo rules.
2026-06-05T21:05:33Z,20260605_210533,2026-06-05,2026-05-29,SPY_buy_hold,aggressive_benchmark,3000.0,0.0,False,False,False,,3000.0,0.0,0.0,0.0,300.0,400.0,600.0,600.0,normal,0.0,0.0,0.0,,,no_new_data,Observation is active under fixed paper/demo rules.
2026-06-05T21:05:33Z,20260605_210533,2026-06-05,2026-05-29,BIL_cash_proxy,defensive_benchmark,3000.0,0.0,False,False,False,,3000.0,0.0,0.0,0.0,300.0,400.0,600.0,600.0,normal,0.0,0.0,0.0,,,no_new_data,Observation is active under fixed paper/demo rules.
2026-06-05T21:05:33Z,20260605_210533,2026-06-05,2026-05-29,current_no_cash_proxy_alpha_AB,strategy_control,3000.0,0.0,False,False,False,,3000.0,0.0,0.0,0.0,300.0,400.0,600.0,600.0,normal,0.0,0.0,0.0,unavailable,unavailable,insufficient_data,A/B replay unavailable: No observation dates after start date for current_no_cash_proxy_alpha_AB.
2026-06-05T21:05:33Z,20260605_210533,2026-06-05,2026-05-29,combo_SPY200d_GLD_50_50_v1,parallel_observation_candidate_blocked,3000.0,0.0,False,False,False,,3000.0,0.0,0.0,0.0,300.0,400.0,600.0,600.0,normal,0.0,0.0,0.0,activation_blocked_rule_hash_missing,"SPY,GLD,BIL",activation_blocked_rule_hash_missing,Combo paper/demo observation activation is blocked because the canonical rule hash is missing from existing evidence. SPY_200d remains the frozen control and is not replaced.
2026-06-05T23:19:40Z,20260605_231939,2026-06-05,2026-05-29,SPY_200d_trend_model,primary_watchlist_candidate,3000.0,0.0,False,False,False,,3000.0,0.0,0.0,0.0,300.0,400.0,600.0,600.0,normal,0.0,0.0,0.0,,,no_new_data,Observation is active under fixed paper/demo rules.
2026-06-05T23:19:40Z,20260605_231939,2026-06-05,2026-05-29,SPY_buy_hold,aggressive_benchmark,3000.0,0.0,False,False,False,,3000.0,0.0,0.0,0.0,300.0,400.0,600.0,600.0,normal,0.0,0.0,0.0,,,no_new_data,Observation is active under fixed paper/demo rules.
2026-06-05T23:19:40Z,20260605_231939,2026-06-05,2026-05-29,BIL_cash_proxy,defensive_benchmark,3000.0,0.0,False,False,False,,3000.0,0.0,0.0,0.0,300.0,400.0,600.0,600.0,normal,0.0,0.0,0.0,,,no_new_data,Observation is active under fixed paper/demo rules.
2026-06-05T23:19:40Z,20260605_231939,2026-06-05,2026-05-29,current_no_cash_proxy_alpha_AB,strategy_control,3000.0,0.0,False,False,False,,3000.0,0.0,0.0,0.0,300.0,400.0,600.0,600.0,normal,0.0,0.0,0.0,unavailable,unavailable,insufficient_data,A/B replay unavailable: No observation dates after start date for current_no_cash_proxy_alpha_AB.
2026-06-05T23:19:40Z,20260605_231939,2026-06-05,2026-05-29,combo_SPY200d_GLD_50_50_v1,parallel_observation_candidate_blocked,3000.0,0.0,False,False,False,,3000.0,0.0,0.0,0.0,300.0,400.0,600.0,600.0,normal,0.0,0.0,0.0,activation_waiting_for_data,"SPY,GLD,BIL",active_waiting_for_next_cached_trading_day,Combo paper/demo observation is waiting for cached data after the requested activation date. No data was downloaded and no observation metrics were fabricated.
2026-06-06T04:06:03Z,20260606_040600,2026-06-05,2026-06-05,SPY_200d_trend_model,primary_watchlist_candidate,2998.5,-0.0004999999999999,False,False,False,,2998.5,0.0,0.0,0.0,301.5,401.5,598.5,600.0,normal,0.0,0.0,0.0,risk_on,SPY,active_observation,Observation is active under fixed paper/demo rules.
2026-06-06T04:06:03Z,20260606_040600,2026-06-05,2026-06-05,SPY_buy_hold,aggressive_benchmark,2998.5,-0.0004999999999999,False,False,False,,2998.5,0.0,0.0,0.0,301.5,401.5,598.5,600.0,normal,0.0,0.0,0.0,hold_spy,SPY,active_observation,Observation is active under fixed paper/demo rules.
2026-06-06T04:06:03Z,20260606_040600,2026-06-05,2026-06-05,BIL_cash_proxy,defensive_benchmark,2998.5,-0.0004999999999999,False,False,False,,2998.5,0.0,0.0,0.0,301.5,401.5,598.5,600.0,normal,0.0,0.0,0.0,hold_bil,BIL,active_observation,Observation is active under fixed paper/demo rules.
2026-06-06T04:06:03Z,20260606_040600,2026-06-05,2026-06-05,current_no_cash_proxy_alpha_AB,strategy_control,3000.0,0.0,False,False,False,,3000.0,0.0,0.0,0.0,300.0,400.0,600.0,600.0,normal,0.0,0.0,0.0,engine_replayed_signal_snapshot_unavailable,none_or_unavailable,active_observation,Observation is active under fixed paper/demo rules.
2026-06-06T04:06:03Z,20260606_040600,2026-06-05,2026-06-05,combo_SPY200d_GLD_50_50_v1,parallel_observation_candidate,2904.9679007639975,-0.0316773664120008,False,False,False,,2904.9679007639975,0.0,0.0,0.0,395.0320992360025,495.0320992360025,504.9679007639975,600.0,normal,0.0,0.0,0.0,active_combo_observation,"GLD,SPY",active_paper_demo_observation,Combo paper/demo observation is active as a separate simulated track; SPY_200d remains the frozen control and is not replaced.
2026-06-06T04:06:44Z,20260606_040641,2026-06-05,2026-06-05,SPY_200d_trend_model,primary_watchlist_candidate,2998.5,-0.0004999999999999,False,False,False,,2998.5,0.0,0.0,0.0,301.5,401.5,598.5,600.0,normal,0.0,0.0,0.0,risk_on,SPY,active_observation,Observation is active under fixed paper/demo rules.
2026-06-06T04:06:44Z,20260606_040641,2026-06-05,2026-06-05,SPY_buy_hold,aggressive_benchmark,2998.5,-0.0004999999999999,False,False,False,,2998.5,0.0,0.0,0.0,301.5,401.5,598.5,600.0,normal,0.0,0.0,0.0,hold_spy,SPY,active_observation,Observation is active under fixed paper/demo rules.
2026-06-06T04:06:44Z,20260606_040641,2026-06-05,2026-06-05,BIL_cash_proxy,defensive_benchmark,2998.5,-0.0004999999999999,False,False,False,,2998.5,0.0,0.0,0.0,301.5,401.5,598.5,600.0,normal,0.0,0.0,0.0,hold_bil,BIL,active_observation,Observation is active under fixed paper/demo rules.
2026-06-06T04:06:44Z,20260606_040641,2026-06-05,2026-06-05,current_no_cash_proxy_alpha_AB,strategy_control,3000.0,0.0,False,False,False,,3000.0,0.0,0.0,0.0,300.0,400.0,600.0,600.0,normal,0.0,0.0,0.0,engine_replayed_signal_snapshot_unavailable,none_or_unavailable,active_observation,Observation is active under fixed paper/demo rules.
2026-06-06T04:06:44Z,20260606_040641,2026-06-05,2026-06-05,combo_SPY200d_GLD_50_50_v1,parallel_observation_candidate,2904.9679007639975,-0.0316773664120008,False,False,False,,2904.9679007639975,0.0,0.0,0.0,395.0320992360025,495.0320992360025,504.9679007639975,600.0,normal,0.0,0.0,0.0,active_combo_observation,"GLD,SPY",active_paper_demo_observation,Combo paper/demo observation is active as a separate simulated track; SPY_200d remains the frozen control and is not replaced.
2026-06-06T04:23:03Z,20260606_042300,2026-06-05,2026-06-05,SPY_200d_trend_model,primary_watchlist_candidate,2998.5,-0.0004999999999999449,False,False,False,,2998.5,0.0,0.0,0.0,301.5,401.5,598.5,600.0,normal,0.0,0.0,0.0,risk_on,SPY,active_observation,Observation is active under fixed paper/demo rules.
2026-06-06T04:23:03Z,20260606_042300,2026-06-05,2026-06-05,SPY_buy_hold,aggressive_benchmark,2998.5,-0.0004999999999999449,False,False,False,,2998.5,0.0,0.0,0.0,301.5,401.5,598.5,600.0,normal,0.0,0.0,0.0,hold_spy,SPY,active_observation,Observation is active under fixed paper/demo rules.
2026-06-06T04:23:03Z,20260606_042300,2026-06-05,2026-06-05,BIL_cash_proxy,defensive_benchmark,2998.5,-0.0004999999999999449,False,False,False,,2998.5,0.0,0.0,0.0,301.5,401.5,598.5,600.0,normal,0.0,0.0,0.0,hold_bil,BIL,active_observation,Observation is active under fixed paper/demo rules.
2026-06-06T04:23:03Z,20260606_042300,2026-06-05,2026-06-05,current_no_cash_proxy_alpha_AB,strategy_control,3000.0,0.0,False,False,False,,3000.0,0.0,0.0,0.0,300.0,400.0,600.0,600.0,normal,0.0,0.0,0.0,engine_replayed_signal_snapshot_unavailable,none_or_unavailable,active_observation,Observation is active under fixed paper/demo rules.
2026-06-06T04:23:03Z,20260606_042300,2026-06-05,2026-06-05,combo_SPY200d_GLD_50_50_v1,parallel_observation_candidate,2998.5,-0.0004999999999999449,False,False,False,,2998.5,0.0,0.0,0.0,301.5,401.5,598.5,600.0,normal,0.0,0.0,0.0,active_combo_observation,"GLD,SPY",active_paper_demo_observation,Combo paper/demo observation is active as a separate simulated track; SPY_200d remains the frozen control and is not replaced.
