symbol,first_date,last_date,row_count,adjusted_close_availability,missing_adjusted_close_count,duplicate_dates,impossible_ohlc_values,warmup_sufficiency,inclusion_decision,reason_for_exclusion,short_history_warning,cache_file_hash
BIL,2007-05-30,2026-06-18,4795,True,0,0,0,True,include,,False,c88d0180a7c69d5980a59adc85f873856eefcb429d955e638ab52232546fdae2
DGRO,2014-06-12,2026-06-18,3023,True,0,0,0,True,include,,False,996200b17dd5d088095cae4b3dcd381083ec84f5240389028ef11946c657959d
EEM,2007-01-03,2026-06-18,4896,True,0,0,0,True,include,,False,027f158cdd35259176d90825b3e7ca49be13005fa4a9108b92138342e4ef17fb
EFA,2007-01-03,2026-06-18,4896,True,0,0,0,True,include,,False,a6f99f236628b251239d78b0d032337de1a21a4b1fc1425c1d47c92322262851
EMB,2007-12-19,2026-06-18,4653,True,0,0,0,True,include,,False,3943199fa006ccd8010f99685bad07b7d36a8f7df1fa08a8cb90e32a07c61622
GLD,2007-01-03,2026-06-18,4896,True,0,0,0,True,include,,False,8f92f9bf4ead1f94308b5fd290ded3e14a2bfe6c2cfda8ef46174ea41ea524a1
HYG,2007-04-11,2026-06-18,4829,True,0,0,0,True,include,,False,878eb58c8f10a500ce60e241dddb8b5573fab293d13b9f8c9177b3f357d52c1c
IEF,2007-01-03,2026-06-18,4896,True,0,0,0,True,include,,False,be5efaa6331dfb7eea0b6b1bc24cbbd81a69e23eb90897ee6128038323efdeb9
IWM,2007-01-03,2026-06-18,4896,True,0,0,0,True,include,,False,1d88674352839b46cd6c3a8c2f8101077daa40e46ed5193b086a6502887f1609
LQD,2007-01-03,2026-06-18,4896,True,0,0,0,True,include,,False,e2271cf2e1711c5033b9beead7733efc55e208ac0ed7a37638f3a49cb503bc12
QQQ,2007-01-03,2026-06-18,4896,True,0,0,0,True,include,,False,f70039fa090873e89eeff409d817c2f1310aa23cf0ed22b5fa77e4db06b4c0ba
SCHD,2011-10-20,2026-06-18,3686,True,0,0,0,True,include,,False,fb26b346ec6abcd582ccb515a22ed8a773fe4ed6bcf1d14ead2bfa215149592f
SPLV,2011-05-05,2026-06-18,3803,True,0,0,0,True,include,,False,c76816d56b0be1fb6f158ca4b6367308325f673011299f5fc996dc10ebc2c60a
SPY,2007-01-03,2026-06-18,4896,True,0,0,0,True,include,,False,ddb9651fab7bfdb17c47b77c1b6fa51a57cf45daf086bad8d4790eee8d9ae492
USMV,2011-10-20,2026-06-18,3686,True,0,0,0,True,include,,False,314524b9f90b871e243edebe963384756e1cf655b76816b1fbed9398084d60d4
VIG,2007-01-03,2026-06-18,4896,True,0,0,0,True,include,,False,1dbbcdbe6784d8c47574078f772977b2bd417cca38ffe39140244077498cd8ad
