symbol,status,provider_api_called,detail
BIL,used_existing_cache,False,cache passed QA
DGRO,used_existing_cache,False,cache passed QA
EEM,used_existing_cache,False,cache passed QA
EFA,used_existing_cache,False,cache passed QA
EMB,used_existing_cache,False,cache passed QA
GLD,used_existing_cache,False,cache passed QA
HYG,used_existing_cache,False,cache passed QA
IEF,used_existing_cache,False,cache passed QA
IWM,used_existing_cache,False,cache passed QA
LQD,used_existing_cache,False,cache passed QA
QQQ,used_existing_cache,False,cache passed QA
SCHD,used_existing_cache,False,cache passed QA
SPLV,used_existing_cache,False,cache passed QA
SPY,used_existing_cache,False,cache passed QA
USMV,used_existing_cache,False,cache passed QA
VIG,used_existing_cache,False,cache passed QA
