family_id,strategy_id,profit_first_score,score_label,strategy_verdict
gtaa_faber_style_benchmark_lane,gtaa_equal_weight_trend_filter_v1,47.31,watchlist,watchlist
gtaa_faber_style_benchmark_lane,gtaa_top3_trend_filter_v1,56.76,watchlist,watchlist
gtaa_faber_style_benchmark_lane,gtaa_spy_gld_ief_static_trend_v1,48.17,watchlist,watchlist
gtaa_faber_style_benchmark_lane,gtaa_breadth_defensive_v1,54.94,watchlist,watchlist
static_all_weather_or_permanent_portfolio_benchmark,static_all_weather_equal_weight_v1,49.66,watchlist,watchlist
static_all_weather_or_permanent_portfolio_benchmark,static_permanent_portfolio_v1,49.66,watchlist,watchlist
static_all_weather_or_permanent_portfolio_benchmark,static_all_weather_trend_filtered_v1,49.79,watchlist,watchlist
carry_yield_etf_proxy,carry_yield_defensive_filter_v1,51.43,watchlist,watchlist
gtaa_faber_style_benchmark_lane,gtaa_top2_risk_adjusted_v1,24.7917170996014,weak,too_risky
low_beta_defensive_equity_etf,low_beta_usmv_splv_top1_v1,9.191513583619894,weak,too_risky
low_beta_defensive_equity_etf,low_beta_usmv_splv_50_50_v1,8.883369120386789,weak,too_risky
dividend_quality_yield_etf,dividend_quality_top2_v1,21.86116981385647,weak,too_risky
dividend_quality_yield_etf,dividend_quality_trend_equal_weight_v1,20.167464249105457,weak,too_risky
carry_yield_etf_proxy,carry_yield_top2_v1,6.48816463236642,weak,too_risky
