rank_overall,rank_profit_potential,rank_risk_control,rank_upside,experiment_id,display_name,evidence_tier,run_status,p_90d_target_300_before_stop,p_90d_target_400_before_stop,p_90d_target_600_before_stop,p_90d_target_900_before_stop,p_90d_target_1200_before_stop,p_90d_any_stop_hit,median_90d_stop_enforced_final_equity,p95_90d_stop_enforced_final_equity,worst_90d_max_drawdown,expected_profit_90d,stress_degradation,profit_score,risk_penalty,final_score,profit_verdict,ranking_notes
1,10,2,2,IEF_buy_hold,IEF Buy And Hold,benchmark,completed,0.92,0.92,0.92,0.88,0.88,0.0,5584.001016361975,6279.545862237524,-348.34989702896655,2357.6599175894235,2.8223998779058093,940.151692998902,0.22579199023246474,939.9259010086696,watchlist,"diagnostic score rewards target ladder and stop-enforced equity; penalizes stops, drawdown, stress degradation, and evidence tier"
2,4,5,8,combo_SPY200d_GLD_BIL_60_30_10_v1,Combo SPY200d GLD BIL 60/30/10,tier2_credible_prototype,completed,0.75,0.75,0.75,0.75,0.6666666666666666,0.20833333333333334,5493.067742752295,14950.162217226934,-1481.4211003202763,3601.090006799801,281.6728077078951,1210.623253458209,403.947876395395,806.675377062814,leading_profit_candidate,"diagnostic score rewards target ladder and stop-enforced equity; penalizes stops, drawdown, stress degradation, and evidence tier"
3,3,12,3,combo_SPY200d_GLD_50_50_v1,Combo SPY200d GLD 50/50,tier2_credible_prototype,completed,0.92,0.92,0.88,0.76,0.76,0.2,5910.489032497215,18953.770908552444,-2536.0611080147864,4773.967314834768,24.29192466955419,1513.599197736974,749.5647417787395,764.0344559582345,high_upside_high_risk,"diagnostic score rewards target ladder and stop-enforced equity; penalizes stops, drawdown, stress degradation, and evidence tier"
4,5,6,6,multi_asset_top2_momentum_v1,Multi-Asset Top 2 Momentum,tier2_credible_prototype,completed,0.76,0.76,0.76,0.76,0.72,0.2,6639.815956141613,12787.212255307393,-1739.7623933770938,3684.023447420801,129.18030360965622,1204.3981510034164,479.25126197075525,725.1468890326612,high_upside_high_risk,"diagnostic score rewards target ladder and stop-enforced equity; penalizes stops, drawdown, stress degradation, and evidence tier"
5,8,4,12,SPY_200d_trend_model,SPY 200-Day Trend Model,tier3_candidate_validation,completed,0.68,0.64,0.56,0.56,0.56,0.36,4844.269122089161,13146.950040379634,-1317.9859375632814,3316.221490143017,63.17683548326568,1001.6207936448257,382.34922498580977,619.2715686590159,high_upside_high_risk,"diagnostic score rewards target ladder and stop-enforced equity; penalizes stops, drawdown, stress degradation, and evidence tier"
6,12,3,9,IEF_200d_trend_model_v1,IEF 200-Day Trend Model,tier2_credible_prototype,completed,0.76,0.76,0.72,0.64,0.44,0.0,3979.8059297532654,4673.8980166827905,-295.17706517310535,854.9394064503226,978.0884645795923,600.1924586460173,78.24707716636738,521.9453814796499,watchlist,"diagnostic score rewards target ladder and stop-enforced equity; penalizes stops, drawdown, stress degradation, and evidence tier"
7,2,25,11,SPY_buy_hold,SPY Buy And Hold,benchmark,completed,0.72,0.68,0.64,0.64,0.64,0.72,7027.130393821625,20284.066127728704,-3153.651189405741,5234.935806638316,1.3742217824224099,1515.638542937595,1145.8878540346032,369.7506889029919,high_upside_high_risk,"diagnostic score rewards target ladder and stop-enforced equity; penalizes stops, drawdown, stress degradation, and evidence tier"
8,9,11,4,GLD_200d_trend_model_v1,GLD 200-Day Trend Model,tier2_credible_prototype,completed,0.76,0.76,0.76,0.76,0.64,0.4,5101.2161298466535,10677.326934308048,-2285.924068507584,2772.813985315943,5.090032503574548,995.5504647225994,730.4806265779403,265.0698381446591,high_upside_high_risk,"diagnostic score rewards target ladder and stop-enforced equity; penalizes stops, drawdown, stress degradation, and evidence tier"
9,7,13,5,SPY_GLD_dual_momentum_v1,SPY GLD Dual Momentum,tier2_credible_prototype,completed,0.76,0.76,0.76,0.72,0.64,0.2,5345.841932609424,14083.495846222002,-3015.1556023035446,3195.7958823893023,4.694672629672368,1155.9642262771245,915.6800346166143,240.28419166051015,high_upside_high_risk,"diagnostic score rewards target ladder and stop-enforced equity; penalizes stops, drawdown, stress degradation, and evidence tier"
10,6,14,7,GLD_SPY_rotation_v1,GLD SPY Rotation,tier2_credible_prototype,completed,0.76,0.76,0.76,0.76,0.72,0.32,5576.2531799738135,13851.93236426318,-2965.5798479922087,3324.9920640210357,4.694672629672368,1172.4022472895872,940.3285206076467,232.07372668194046,high_upside_high_risk,"diagnostic score rewards target ladder and stop-enforced equity; penalizes stops, drawdown, stress degradation, and evidence tier"
