experiment_id,horizon,standard_or_stress,rolling_method,number_of_windows,possible_window_count,p_target_300_before_stop,p_target_400_before_stop,p_target_600_before_stop,p_target_900_before_stop,p_target_1200_before_stop,p_any_project_stop_hit,median_stop_enforced_final_equity,mean_stop_enforced_final_equity,p25_stop_enforced_final_equity,p75_stop_enforced_final_equity,p90_stop_enforced_final_equity,p95_stop_enforced_final_equity,max_stop_enforced_final_equity,median_max_drawdown,worst_max_drawdown,expected_profit_dollars,expected_profit_pct,evidence_finality,notes
SPY_200d_trend_model,90,standard,deterministic_stratified_sample,25,4793,0.68,0.64,0.56,0.56,0.56,0.36,4844.269122089161,6316.221490143017,3036.5024673607236,6711.694389949854,13146.950040379634,13146.950040379634,13562.449025235175,-350.46430887437964,-1317.9859375632814,3316.221490143017,1.1054071633810056,sampled_non_final,computed from cached adjusted SPY/BIL prices
SPY_200d_trend_model,90,stress,deterministic_stratified_sample,25,4793,0.68,0.6,0.6,0.6,0.6,0.4,5601.976858827793,5994.545851427177,3048.7236336785168,6140.390794026424,11837.076906460617,11837.076906460617,12227.055672849947,-375.6063819724045,-1258.1422252875136,2994.545851427177,0.9981819504757257,sampled_non_final,computed from cached adjusted SPY/BIL prices
SPY_buy_hold,90,standard,deterministic_stratified_sample,25,4793,0.72,0.68,0.64,0.64,0.64,0.72,7027.130393821625,8234.935806638316,3103.35538233001,9306.345831246137,20284.066127728704,20284.066127728704,20284.066127728704,-696.6426241849354,-3153.651189405741,5234.935806638316,1.7449786022127718,sampled_non_final,computed from cached adjusted SPY prices
SPY_buy_hold,90,stress,deterministic_stratified_sample,25,4793,0.72,0.68,0.64,0.64,0.64,0.72,7023.62251734845,8230.825005222181,3101.8062169205773,9301.700192164028,20273.940515371694,20273.940515371694,20273.940515371694,-696.2948668309857,-3152.0769168091156,5230.825005222181,1.7436083350740605,sampled_non_final,computed from cached adjusted SPY prices
GLD_buy_hold,90,standard,deterministic_stratified_sample,25,4793,1.0,0.92,0.92,0.92,0.8,0.52,6093.259796969255,8387.534176048242,5111.578650178348,8663.2522431518,21422.219290000252,21422.219290000252,21422.219290000252,-626.3695046175662,-4586.3133139167585,5387.534176048242,1.795844725349414,sampled_non_final,computed from cached adjusted GLD prices
GLD_buy_hold,90,stress,deterministic_stratified_sample,25,4793,1.0,0.92,0.92,0.92,0.8,0.52,6090.180478370071,8383.295412094272,5108.995438608008,8658.874141010947,21411.39325590793,21411.39325590793,21411.39325590793,-626.0529595612606,-4583.995552921868,5383.295412094272,1.794431804031424,sampled_non_final,computed from cached adjusted GLD prices
IEF_buy_hold,90,standard,deterministic_stratified_sample,25,4793,0.92,0.92,0.92,0.88,0.88,0.0,5584.001016361975,5357.6599175894235,4933.274212487767,6142.187427741985,6277.7035459894505,6279.545862237524,6298.277071124356,-167.40696119930817,-348.34989702896655,2357.6599175894235,0.7858866391964745,sampled_non_final,computed from cached adjusted IEF prices
IEF_buy_hold,90,stress,deterministic_stratified_sample,25,4793,0.92,0.92,0.92,0.88,0.88,0.0,5581.217724861411,5354.989443628566,4930.815269492342,6139.125913603192,6274.574485147316,6276.415883110608,6295.13775560686,-167.32351881258955,-348.17626537940214,2354.989443628566,0.784996481209522,sampled_non_final,computed from cached adjusted IEF prices
BIL_cash_proxy,90,standard,deterministic_stratified_sample,24,4793,0.20833333333333334,0.20833333333333334,0.16666666666666666,0.0,0.0,0.0,3129.305956061048,3250.833544189482,3101.683453682888,3275.403242281238,3869.042804203686,3869.528286215564,3870.8587865925588,-1.7065008467745884,-14.453947793279895,250.83354418948193,0.08361118139649393,sampled_non_final,computed from cached adjusted BIL prices
BIL_cash_proxy,90,stress,deterministic_stratified_sample,24,4793,0.20833333333333334,0.20833333333333334,0.16666666666666666,0.0,0.0,0.0,3127.74052036517,3249.450334795456,3100.464254591651,3273.764721399633,3867.107315056976,3867.5925542064174,3868.922389000432,-1.7056471695116215,-14.4467172040886,249.450334795456,0.0831501115984854,sampled_non_final,computed from cached adjusted BIL prices
GLD_200d_trend_model_v1,90,standard,deterministic_stratified_sample,25,4793,0.76,0.76,0.76,0.76,0.64,0.4,5101.2161298466535,5772.813985315943,3563.743239665586,5828.184442384401,10677.326934308048,10677.326934308048,10677.326934308048,-404.45060718666537,-2285.924068507584,2772.813985315943,0.9242713284386477,sampled_non_final,predeclared GLD 200-day trend model
GLD_200d_trend_model_v1,90,stress,deterministic_stratified_sample,25,4793,0.76,0.76,0.76,0.64,0.56,0.4,4453.557237613621,5258.394560273421,3508.6303715882873,5265.58157786523,9192.421394041787,9192.421394041787,9192.421394041787,-428.69353109044914,-1968.0185351434066,2258.394560273421,0.7527981867578071,sampled_non_final,predeclared GLD 200-day trend model
IEF_200d_trend_model_v1,90,standard,deterministic_stratified_sample,25,4793,0.76,0.76,0.72,0.64,0.44,0.0,3979.8059297532654,3854.9394064503226,3232.51958676393,4119.87372444172,4672.526771301854,4673.8980166827905,4687.839751003533,-90.84517458127357,-295.17706517310535,854.9394064503226,0.28497980215010754,sampled_non_final,predeclared IEF 200-day trend model
IEF_200d_trend_model_v1,90,stress,deterministic_stratified_sample,24,4793,0.75,0.75,0.4583333333333333,0.25,0.20833333333333334,0.0,3410.765160304645,3528.9758437473974,3120.703399517589,3789.4497059558844,4212.571802906985,4213.756601284783,4226.274104803005,-81.90054039218376,-296.14887844688656,528.9758437473974,0.1763252812491325,sampled_non_final,predeclared IEF 200-day trend model
SPY_GLD_dual_momentum_v1,90,standard,deterministic_stratified_sample,25,4793,0.76,0.76,0.76,0.72,0.64,0.2,5345.841932609424,6195.795882389302,3380.6333438049146,6423.311262316133,14083.495846222002,14083.495846222002,14083.495846222002,-265.6179781759347,-3015.1556023035446,3195.7958823893023,1.0652652941297673,sampled_non_final,predeclared SPY/GLD dual momentum
SPY_GLD_dual_momentum_v1,90,stress,deterministic_stratified_sample,25,4793,0.76,0.76,0.76,0.72,0.64,0.2,5159.59375213134,6007.0857687056,3358.8428455313137,6197.59065192256,13456.834807652456,13456.834807652456,13456.834807652456,-256.6166214394498,-2880.9928516754608,3007.0857687055995,1.0023619229018665,sampled_non_final,predeclared SPY/GLD dual momentum
SPY_GLD_IEF_dual_momentum_v1,90,standard,deterministic_stratified_sample,24,4793,0.75,0.75,0.6666666666666666,0.625,0.4166666666666667,0.20833333333333334,4022.5536870694477,4920.630618183393,3317.313154402064,4673.741701741226,10430.622774699075,10430.622774699075,10430.622774699075,-253.93214127067222,-2233.1068250419885,1920.6306181833934,0.6402102060611312,sampled_non_final,predeclared SPY/GLD/IEF dual momentum
SPY_GLD_IEF_dual_momentum_v1,90,stress,deterministic_stratified_sample,25,4793,0.76,0.68,0.68,0.48,0.4,0.16,3840.5289430387365,4746.163191091828,3331.1861321460037,4512.442349275376,9797.87060547744,9797.87060547744,9797.87060547744,-247.68667759253822,-2097.640015612702,1746.1631910918277,0.5820543970306091,sampled_non_final,predeclared SPY/GLD/IEF dual momentum
multi_asset_top2_momentum_v1,90,standard,deterministic_stratified_sample,25,4793,0.76,0.76,0.76,0.76,0.72,0.2,6639.815956141613,6684.023447420801,3818.387053253398,7240.3203314439925,12787.212255307393,12787.212255307393,12787.212255307393,-183.69518915410845,-1739.7623933770938,3684.023447420801,1.2280078158069339,sampled_non_final,predeclared multi-asset top-2 momentum
multi_asset_top2_momentum_v1,90,stress,deterministic_stratified_sample,24,4793,0.75,0.75,0.75,0.75,0.7083333333333334,0.20833333333333334,6496.222099666589,6520.142136223657,3615.6493960030157,7077.749601762797,12341.122317184778,12341.122317184778,12341.122317184778,-176.05586983096418,-1679.0696885940379,3520.142136223657,1.1733807120745525,sampled_non_final,predeclared multi-asset top-2 momentum
GLD_SPY_rotation_v1,90,standard,deterministic_stratified_sample,25,4793,0.76,0.76,0.76,0.76,0.72,0.32,5576.2531799738135,6324.992064021036,3556.7020157002476,6646.241666337095,13851.93236426318,13851.93236426318,13851.93236426318,-279.45177790895195,-2965.5798479922087,3324.9920640210357,1.1083306880070118,sampled_non_final,predeclared GLD/SPY rotation
GLD_SPY_rotation_v1,90,stress,deterministic_stratified_sample,24,4793,0.75,0.75,0.75,0.75,0.7083333333333334,0.3333333333333333,5371.707236528384,6084.4069050258995,3412.152173787735,6195.360703027756,13222.16722224688,13222.16722224688,13222.16722224688,-269.9786834954484,-2830.7525354542286,3084.4069050258995,1.028135635008633,sampled_non_final,predeclared GLD/SPY rotation
combo_SPY200d_GLD_50_50_v1,90,standard,deterministic_stratified_sample,25,4793,0.92,0.92,0.88,0.76,0.76,0.2,5910.489032497215,7773.967314834768,4139.979295669297,8526.236655215032,18953.770908552444,18953.770908552444,18953.770908552444,-270.07131199469177,-2536.0611080147864,4773.967314834768,1.5913224382782563,sampled_non_final,predeclared fixed monthly combination account
