experiment_id,horizon,standard_or_stress,rolling_method,number_of_windows,possible_window_count,p_target_300_before_stop,p_target_400_before_stop,p_target_600_before_stop,p_target_900_before_stop,p_target_1200_before_stop,p_any_project_stop_hit,median_stop_enforced_final_equity,mean_stop_enforced_final_equity,p25_stop_enforced_final_equity,p75_stop_enforced_final_equity,p90_stop_enforced_final_equity,p95_stop_enforced_final_equity,max_stop_enforced_final_equity,median_max_drawdown,worst_max_drawdown,expected_profit_dollars,expected_profit_pct,evidence_finality,notes,window_start_equity_min,window_start_equity_max,window_start_equity_violation_count,high_water_start_violation_count,target_state_start_violation_count,stop_state_start_violation_count,reference_check_available,reference_median_abs_error,reference_max_abs_error,reference_error_status,accounting_integrity_status
SPY_200d_trend_model,90,standard,deterministic_stratified_sample,25,4793,0.32,0.04,0.0,0.0,0.0,0.0,3130.121930299573,3127.1207250446478,3006.9402063259986,3234.3009107308562,3289.517482049461,3298.9638492831614,3404.0565559976935,-126.54761389560372,-587.0888830833665,127.12072504464777,0.04237357501488259,sampled_non_final,computed from cached adjusted SPY/BIL prices,3000.0,3000.0,0,0,0,0,False,,,not_applicable,passed
SPY_200d_trend_model,90,stress,deterministic_stratified_sample,25,4793,0.32,0.04,0.0,0.0,0.0,0.04,3123.8768706598526,3124.633537664913,3006.9402063259986,3234.3009107308562,3289.517482049461,3298.9638492831614,3400.671469265712,-126.54761389560372,-600.811559375526,124.63353766491309,0.041544512554970936,sampled_non_final,computed from cached adjusted SPY/BIL prices,3000.0,3000.0,0,0,0,0,False,,,not_applicable,passed
SPY_buy_hold,90,standard,deterministic_stratified_sample,25,4793,0.4,0.04,0.0,0.0,0.0,0.24,3212.4797206553285,3058.464476781847,2921.4907437795855,3280.051997545461,3312.1074162968903,3344.1375935053884,3514.4116961653167,-273.5946802682797,-1112.6484015736578,58.464476781847225,0.019488158927282395,sampled_non_final,computed from cached adjusted SPY prices,3000.0,3000.0,0,0,0,0,True,9.094947017729282e-13,1.606828184107144,failed,failed
SPY_buy_hold,90,stress,deterministic_stratified_sample,25,4793,0.4,0.04,0.0,0.0,0.0,0.24,3210.8760814169495,3058.4003312123123,2921.4907437795855,3280.051997545461,3312.1074162968903,3344.1375935053884,3514.4116961653167,-273.5946802682797,-1112.6484015736578,58.40033121231227,0.019466777070770824,sampled_non_final,computed from cached adjusted SPY prices,3000.0,3000.0,0,0,0,0,True,9.094947017729282e-13,3.2136563682115593,failed,failed
GLD_buy_hold,90,standard,deterministic_stratified_sample,25,4793,0.52,0.36,0.2,0.16,0.0,0.16,3100.583018172384,3134.9341251517385,2900.784834473318,3264.073109650176,3638.016916328447,3682.0048386439057,3830.9505109577126,-250.26798162354044,-678.3449214264192,134.9341251517385,0.044978041717246064,sampled_non_final,computed from cached adjusted GLD prices,3000.0,3000.0,0,0,0,0,True,9.094947017729282e-13,1.6715327310944303,failed,failed
GLD_buy_hold,90,stress,deterministic_stratified_sample,25,4793,0.52,0.36,0.2,0.16,0.0,0.16,3100.583018172384,3134.8694536234625,2900.784834473318,3264.073109650176,3638.016916328447,3682.0048386439057,3830.9505109577126,-250.26798162354044,-678.3449214264192,134.8694536234625,0.044956484541154085,sampled_non_final,computed from cached adjusted GLD prices,3000.0,3000.0,0,0,0,0,True,9.094947017729282e-13,3.3430654621838585,failed,failed
IEF_buy_hold,90,standard,deterministic_stratified_sample,25,4793,0.2,0.16,0.0,0.0,0.0,0.0,3002.9873062168986,3039.3932729216262,2943.3504543647273,3117.661265312971,3257.8866947466936,3269.520662001508,3287.4801248101744,-125.69422457077599,-269.6958486525541,39.39327292162625,0.013131090973875326,sampled_non_final,computed from cached adjusted IEF prices,3000.0,3000.0,0,0,0,0,True,9.094947017729282e-13,1.52487899314292,failed,failed
IEF_buy_hold,90,stress,deterministic_stratified_sample,25,4793,0.2,0.16,0.0,0.0,0.0,0.0,3002.9873062168986,3039.3324984087044,2943.3504543647273,3117.661265312971,3257.8866947466936,3269.520662001508,3287.4801248101744,-125.69422457077599,-269.6958486525541,39.332498408704396,0.013110832802901484,sampled_non_final,computed from cached adjusted IEF prices,3000.0,3000.0,0,0,0,0,True,9.094947017729282e-13,3.0497579862872044,failed,failed
BIL_cash_proxy,90,standard,deterministic_stratified_sample,25,4793,0.0,0.0,0.0,0.0,0.0,0.0,3011.6338405650554,3015.5767866681545,3000.2609758086205,3024.5242961650547,3038.302801227932,3044.176370898537,3053.0546596082127,-0.660093238169793,-13.8881521987023,15.576786668154455,0.005192262222718069,sampled_non_final,computed from cached adjusted BIL prices,3000.0,3000.0,0,0,0,0,True,9.094947017729282e-13,5.9117155615240335e-12,failed,failed
BIL_cash_proxy,90,stress,deterministic_stratified_sample,25,4793,0.0,0.0,0.0,0.0,0.0,0.0,3011.6338405650554,3015.516310214217,3000.2609758086205,3024.5242961650547,3038.302801227932,3044.176370898537,3053.0546596082127,-0.660093238169793,-13.8881521987023,15.516310214216901,0.005172103404738948,sampled_non_final,computed from cached adjusted BIL prices,3000.0,3000.0,0,0,0,0,True,9.094947017729282e-13,5.9117155615240335e-12,failed,failed
