rank_overall,rank_profit_potential,rank_risk_control,rank_upside,experiment_id,display_name,evidence_tier,run_status,p_90d_target_300_before_stop,p_90d_target_400_before_stop,p_90d_target_600_before_stop,p_90d_target_900_before_stop,p_90d_target_1200_before_stop,p_90d_any_stop_hit,median_90d_stop_enforced_final_equity,p95_90d_stop_enforced_final_equity,worst_90d_max_drawdown,expected_profit_90d,p_180d_target_300_before_stop,p_180d_target_400_before_stop,p_180d_target_600_before_stop,p_180d_target_900_before_stop,p_180d_target_1200_before_stop,p_180d_any_stop_hit,median_180d_stop_enforced_final_equity,p95_180d_stop_enforced_final_equity,worst_180d_max_drawdown,expected_profit_180d,stress_degradation,run_validation_scope,selected_horizons,omitted_horizons,selected_horizons_completed,full_horizon_validation_completed,candidate_exhaustive_completed,reduced_validation,reduced_validation_reason,profit_score,risk_penalty,final_score,score_target_300_component,score_target_400_component,score_target_600_component,score_target_900_component,score_target_1200_component,score_median_equity_component,score_p95_equity_component,score_expected_profit_component,score_stop_penalty_component,score_drawdown_excess_penalty_component,score_stress_penalty_component,score_tier_penalty_component,profit_seeking_score,balanced_score,drawdown_control_score,rank_profit_seeking_score,rank_balanced_score,rank_drawdown_control_score,score_audit_notes,balanced_drawdown_aware_score_v2,rank_balanced_drawdown_aware_v2,risk_budget_used_90d,risk_budget_used_180d,target_score_component,upside_score_component,median_equity_score_component,tail_equity_score_component,stop_penalty_component,drawdown_budget_penalty_component,stress_penalty_component,evidence_quality_penalty_component,practical_verdict_v2,practical_score_notes,profit_verdict,ranking_notes,accounting_integrity_status,profit_results_usable,ranking_blocked_reason,canonical_rule_hash,duplicate_of,duplicate_status,qqq_selection_frequency,spy_selection_frequency,gld_selection_frequency,ief_selection_frequency,bil_allocation_frequency,max_single_asset_allocation,qqq_allocation_share,equity_asset_allocation_share,defensive_asset_allocation_share,concentration_warning,equity_beta_duplicate_warning,mtum_selection_frequency,vtv_selection_frequency,qual_selection_frequency,usmv_selection_frequency,mtum_allocation_share,vtv_allocation_share,qual_allocation_share,usmv_allocation_share,spy_allocation_share,bil_allocation_share,max_single_etf_allocation,equity_factor_allocation_share,cash_treasury_allocation_share,xlb_selection_frequency,xle_selection_frequency,xlf_selection_frequency,xli_selection_frequency,xlk_selection_frequency,xlp_selection_frequency,xlu_selection_frequency,xlv_selection_frequency,xly_selection_frequency,xlb_allocation_share,xle_allocation_share,xlf_allocation_share,xli_allocation_share,xlk_allocation_share,xlp_allocation_share,xlu_allocation_share,xlv_allocation_share,xly_allocation_share,equity_sector_allocation_share,max_single_sector_allocation,top_sector_dominance,sector_turnover,candidate_exhaustive_queue_rank,deserves_candidate_exhaustive,queue_reason
1,8,6,21,combo_SPY200d_GLD_50_50_v1,Combo SPY200d GLD 50/50,tier2_credible_prototype,completed,0.225,0.15,0.0,0.0,0.0,0.0,3077.5727172300453,3389.6980511680545,-419.15464214180656,103.34541033512141,0.5,0.425,0.25,0.025,0.0,0.0,3205.5090552644083,3617.9226520612647,-487.25271787534393,266.49475158455743,22.032430724469577,all_horizons,"30,60,90,180",,False,False,False,False,,74.34264739057853,1.7625944579575663,72.58005293262097,27.0,24.0,0.0,0.0,0.0,4.65436303380272,15.587922046722179,3.1003623100536424,0.0,0.0,1.7625944579575663,0.0,199.6479991167008,218.41165785436422,238.7680899283453,3,1,3,alternate score views include 90d and 180d metrics; original final_score penalizes drawdown only after the -600 risk budget is breached,141.132867975378,1,0.6985910702363443,0.8120878631255732,128.0,36.625,7.4649078985115676,32.17711135271985,0.0,49.829286667182984,3.3048646086704365,10.0,practical_leader,v2 practical leader among non-benchmark completed rows; still reduced selected-horizon evidence only,leading_profit_candidate,"diagnostic score rewards target ladder and stop-enforced equity; penalizes stops, drawdown, stress degradation, and evidence tier",passed,True,,,,canonical_unique,,,,,,,,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,True,research_sample accounting-valid row improves diagnostic score versus SPY_200d
2,2,16,3,qqq_spy_gld_ief_dual_momentum_v1,QQQ/SPY/GLD/IEF Dual Momentum,tier2_credible_prototype,completed,0.475,0.425,0.025,0.0,0.0,0.175,3118.1945875728866,3366.2251182191903,-678.3449214264192,76.23774887768468,0.675,0.625,0.4,0.2,0.025,0.3,3457.7873800412917,3667.374391073113,-815.8940739094096,295.68335075682717,7.382372545508133,all_horizons,"30,60,90,180",,False,False,False,False,,154.52781244947136,89.26131230288738,65.26650014658398,57.0,68.0,5.5,0.0,0.0,7.091675254373194,14.649004728767613,2.28713246633054,61.24999999999999,27.420722499246722,0.5905898036406506,0.0,234.35326759210355,25.369118053102387,131.4035935276646,2,9,11,alternate score views include 90d and 180d metrics; original final_score penalizes drawdown only after the -600 risk budget is breached,-80.32245135209142,12,1.130574869044032,1.3598234565156826,225.0,73.75,14.99052212821889,32.83911086986506,207.5,208.29472846834918,1.10735588182622,10.0,high_upside_high_risk,v2 classifies row as high risk because stop/drawdown behavior dominates upside,high_upside_high_risk,research-sample-only row; concentration or stop risk requires caution,passed,True,,e28c5359ddd67b84ac52f33473ddeb179810fd8e6e06758efe312beb592a81cb,,canonical_unique,0.45862351495288817,0.10712822613682917,0.29270790659565754,0.0680049160180254,0.0733306022122081,0.45862351495288817,0.45862351495288817,0.5657517410897174,0.43404342482589103,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,concentration or stop risk prevents candidate_exhaustive queue from this research_sample
3,9,3,13,asset_class_tsmom_top2_v1,Asset Class TSMOM Top 2,tier2_credible_prototype,completed,0.2,0.125,0.0,0.0,0.0,0.0,3097.461589347202,3281.0029059755825,-539.082920535167,65.49611888358868,0.55,0.425,0.225,0.0,0.0,0.0,3188.9925076697255,3522.975016141392,-592.6782931110265,215.59932975160427,6.014355715166403,all_horizons,"30,60,90,180",,False,False,False,False,,63.05269516636307,0.48114845721331223,62.57154670914976,24.0,20.0,0.0,0.0,0.0,5.8476953608321125,11.240116239023301,1.9648835665076603,0.0,0.0,0.48114845721331223,0.0,181.79357727796219,150.3020839817831,200.17449021066193,4,2,7,alternate score views include 90d and 180d metrics; original final_score penalizes drawdown only after the -600 risk budget is breached,54.36477237639107,3,0.8984715342252783,0.9877971551850442,126.0,31.5,7.648660372159193,25.524352193387152,0.0,125.40608683188032,0.9021533572749604,10.0,promotion_review_candidate,v2 positive-score challenger; requires full 30/60/90/180 validation before promotion review,watchlist,"diagnostic score rewards target ladder and stop-enforced equity; penalizes stops, drawdown, stress degradation, and evidence tier",passed,True,,d03c7e83b354051ab0ccde6b79b46577eb8f5a2592a21bff790cf944a2fb458a,,canonical_unique,,,,,,,,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,True,research_sample accounting-valid row improves diagnostic score versus SPY_200d
4,11,5,14,value_momentum_factor_etf_rotation_v1,Value/Momentum Factor ETF Rotation,tier2_credible_prototype,completed,0.175,0.125,0.0,0.0,0.0,0.0,3072.9330315687303,3315.1919667951956,-407.73990268957505,88.00609179892854,0.475,0.275,0.025,0.0,0.0,0.05,3249.9789707463688,3467.9612630909537,-605.1633098652114,150.03277098130184,17.907700062637105,all_horizons,"30,60,90,180",,False,False,False,False,,60.6238433198995,1.4326160050109684,59.19122731488853,21.0,20.0,0.0,0.0,0.0,4.375981894123815,12.607678671807825,2.640182753967856,0.0,0.0,1.4326160050109684,0.0,123.72651282643997,102.51907818706152,213.25771899793781,9,5,5,alternate score views include 90d and 180d metrics; original final_score penalizes drawdown only after the -600 risk budget is breached,22.54500434293311,7,0.6795665044826251,1.0086055164420191,100.75,3.5,8.437465215721128,25.070556730560458,20.0,82.52686259395291,2.6861550093955655,10.0,watchlist,v2 flags drawdown budget usage above 100% in at least one selected horizon,duplicate_or_near_duplicate,research-sample-only row; equity-beta duplicate warning prevents validation-style leader label,passed,True,,d8076585138af3db89e9a89ef885243d4fd7c69cb836ce368f4f1ddb6982ff7f,,canonical_unique,,0.44653830397378125,,,0.271200327734535,,,,,False,True,0.308480131093814,0.35907414993854975,0.20647275706677592,0.19766489143793528,0.154240065546907,0.17953707496927487,0.10323637853338796,0.09883244571896764,0.22326915198689062,0.24068004916018026,0.24068004916018026,0.7591151167554282,0.24068004916018026,,,,,,,,,,,,,,,,,,,,,,,,False,equity-beta duplicate warning prevents candidate_exhaustive queue from this research_sample
5,12,4,11,asset_class_tsmom_equal_weight_v1,Asset Class TSMOM Equal Weight,tier2_credible_prototype,completed,0.175,0.125,0.0,0.0,0.0,0.0,3089.105650308349,3265.464351465729,-539.082920535167,61.09873143758432,0.525,0.45,0.025,0.0,0.0,0.0,3210.8683302914346,3481.3987348967253,-592.6782931110265,178.27198162672084,6.924255805282883,all_horizons,"30,60,90,180",,False,False,False,False,,58.79787502025764,0.5539404644226307,58.24393455583501,21.0,20.0,0.0,0.0,0.0,5.346339018500948,10.618574058629164,1.8329619431275295,0.0,0.0,0.5539404644226307,0.0,149.6316634336911,116.3414938715136,199.70050103567652,7,3,8,alternate score views include 90d and 180d metrics; original final_score penalizes drawdown only after the -600 risk budget is breached,23.358366912065854,6,0.8984715342252783,0.9877971551850442,124.625,3.5,7.94487776653634,23.733214348202278,0.0,125.40608683188032,1.0386383707924323,10.0,promotion_review_candidate,v2 positive-score challenger; requires full 30/60/90/180 validation before promotion review,watchlist,"diagnostic score rewards target ladder and stop-enforced equity; penalizes stops, drawdown, stress degradation, and evidence tier",passed,True,,53e5237d0853d047a69f1dee02befbba0092e80aff46cadff10fef41b12b23ef,,canonical_unique,,,,,,,,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,True,research_sample accounting-valid row improves diagnostic score versus SPY_200d
6,13,1,6,IEF_buy_hold,IEF Buy And Hold,benchmark,completed,0.175,0.125,0.0,0.0,0.0,0.0,3006.2410168279494,3280.191579315572,-316.1995631787454,41.399086203781735,0.225,0.2,0.0,0.0,0.0,0.0,2996.1698207182044,3334.0153113296087,-458.7925217896259,57.56764366480502,0.0,all_horizons,"30,60,90,180",,False,False,False,False,,53.824096768413305,0.0,53.824096768413305,21.0,20.0,0.0,0.0,0.0,0.3744610096769611,11.207663172622889,1.241972586113452,0.0,0.0,0.0,0.0,91.01429234829597,99.10497066711751,248.71531747126858,16,6,2,alternate score views include 90d and 180d metrics; original final_score penalizes drawdown only after the -600 risk budget is breached,59.84795981752323,2,0.5269992719645756,0.7646542029827098,73.375,0.0,0.09147602279359034,19.827164615933288,0.0,23.445680821203634,0.0,10.0,benchmark_only,benchmark row is useful for comparison but is not a practical profit candidate,watchlist,"diagnostic score rewards target ladder and stop-enforced equity; penalizes stops, drawdown, stress degradation, and evidence tier",passed,True,,,,canonical_unique,,,,,,,,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,
7,14,7,5,SPY_200d_trend_model,SPY 200-Day Trend Model,tier3_candidate_validation,completed,0.2,0.05,0.0,0.0,0.0,0.0,3076.4821905341773,3350.585757266993,-567.4545568109511,82.13304046254143,0.575,0.2,0.075,0.0,0.0,0.025,3208.3865749428214,3539.451693705977,-727.9989847119946,180.48167813279088,63.17683548326568,all_horizons,"30,60,90,180",,False,False,False,False,,53.0763529366066,5.0541468386612545,48.02220609794534,24.0,8.0,0.0,0.0,0.0,4.58893143205064,14.023430290679716,2.463991213876243,0.0,0.0,5.0541468386612545,0.0,122.7195015116379,35.43108065951588,156.3267083277887,10,8,10,alternate score views include 90d and 180d metrics; original final_score penalizes drawdown only after the -600 risk budget is breached,-52.16015001292784,9,0.9457575946849185,1.2133316411866577,91.875,10.5,7.504130089595856,28.454052315524066,10.0,161.01680709555794,9.47652532248985,10.0,watchlist,v2 flags drawdown budget usage above 100% in at least one selected horizon,watchlist,"diagnostic score rewards target ladder and stop-enforced equity; penalizes stops, drawdown, stress degradation, and evidence tier",passed,True,,,,canonical_unique,,,,,,,,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,
8,1,18,1,GLD_buy_hold,GLD Buy And Hold,benchmark,completed,0.475,0.325,0.15,0.15,0.0,0.2,3074.219478192749,3716.464996043193,-842.6148956076154,109.80561182406154,0.55,0.55,0.475,0.375,0.175,0.225,3480.6281608061045,3948.7187521995183,-874.774053715942,338.6167683282315,0.0,all_horizons,"30,60,90,180",,False,False,False,False,,190.4059368880145,154.91521346266538,35.49072342534913,57.0,52.0,33.0,12.0,0.0,4.453168691564952,28.65859984172772,3.294168354721846,70.0,84.91521346266538,0.0,0.0,307.7692613130399,15.688874563947678,76.6786444306934,1,10,17,alternate score views include 90d and 180d metrics; original final_score penalizes drawdown only after the -600 risk budget is breached,-66.50580985617967,10,1.4043581593460257,1.4579567561932367,193.5,129.375,14.242288365935087,53.53783742749731,190.0,257.1609356496121,0.0,10.0,high_upside_high_risk,v2 classifies row as high risk because stop/drawdown behavior dominates upside,high_upside_high_risk,"diagnostic score rewards target ladder and stop-enforced equity; penalizes stops, drawdown, stress degradation, and evidence tier",passed,True,,,,canonical_unique,,,,,,,,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,
9,16,9,4,sector_top2_momentum_simple_v1,Simple Sector ETF Top-2 Momentum,tier2_credible_prototype,completed,0.125,0.025,0.025,0.0,0.0,0.025,3093.902033761298,3289.8414314161773,-600.5898090184364,77.81532412249817,0.425,0.35,0.1,0.0,0.0,0.025,3149.532421927839,3491.4312162634633,-870.1925748230638,159.94288710080082,19.342159058709967,all_horizons,"30,60,90,180",,False,False,False,False,,44.062239005999906,10.503805881149548,33.55843312485036,15.0,4.0,5.5,0.0,0.0,5.63412202567787,11.593657256647093,2.334459723674945,8.75,0.20643315645274923,1.5473727246967974,0.0,109.09199583385696,-19.738636955680402,129.43694699177752,13,12,12,alternate score views include 90d and 180d metrics; original final_score penalizes drawdown only after the -600 risk budget is breached,-97.555911705501,13,1.0009830150307273,1.4503209580384395,87.375,17.75,6.555371561034913,24.887386587470104,22.5,198.72234599519953,2.901323858806495,10.0,watchlist,v2 flags drawdown budget usage above 100% in at least one selected horizon,duplicate_or_near_duplicate,research-sample-only row; equity-beta duplicate warning prevents validation-style leader label,passed,True,,cc55289ff6df4808dd4408d421239cd12b7dec5a1254598e5fcec51d1ff0a527,,canonical_unique,,,,,0.12064727570667759,,,,,False,True,,,,,,,,,,0.10764031134780827,,,0.10764031134780827,0.10671855796804589,0.24825891028267102,0.22019664072101597,0.12126177795985252,0.31503482179434655,0.13416632527652603,0.20503891847603442,0.18783285538713643,0.2458009012699713,0.05335927898402294,0.12412945514133551,0.11009832036050798,0.06063088897992626,0.15751741089717328,0.06708316263826301,0.10251945923801721,0.09391642769356821,0.12290045063498566,0.8921548545678001,0.15751741089717328,0.15751741089717328,0.035026628430970916,,False,equity-beta duplicate warning prevents candidate_exhaustive queue from this research_sample
10,3,12,12,asset_class_tsmom_top1_v1,Asset Class TSMOM Top 1,tier2_credible_prototype,completed,0.475,0.275,0.0,0.0,0.0,0.175,3044.423325128223,3278.593172514395,-678.3449214264192,27.54394628596947,0.65,0.475,0.25,0.175,0.05,0.225,3193.3611482071956,3573.377802263259,-822.3270022139354,171.46636698889324,4.694672629672368,all_horizons,"30,60,90,180",,False,False,False,False,,115.63544479684826,89.04629630962052,26.589148487227746,57.0,44.0,0.0,0.0,0.0,2.6653995076933823,11.143726900575803,0.826318388579084,61.24999999999999,27.420722499246722,0.37557381037378945,0.0,167.1878704901571,-36.32908420643599,121.6292033290984,5,14,13,alternate score views include 90d and 180d metrics; original final_score penalizes drawdown only after the -600 risk budget is breached,-130.44153896811864,14,1.130574869044032,1.3705450036898923,185.625,48.375,6.166728459026581,26.9520951059016,177.5,209.35616163859595,0.7042008944508552,10.0,too_risky,v2 classifies row as high risk because stop/drawdown behavior dominates upside,too_risky,"diagnostic score rewards target ladder and stop-enforced equity; penalizes stops, drawdown, stress degradation, and evidence tier",passed,True,,235c97bf8a90cbc0064fa0406435a98d4cbad891d2f425030572d4d77e2118f0,,canonical_unique,,,,,,,,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,
