rank_overall,rank_profit_potential,rank_risk_control,rank_upside,experiment_id,display_name,evidence_tier,run_status,p_90d_target_300_before_stop,p_90d_target_400_before_stop,p_90d_target_600_before_stop,p_90d_target_900_before_stop,p_90d_target_1200_before_stop,p_90d_any_stop_hit,median_90d_stop_enforced_final_equity,p95_90d_stop_enforced_final_equity,worst_90d_max_drawdown,expected_profit_90d,p_180d_target_300_before_stop,p_180d_target_400_before_stop,p_180d_target_600_before_stop,p_180d_target_900_before_stop,p_180d_target_1200_before_stop,p_180d_any_stop_hit,median_180d_stop_enforced_final_equity,p95_180d_stop_enforced_final_equity,worst_180d_max_drawdown,expected_profit_180d,stress_degradation,run_validation_scope,selected_horizons,omitted_horizons,selected_horizons_completed,full_horizon_validation_completed,candidate_exhaustive_completed,reduced_validation,reduced_validation_reason,profit_score,risk_penalty,final_score,score_target_300_component,score_target_400_component,score_target_600_component,score_target_900_component,score_target_1200_component,score_median_equity_component,score_p95_equity_component,score_expected_profit_component,score_stop_penalty_component,score_drawdown_excess_penalty_component,score_stress_penalty_component,score_tier_penalty_component,profit_seeking_score,balanced_score,drawdown_control_score,rank_profit_seeking_score,rank_balanced_score,rank_drawdown_control_score,score_audit_notes,balanced_drawdown_aware_score_v2,rank_balanced_drawdown_aware_v2,risk_budget_used_90d,risk_budget_used_180d,target_score_component,upside_score_component,median_equity_score_component,tail_equity_score_component,stop_penalty_component,drawdown_budget_penalty_component,stress_penalty_component,evidence_quality_penalty_component,practical_verdict_v2,practical_score_notes,profit_verdict,ranking_notes,accounting_integrity_status,profit_results_usable,ranking_blocked_reason,canonical_rule_hash,duplicate_of,duplicate_status,qqq_selection_frequency,spy_selection_frequency,gld_selection_frequency,ief_selection_frequency,bil_allocation_frequency,max_single_asset_allocation,qqq_allocation_share,equity_asset_allocation_share,defensive_asset_allocation_share,concentration_warning,equity_beta_duplicate_warning,mtum_selection_frequency,vtv_selection_frequency,qual_selection_frequency,usmv_selection_frequency,mtum_allocation_share,vtv_allocation_share,qual_allocation_share,usmv_allocation_share,spy_allocation_share,bil_allocation_share,max_single_etf_allocation,equity_factor_allocation_share,cash_treasury_allocation_share,xlb_selection_frequency,xle_selection_frequency,xlf_selection_frequency,xli_selection_frequency,xlk_selection_frequency,xlp_selection_frequency,xlu_selection_frequency,xlv_selection_frequency,xly_selection_frequency,xlb_allocation_share,xle_allocation_share,xlf_allocation_share,xli_allocation_share,xlk_allocation_share,xlp_allocation_share,xlu_allocation_share,xlv_allocation_share,xly_allocation_share,equity_sector_allocation_share,max_single_sector_allocation,top_sector_dominance,sector_turnover,required_label,wrapper_proxy_warning,short_history_warning,dbmf_selection_frequency,kmlm_selection_frequency,dbmf_allocation_share,kmlm_allocation_share,max_single_proxy_allocation,proxy_concentration_warning,too_slow_warning,wrapper_proxy_only_warning,direct_futures_claim_disallowed,correlation_to_combo_if_available,correlation_to_top2_if_available,correlation_to_spy200d_if_available,drawdown_coincidence_warning_if_available,fixed_combination_batch_warning,component_combo_allocation_share,component_top2_allocation_share,component_managed_futures_allocation_share,max_single_sleeve_allocation,duplicate_correlation_warning,correlation_diagnostics_status,drawdown_coincidence_diagnostics_status,candidate_exhaustive_queue_rank,deserves_candidate_exhaustive,queue_reason
1,2,11,3,qqq_spy_gld_ief_dual_momentum_v1,QQQ/SPY/GLD/IEF Dual Momentum,tier2_credible_prototype,completed,0.475,0.425,0.025,0.0,0.0,0.175,3118.1947697130163,3366.22471473262,-678.3449214264192,76.26098791456616,0.675,0.625,0.4,0.2,0.025,0.3,3457.787161408382,3667.374391073113,-815.8940739094096,295.70287629720997,7.382374648690984,all_horizons,"30,60,90,180",,False,False,False,False,,154.52850440952278,89.261312471142,65.26719193838078,57.0,68.0,5.5,0.0,0.0,7.091686182780977,14.648988589304809,2.287829637436985,61.24999999999999,27.420722499246722,0.5905899718952787,0.0,234.35400590657298,25.370075163801445,131.40359291035486,3,8,10,alternate score views include 90d and 180d metrics; original final_score penalizes drawdown only after the -600 risk budget is breached,-80.32246579121768,11,1.130574869044032,1.3598234565156826,225.0,73.75,14.990522126600037,32.83909674783511,207.5,208.29472846834918,1.1073561973036476,10.0,high_upside_high_risk,v2 classifies row as high risk because stop/drawdown behavior dominates upside,high_upside_high_risk,research-sample-only row; concentration or stop risk requires caution,passed,True,,e28c5359ddd67b84ac52f33473ddeb179810fd8e6e06758efe312beb592a81cb,,canonical_unique,0.45862351495288817,0.10712822613682917,0.29270790659565754,0.0680049160180254,0.0733306022122081,0.45862351495288817,0.45862351495288817,0.5657517410897174,0.43404342482589103,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,,,,,,False,False,False,False,,,,False,False,,,,,False,not_applicable,not_applicable,,False,concentration or stop risk prevents candidate_exhaustive queue from this research_sample
2,5,9,12,combo_plus_managed_futures_80_20_v1,Combo Plus Managed Futures Proxy 80/20,tier2_credible_prototype,completed,0.175,0.1,0.0,0.0,0.0,0.0,3155.5908418740637,3464.1876736092136,-321.10579867061506,155.98933699276677,0.6410256410256411,0.5384615384615384,0.41025641025641024,0.02564102564102564,0.0,0.0,3384.617353555583,3775.3126052970824,-372.2506580421841,389.01228714446415,80.97463366331431,all_horizons,"30,60,90,180",,False,False,False,False,,69.58263756659537,6.477970693065145,63.10466687353022,21.0,16.0,0.0,0.0,0.0,9.335450512443822,18.567506944368542,4.6796801097830025,0.0,0.0,6.477970693065145,0.0,246.79550079390705,266.22648793281616,273.850726448607,2,1,2,alternate score views include 90d and 180d metrics; original final_score penalizes drawdown only after the -600 risk budget is breached,218.54205748211135,1,0.5351763311176918,0.6204177634036402,140.125,59.102564102564095,14.28315909511149,39.50594673523495,0.0,12.328417401302042,12.146195049497146,10.0,too_slow,v2 score penalizes drawdown budget usage before the -600 hard stop and preserves reduced-validation/non-final penalties,too_slow,research-sample-only fixed combination; historical result is too slow or dilutive versus current leaders,passed,True,,d78d345140cb39000d1c7f516da0374bf7e58a1b0378ef5678c85c06fba6a6cd,,canonical_unique,,,,,,,,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fund_wrapper_proxy_short_history_limited_inception_research_sample_only,True,True,,,,,,False,False,True,True,,,,False,True,0.8,0.0,0.2,0.8,False,available_after_combination_batch_output,available_after_combination_batch_output,,False,combination batch row did not improve +300/+400 target rates versus combo/top2
3,6,2,9,asset_class_tsmom_top2_v1,Asset Class TSMOM Top 2,tier2_credible_prototype,completed,0.2,0.125,0.0,0.0,0.0,0.0,3097.4612877152467,3281.0029059755825,-539.082920535167,65.73626645177183,0.55,0.425,0.225,0.0,0.0,0.0,3188.992645145815,3522.975510184353,-592.6773336849215,215.82307877813673,6.014357428612129,all_horizons,"30,60,90,180",,False,False,False,False,,63.059881495491254,0.48114859428897033,62.57873290120229,24.0,20.0,0.0,0.0,0.0,5.847677262914804,11.240116239023301,1.9720879935531548,0.0,0.0,0.48114859428897033,0.0,181.8017465674735,150.31281151166357,200.17463227740555,5,4,7,alternate score views include 90d and 180d metrics; original final_score penalizes drawdown only after the -600 risk budget is breached,54.36506915643815,5,0.8984715342252783,0.9877955561415358,126.0,31.5,7.648654760102777,25.524367014675978,0.0,125.40579900404879,0.9021536142918194,10.0,practical_leader,v2 practical leader among non-benchmark completed rows; still reduced selected-horizon evidence only,leading_profit_candidate,"diagnostic score rewards target ladder and stop-enforced equity; penalizes stops, drawdown, stress degradation, and evidence tier",passed,True,,d03c7e83b354051ab0ccde6b79b46577eb8f5a2592a21bff790cf944a2fb458a,,canonical_unique,,,,,,,,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,,,,,,False,False,False,False,,,,False,False,,,,,False,not_applicable,not_applicable,2.0,True,research_sample accounting-valid row improves diagnostic score versus SPY_200d/combo_SPY200d_GLD_50_50
4,8,5,10,value_momentum_factor_etf_rotation_v1,Value/Momentum Factor ETF Rotation,tier2_credible_prototype,completed,0.175,0.125,0.0,0.0,0.0,0.0,3072.9329439163885,3315.191934125029,-407.7487005495659,88.92801180643937,0.5,0.275,0.025,0.0,0.0,0.05,3257.161902428964,3467.7041497068335,-605.1631446865358,150.01320409092432,17.885838525729014,all_horizons,"30,60,90,180",,False,False,False,False,,60.65149435417766,1.4308670820583211,59.22062727211934,21.0,20.0,0.0,0.0,0.0,4.375976634983308,12.607677365001164,2.667840354193181,0.0,0.0,1.4308670820583211,0.0,125.41611006592504,104.7162556460548,213.83043602747247,9,7,6,alternate score views include 90d and 180d metrics; original final_score penalizes drawdown only after the -600 risk budget is breached,24.59364198306757,6,0.6795811675826099,1.0086052411442263,102.625,3.5,8.617035878215752,25.062842185581022,20.0,82.52836030186984,2.682875778859352,10.0,watchlist,v2 flags drawdown budget usage above 100% in at least one selected horizon,duplicate_or_near_duplicate,research-sample-only row; equity-beta duplicate warning prevents validation-style leader label,passed,True,,d8076585138af3db89e9a89ef885243d4fd7c69cb836ce368f4f1ddb6982ff7f,,canonical_unique,,0.44653830397378125,,,0.271200327734535,,,,,False,True,0.308480131093814,0.35907414993854975,0.20647275706677592,0.19766489143793528,0.154240065546907,0.17953707496927487,0.10323637853338796,0.09883244571896764,0.22326915198689062,0.24068004916018026,0.24068004916018026,0.7591151167554282,0.24068004916018026,,,,,,,,,,,,,,,,,,,,,,,,False,False,,,,,,False,False,False,False,,,,False,False,,,,,False,not_applicable,not_applicable,,False,equity-beta duplicate warning prevents candidate_exhaustive queue from this research_sample
5,9,3,8,asset_class_tsmom_equal_weight_v1,Asset Class TSMOM Equal Weight,tier2_credible_prototype,completed,0.175,0.125,0.0,0.0,0.0,0.0,3089.1060648249404,3274.592679787745,-539.082920535167,61.3388857652908,0.525,0.45,0.025,0.0,0.0,0.0,3210.868304449783,3481.3993860916426,-592.6773336849215,178.49576872577518,6.924258373208886,all_horizons,"30,60,90,180",,False,False,False,False,,59.170237653964946,0.5539406698567109,58.61629698410824,21.0,20.0,0.0,0.0,0.0,5.346363889496424,10.983707191509803,1.8401665729587238,0.0,0.0,0.5539406698567109,0.0,150.09627629397633,116.67173583663705,199.70064852819056,7,5,8,alternate score views include 90d and 180d metrics; original final_score penalizes drawdown only after the -600 risk budget is breached,23.678177171283018,7,0.8984715342252783,0.9877955561415358,124.625,3.5,7.944889555992786,24.052725375320357,0.0,125.40579900404879,1.0386387559813328,10.0,promotion_review_candidate,v2 positive-score challenger; requires full 30/60/90/180 validation before promotion review,watchlist,"diagnostic score rewards target ladder and stop-enforced equity; penalizes stops, drawdown, stress degradation, and evidence tier",passed,True,,53e5237d0853d047a69f1dee02befbba0092e80aff46cadff10fef41b12b23ef,,canonical_unique,,,,,,,,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,,,,,,False,False,False,False,,,,False,False,,,,,False,not_applicable,not_applicable,4.0,True,research_sample accounting-valid row improves diagnostic score versus SPY_200d/combo_SPY200d_GLD_50_50
6,7,8,13,top2_plus_managed_futures_80_20_v1,Top2 Plus Managed Futures Proxy 80/20,tier2_credible_prototype,completed,0.15,0.1,0.0,0.0,0.0,0.0,3092.6973722303915,3464.187673609213,-326.627730775127,116.49590538849407,0.6923076923076923,0.5641025641025641,0.3333333333333333,0.0,0.0,0.0,3373.926588362097,3666.391199898059,-402.74989813569664,335.7825254527779,59.52974900137633,all_horizons,"30,60,90,180",,False,False,False,False,,61.62422643984683,4.7623799201101065,56.86184651973672,18.0,16.0,0.0,0.0,0.0,5.5618423338234875,18.567506944368525,3.4948771616548218,0.0,0.0,4.7623799201101065,0.0,229.5854734178743,252.92879178975426,271.0538696196106,4,2,3,alternate score views include 90d and 180d metrics; original final_score penalizes drawdown only after the -600 risk budget is breached,203.70400544992145,2,0.5443795512918783,0.671249830226161,144.5448717948718,46.666666666666664,12.129085875964169,36.23830457326423,0.0,16.945461110638938,8.92946235020645,10.0,too_slow,v2 score penalizes drawdown budget usage before the -600 hard stop and preserves reduced-validation/non-final penalties,too_slow,research-sample-only fixed combination; historical result is too slow or dilutive versus current leaders,passed,True,,657f8d6ea0dd358a3cc75cffb72b1a01d2e05de46ffd7125ac3758f5fecb351c,,canonical_unique,,,,,,,,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fund_wrapper_proxy_short_history_limited_inception_research_sample_only,True,True,,,,,,False,False,True,True,,,,False,True,0.0,0.8,0.2,0.8,False,available_after_combination_batch_output,available_after_combination_batch_output,,False,combination batch row did not improve +300/+400 target rates versus combo/top2
7,10,4,11,combo_plus_top2_50_50_v1,Combo Plus Top2 50/50,tier2_credible_prototype,completed,0.2,0.05,0.0,0.0,0.0,0.0,3100.3692584779574,3354.9793873174995,-450.67136855130093,85.98362471120117,0.5,0.325,0.225,0.0,0.0,0.0,3192.44052306531,3570.335667279837,-491.30200626551186,242.52948847354355,15.54409935912372,all_horizons,"30,60,90,180",,False,False,False,False,,54.80083974271346,1.2435279487298976,53.55731179398356,24.0,8.0,0.0,0.0,0.0,6.022155508677442,14.199175492699979,2.579508741336035,0.0,0.0,1.2435279487298976,0.0,166.02050569099276,182.0063488766798,224.98323124225087,6,3,5,alternate score views include 90d and 180d metrics; original final_score penalizes drawdown only after the -600 risk budget is breached,100.46829624972654,3,0.7511189475855016,0.8188366771091864,100.625,31.5,7.822090830971474,29.534348574507582,0.0,56.68152825188396,2.331614903868558,10.0,too_slow,v2 score penalizes drawdown budget usage before the -600 hard stop and preserves reduced-validation/non-final penalties,too_slow,research-sample-only fixed combination; historical result is too slow or dilutive versus current leaders,passed,True,,6f1a50b9974ec56f7ac88f5222ccd379f449301311a4be2794474fc313a9e926,,canonical_unique,,,,,,,,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,,,,,,False,False,False,False,,,,False,True,0.5,0.5,0.0,0.5,True,available_after_combination_batch_output,available_after_combination_batch_output,,False,combination batch row did not improve +300/+400 target rates versus combo/top2
8,11,7,6,SPY_200d_trend_model,SPY 200-Day Trend Model,tier3_candidate_validation,completed,0.2,0.05,0.0,0.0,0.0,0.0,3081.0272961112432,3350.0873501243113,-590.6927129967235,83.11712743941735,0.575,0.2,0.05,0.0,0.0,0.025,3208.388418445101,3538.9271258887525,-759.1803745546249,181.62602929176774,55.77808893374731,all_horizons,"30,60,90,180",,False,False,False,False,,53.35864559482956,4.462247114699785,48.896398480129776,24.0,8.0,0.0,0.0,0.0,4.861637766674594,14.003494004972454,2.4935138231825205,0.0,0.0,4.462247114699785,0.0,118.10907344042668,16.790935287739945,147.93518769097534,10,9,9,alternate score views include 90d and 180d metrics; original final_score penalizes drawdown only after the -600 risk budget is breached,-69.66191706467711,10,0.9844878549945391,1.2653006242577083,91.875,7.0,7.6405293444648175,28.42087103101347,10.0,176.2316041000933,8.366713340062097,10.0,watchlist,v2 flags drawdown budget usage above 100% in at least one selected horizon,watchlist,"diagnostic score rewards target ladder and stop-enforced equity; penalizes stops, drawdown, stress degradation, and evidence tier",passed,True,,,,canonical_unique,,,,,,,,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,,,,,,False,False,False,False,,,,False,False,,,,,False,not_applicable,not_applicable,7.0,True,research_sample accounting-valid row improves diagnostic score versus combo_SPY200d_GLD_50_50
9,13,6,5,managed_futures_proxy_etf_trend_v1,Managed-Futures Proxy ETF Trend,tier2_credible_prototype,completed,0.175,0.025,0.025,0.0,0.0,0.0,3012.8551606287024,3265.8385126476237,-353.85506917198927,59.53455087245402,0.25,0.175,0.125,0.0,0.0,0.0,3023.2356636907034,3564.4575789957767,-464.9232104627272,113.9813529732046,19.069450987856726,all_horizons,"30,60,90,180",,False,False,False,False,,43.69088666980071,1.525556079028538,42.16533059077217,21.0,4.0,5.5,0.0,0.0,0.7713096377221427,10.633540505904948,1.7860365261736206,0.0,0.0,1.525556079028538,0.0,108.21639638403842,113.68427843640141,234.06307872084432,12,6,4,alternate score views include 90d and 180d metrics; original final_score penalizes drawdown only after the -600 risk budget is breached,62.65736228019399,4,0.5897584486199822,0.7748720174378786,58.875,21.25,0.9665464111286565,26.23807531254013,0.0,31.811841795296292,2.8604176481785086,10.0,too_slow,v2 score penalizes drawdown budget usage before the -600 hard stop and preserves reduced-validation/non-final penalties,too_slow,research-sample-only wrapper proxy row; diversification may exist but target potential is too slow,passed,True,,fe88026772cb756b2f2b13379fe6627ba00bc19a28016dfcf1227fa2ae94d681,,canonical_unique,,,,,0.9225727160999591,,,,,False,False,,,,,,,,,,0.8714666120442441,,,,,,,,,,,,,,,,,,,,,,,,,,fund_wrapper_proxy_short_history_limited_inception_research_sample_only,True,True,0.171446128635805,0.08521097910692339,0.0857230643179025,0.042605489553461696,0.0857230643179025,False,True,True,True,,,,False,False,,,,,False,not_applicable,not_applicable,,False,managed-futures proxy row is too slow versus combo/top2 target rates in this research_sample
10,1,13,1,GLD_buy_hold,GLD Buy And Hold,benchmark,completed,0.475,0.325,0.15,0.15,0.0,0.2,3074.219478192749,3716.464996043193,-842.6148956076154,109.80561182406154,0.55,0.55,0.475,0.375,0.175,0.225,3480.6281608061045,3948.7187521995183,-874.774053715942,338.6167683282315,0.0,all_horizons,"30,60,90,180",,False,False,False,False,,190.4059368880145,154.91521346266538,35.49072342534913,57.0,52.0,33.0,12.0,0.0,4.453168691564952,28.65859984172772,3.294168354721846,70.0,84.91521346266538,0.0,0.0,307.7692613130399,15.688874563947678,76.6786444306934,1,10,12,alternate score views include 90d and 180d metrics; original final_score penalizes drawdown only after the -600 risk budget is breached,-66.50580985617967,9,1.4043581593460257,1.4579567561932367,193.5,129.375,14.242288365935087,53.53783742749731,190.0,257.1609356496121,0.0,10.0,high_upside_high_risk,v2 classifies row as high risk because stop/drawdown behavior dominates upside,high_upside_high_risk,"diagnostic score rewards target ladder and stop-enforced equity; penalizes stops, drawdown, stress degradation, and evidence tier",passed,True,,,,canonical_unique,,,,,,,,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,,,,,,False,False,False,False,,,,False,False,,,,,False,not_applicable,not_applicable,,False,
