metric,value,evidence_source,notes
90d_median_final_equity,2975.8878,promotion_review_diagnostic_cached_etf_data,
180d_median_final_equity,3170.2893,promotion_review_diagnostic_cached_etf_data,
180d_mean_final_equity,3069.3519,promotion_review_diagnostic_cached_etf_data,
180d_p75_final_equity,3247.8519,promotion_review_diagnostic_cached_etf_data,
180d_p90_final_equity,3313.2611,promotion_review_diagnostic_cached_etf_data,
best_final_equity,3356.8672,promotion_review_diagnostic_cached_etf_data,180d
worst_final_equity,2560.8028,promotion_review_diagnostic_cached_etf_data,180d
target_300_before_stop_rate,0.6,promotion_review_diagnostic_cached_etf_data,180d
target_400_before_stop_rate,0.2,promotion_review_diagnostic_cached_etf_data,180d
delta_vs_dsr_equal_weight,-232.7302,computed_proxy_from_cached_sector_etfs,same-window median equity delta
delta_vs_active_combo,,unavailable,unavailable_active_combo_series_not_in_scope
delta_vs_paper_forward_vm_quality_lowvol_proxy_v1,,unavailable,unavailable_active_vm_rule_series_not_in_scope
delta_vs_SPY_200d_trend_model,-239.0222,available,computed_from_cached_spy_bil
delta_vs_SPY_buy_hold,-239.0222,available,computed_from_cached_spy
delta_vs_BIL_cash_proxy,161.2781,available,computed_from_cached_bil
