attribution_family,experiment_id,horizon,cost_mode,window_start,window_end,target_300_hit,target_400_hit,target_600_hit,target_900_hit,target_1200_hit,benchmark_combo_target_300_hit,benchmark_combo_target_400_hit,benchmark_top2_target_300_hit,benchmark_top2_target_400_hit,incremental_300_vs_combo,incremental_400_vs_combo,incremental_300_vs_top2,incremental_400_vs_top2,component_id,component_return_contribution,component_final_equity_contribution,component_drawdown_contribution,component_recovery_contribution,contribution_status,rank,worst_drawdown,stop_hit,target_hit_before_stop,overlap_with_combo,overlap_with_top2,overlap_with_spy200d
target_window_attribution,combo_plus_top2_50_50_v1,30,standard,2007-01-03,2007-02-14,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,
target_window_attribution,combo_plus_top2_50_50_v1,30,standard,2007-03-21,2007-05-02,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,
target_window_attribution,combo_plus_top2_50_50_v1,30,standard,2008-07-11,2008-08-21,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,
target_window_attribution,combo_plus_top2_50_50_v1,30,standard,2008-08-11,2008-09-22,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,
target_window_attribution,combo_plus_top2_50_50_v1,30,standard,2008-10-28,2008-12-09,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,
target_window_attribution,combo_plus_top2_50_50_v1,30,standard,2008-10-29,2008-12-10,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,
target_window_attribution,combo_plus_top2_50_50_v1,30,standard,2008-10-30,2008-12-11,False,False,False,False,False,False,False,True,False,False,False,False,False,,,,,,,,,,,,,
target_window_attribution,combo_plus_top2_50_50_v1,30,standard,2008-10-31,2008-12-12,False,False,False,False,False,False,False,True,False,False,False,False,False,,,,,,,,,,,,,
target_window_attribution,combo_plus_top2_50_50_v1,30,standard,2008-11-03,2008-12-15,False,False,False,False,False,False,False,True,False,False,False,False,False,,,,,,,,,,,,,
target_window_attribution,combo_plus_top2_50_50_v1,30,standard,2008-11-05,2008-12-17,True,False,False,False,False,False,False,True,False,True,False,False,False,,,,,,,,,,,,,
target_window_attribution,combo_plus_top2_50_50_v1,30,standard,2009-05-28,2009-07-09,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,
target_window_attribution,combo_plus_top2_50_50_v1,30,standard,2010-03-19,2010-04-30,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,
target_window_attribution,combo_plus_top2_50_50_v1,30,standard,2011-10-25,2011-12-06,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,
target_window_attribution,combo_plus_top2_50_50_v1,30,standard,2012-05-03,2012-06-14,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,
target_window_attribution,combo_plus_top2_50_50_v1,30,standard,2013-06-06,2013-07-18,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,
target_window_attribution,combo_plus_top2_50_50_v1,30,standard,2015-01-13,2015-02-25,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,
target_window_attribution,combo_plus_top2_50_50_v1,30,standard,2015-05-08,2015-06-19,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,
target_window_attribution,combo_plus_top2_50_50_v1,30,standard,2016-01-12,2016-02-24,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,
target_window_attribution,combo_plus_top2_50_50_v1,30,standard,2016-08-22,2016-10-03,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,
target_window_attribution,combo_plus_top2_50_50_v1,30,standard,2017-08-09,2017-09-20,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,
target_window_attribution,combo_plus_top2_50_50_v1,30,standard,2017-10-09,2017-11-17,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,
target_window_attribution,combo_plus_top2_50_50_v1,30,standard,2017-10-10,2017-11-20,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,
target_window_attribution,combo_plus_top2_50_50_v1,30,standard,2017-10-11,2017-11-21,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,
target_window_attribution,combo_plus_top2_50_50_v1,30,standard,2017-10-19,2017-11-30,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,
target_window_attribution,combo_plus_top2_50_50_v1,30,standard,2017-10-20,2017-12-01,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,
target_window_attribution,combo_plus_top2_50_50_v1,30,standard,2018-04-02,2018-05-11,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,
target_window_attribution,combo_plus_top2_50_50_v1,30,standard,2018-09-24,2018-11-02,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,
target_window_attribution,combo_plus_top2_50_50_v1,30,standard,2019-11-06,2019-12-18,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,
target_window_attribution,combo_plus_top2_50_50_v1,30,standard,2021-06-17,2021-07-29,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,
target_window_attribution,combo_plus_top2_50_50_v1,30,standard,2022-05-18,2022-06-30,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,
