window_start,window_end,final_equity,profit_dollars,total_return,max_drawdown,absolute_600_stop_hit,target_300_before_stop,target_400_before_stop,days_to_300,days_to_400,bil_weight_average,strategy_id,horizon,sampled_results_are_final,exploratory_results_are_final
2008-05-29,2008-07-11,3017.1911285445167,17.191128544516687,0.005730376181505514,-3.206624170486066,False,False,False,,,0.9666666666666667,dm_global_dual_momentum_top1_v1,30,False,False
2008-06-24,2008-08-06,3003.207645935852,3.207645935851815,0.0010692153119506997,-4.577874501929728,False,False,False,,,1.0,dm_global_dual_momentum_top1_v1,30,False,False
2008-07-22,2008-09-03,3004.977228426779,4.97722842677922,0.0016590761422596856,-1.963202478095809,False,False,False,,,1.0,dm_global_dual_momentum_top1_v1,30,False,False
2008-08-18,2008-09-30,3016.3705697543046,16.370569754304597,0.005456856584768133,-18.987850143899323,False,False,False,,,1.0,dm_global_dual_momentum_top1_v1,30,False,False
2008-09-15,2008-10-27,3002.605402561561,2.6054025615608225,0.0008684675205201664,-23.309984139033077,False,False,False,,,1.0,dm_global_dual_momentum_top1_v1,30,False,False
2008-10-10,2008-11-21,2995.0530421518692,-4.946957848130751,-0.0016489859493769021,-15.178924726832975,False,False,False,,,1.0,dm_global_dual_momentum_top1_v1,30,False,False
2008-11-06,2008-12-19,2994.3266949748468,-5.67330502515324,-0.0018911016750511322,-9.328933219529972,False,False,False,,,1.0,dm_global_dual_momentum_top1_v1,30,False,False
2008-12-04,2009-01-20,2995.7513926907955,-4.248607309204544,-0.0014162024364015036,-10.594643079542038,False,False,False,,,1.0,dm_global_dual_momentum_top1_v1,30,False,False
2009-01-02,2009-02-17,3004.2612888535987,4.261288853598671,0.001420429617866148,-7.334016151722608,False,False,False,,,1.0,dm_global_dual_momentum_top1_v1,30,False,False
2009-01-29,2009-03-13,3000.134283951463,0.13428395146320327,4.47613171543626e-05,-6.542095696444903,False,False,False,,,1.0,dm_global_dual_momentum_top1_v1,30,False,False
2009-02-26,2009-04-09,2999.480337293512,-0.5196627064879067,-0.00017322090216265185,-3.4040608582454297,False,False,False,,,1.0,dm_global_dual_momentum_top1_v1,30,False,False
2009-03-25,2009-05-07,3193.8791324874255,193.87913248742552,0.06462637749580846,-81.49040301716423,False,False,False,,,0.8333333333333334,dm_global_dual_momentum_top1_v1,30,False,False
2009-04-22,2009-06-04,3505.0947526952186,505.09475269521863,0.16836491756507277,-178.7036578985626,False,True,True,16,36,0.2,dm_global_dual_momentum_top1_v1,30,False,False
2009-05-19,2009-07-01,3089.741886732986,89.74188673298613,0.02991396224432874,-377.2638698474375,False,False,False,,,0.0,dm_global_dual_momentum_top1_v1,30,False,False
