priority,rank_within_priority,metric
primary,1,rolling_90d_target_300_before_stop
primary,2,stress_slippage_survival
primary,3,benchmark_relative_result
primary,4,stop_hit_rate
primary,5,worst_rolling_drawdown
secondary,1,rolling_90d_target_400_before_stop
secondary,2,rolling_180d_target_300_before_stop
secondary,3,median_stop_enforced_equity
secondary,4,time_to_target
secondary,5,strategy_contribution
de_emphasized,1,full_period_final_equity
de_emphasized,2,win_rate_alone
de_emphasized,3,raw_cagr
de_emphasized,4,raw_r_multiple_without_risk_quality
