rule_type,name,threshold_pct,threshold_dollars,status,interpretation
risk_band,normal,0.1,,normal,Normal research fluctuation.
risk_band,warning,0.1,300,warning,"-10% warning band. Review risk, do not tune rules."
risk_band,review,0.15,450,review,-15% review band. Continue only if still inside rules.
risk_band,hard_stop,0.2,600,hard_stop,-20% hard stop / fail boundary.
target,target_300,0.1,300,primary_challenge_target,"Useful challenge metric, not income proof."
target,target_400,0.1333333333,400,aggressive_challenge_target,"Aggressive target, lower reliability expected."
exposure_policy,1.00,,,paper_forward_eligible_if_candidate_validated,Core exposure level.
exposure_policy,1.05,,,diagnostic_only,Small exposure diagnostic only; not paper-forward.
exposure_policy,1.10,,,diagnostic_only,Upper end of modest diagnostic exposure.
exposure_policy,1.15,,,too_risky_by_default,Generally exceeds risk comfort unless later evidence changes framework.
exposure_policy,1.20,,,too_risky_by_default,Too risky for current framework.
exposure_policy,1.25,,,too_risky_by_default,Too risky for current framework.
exposure_policy,1.50,,,stress_diagnostic_only,"Stress diagnostic only, not candidate."
