target_status,rule_type,rule
practical_candidate,required,tier3_candidate_validation_or_higher
practical_candidate,required,exact_or_finalist_rolling
practical_candidate,required,benchmark_comparison_available
practical_candidate,required,stress_result_available
practical_candidate,required,no_real_money_claim
practical_candidate,disallowed_if,tier1_exploratory
practical_candidate,disallowed_if,exposure_multiplier_gt_1
practical_candidate,disallowed_if,stop_enforced_metric_quality_approximate
practical_candidate,disallowed_if,final_validation_completed_false
paper_forward,required,fixed_rules
paper_forward,required,no_mid_test_changes
paper_forward,required,tier3_candidate_validation
paper_forward,required,strategy_lab_allowed
paper_forward,disallowed_if,leverage_or_exposure_diagnostic
paper_forward,disallowed_if,crypto_tier1
paper_forward,disallowed_if,blocked_by_gate
paper_forward,disallowed_if,real_money_claim
