reason_skipped,strategy,count,pct_of_all_skips,first_date,last_date
correlation_cluster_risk_exceeded,A_ETF_sector_momentum,2,0.0002681684097613301,2014-03-24,2014-12-22
correlation_cluster_risk_exceeded,B_ETF_trend_following,19,0.0025475998927326363,2008-05-07,2015-05-15
no_eligible_symbols,A_ETF_sector_momentum,115,0.015419683561276482,2008-01-04,2015-11-13
not_enough_cash_or_notional_cap,A_ETF_sector_momentum,139,0.018637704478412443,2008-05-19,2015-06-15
not_enough_cash_or_notional_cap,B_ETF_trend_following,700,0.09385894341646554,2009-06-01,2015-12-03
not_enough_cash_or_notional_cap,C_swing_trend_pullback,2,0.0002681684097613301,2008-03-12,2008-06-16
not_enough_cash_or_notional_cap,D_mean_reversion,1,0.00013408420488066506,2008-04-29,2008-04-29
not_enough_cash_or_notional_cap,E_breakout_vcb,20,0.0026816840976133013,2008-05-20,2009-10-01
position_limit_exceeded,A_ETF_sector_momentum,45,0.006033789219629927,2009-08-31,2015-11-30
position_limit_exceeded,B_ETF_trend_following,1838,0.2464467685706624,2008-05-16,2015-07-23
position_limit_exceeded,D_mean_reversion,23,0.003083936712255296,2008-01-04,2008-05-01
position_limit_exceeded,E_breakout_vcb,3,0.00040225261464199515,2008-09-09,2009-05-21
strategy_loss_budget_hit,C_swing_trend_pullback,436,0.05846071332796997,2009-03-18,2015-11-17
strategy_loss_budget_hit,D_mean_reversion,3897,0.5225261464199518,2008-05-02,2015-12-01
strategy_loss_budget_hit,E_breakout_vcb,218,0.029230356663984984,2009-10-07,2015-12-02
