variant_name,enabled_strategies,slippage_label,slippage_pct_per_side,final_equity,total_return,cagr,max_drawdown_dollars,max_drawdown_pct,number_of_trades,profit_factor,expectancy_per_trade_dollars,expectancy_per_trade_r,win_rate,target_300_hit,target_300_before_any_stop,target_400_hit,target_400_before_any_stop,absolute_floor_stop_hit,trailing_drawdown_stop_hit,any_project_stop_hit,first_project_stop_date,strategies_killed,top_5_trade_pnl_contribution_pct,best_strategy_by_pnl,worst_strategy_by_pnl,suitable_for_forward_paper_test,forward_test_decision_reason
original_full_tournament,"A_ETF_sector_momentum,B_ETF_trend_following,C_swing_trend_pullback,D_mean_reversion,E_breakout_vcb",standard,0.0005,3508.173544919093,0.16939118163969757,0.019966875647673188,-600.7231427340985,-0.17617515395148697,368,1.1380626257652056,1.3809063720627448,0.028237068302604234,0.3804347826086957,True,True,True,True,False,True,True,2015-12-03,"C_swing_trend_pullback,D_mean_reversion,E_breakout_vcb",0.17841026154561743,A_ETF_sector_momentum,C_swing_trend_pullback,shadow_only,"variant includes C/D/E and at least one was killed by loss budget; 90-day +300 before stop rate is 8.33%, below 10%"
original_full_tournament,"A_ETF_sector_momentum,B_ETF_trend_following,C_swing_trend_pullback,D_mean_reversion,E_breakout_vcb",stress,0.001,2772.042931132891,-0.07598568962236962,-0.009376415710747876,-615.6436048805172,-0.18828944023884986,251,0.9249513708344813,-0.9081954934944647,-0.09638596821773296,0.3784860557768924,True,True,False,False,False,True,True,2016-05-24,"B_ETF_trend_following,C_swing_trend_pullback,D_mean_reversion,E_breakout_vcb",0.22815383279449397,A_ETF_sector_momentum,C_swing_trend_pullback,shadow_only,"variant includes C/D/E and at least one was killed by loss budget; 90-day +300 before stop rate is 0.00%, below 10%; stress slippage materially degrades final equity"
core_only_AB,"A_ETF_sector_momentum,B_ETF_trend_following",standard,0.0005,3305.9478457759783,0.10198261525865937,0.011670376689745243,-601.276691257252,-0.15388844064585128,198,1.1118123677177794,1.5451911402827134,0.06169978534004658,0.41414141414141414,True,True,True,True,False,True,True,2016-05-17,B_ETF_trend_following,0.24135282107870032,A_ETF_sector_momentum,B_ETF_trend_following,watchlist,not validated until independent rolling windows show stronger target reliability
core_only_AB,"A_ETF_sector_momentum,B_ETF_trend_following",stress,0.001,3159.6287668532505,0.05320958895108352,0.006258509059333228,-607.2391369040033,-0.1612053176322732,195,1.059479137833454,0.8186090607859027,0.0002167728398230104,0.4153846153846154,True,True,True,True,False,True,True,2016-04-25,B_ETF_trend_following,0.250624101383019,A_ETF_sector_momentum,B_ETF_trend_following,watchlist,
momentum_only_A,A_ETF_sector_momentum,standard,0.0005,3409.440841137106,0.13648028037903526,0.01546949346869142,-600.8214126215898,-0.14982097793191917,191,1.1527919823860235,2.143669325325154,0.07994548505439653,0.418848167539267,True,True,True,True,False,True,True,2016-05-04,,0.24412288056107956,A_ETF_sector_momentum,A_ETF_sector_momentum,watchlist,"90-day +300 before stop rate is 8.33%, below 10%"
momentum_only_A,A_ETF_sector_momentum,stress,0.001,3268.951773593808,0.08965059119793595,0.010532629581175845,-602.7156954636844,-0.1556734146929224,188,1.102706085413211,1.4305945403925804,0.018834900253873715,0.4148936170212766,True,True,True,True,False,True,True,2016-03-14,,0.25365329535037934,A_ETF_sector_momentum,A_ETF_sector_momentum,watchlist,"90-day +300 before stop rate is 8.33%, below 10%"
trend_only_B,B_ETF_trend_following,standard,0.0005,2896.5284530418276,-0.034490515652724096,-0.001905642007251962,-152.90984516899516,-0.05014361013918889,6,0.07666342120253372,-17.245257826362153,-0.5073595127295533,0.3333333333333333,False,False,False,False,False,False,False,,B_ETF_trend_following,1.0,B_ETF_trend_following,B_ETF_trend_following,watchlist,not validated until independent rolling windows show stronger target reliability
trend_only_B,B_ETF_trend_following,stress,0.001,2891.8888388326386,-0.036037053722453805,-0.0019925903159833114,-155.90434600730487,-0.05115319070296176,6,0.059522724020030296,-18.018526861226952,-0.5272559563492144,0.16666666666666666,False,False,False,False,False,False,False,,B_ETF_trend_following,1.0,B_ETF_trend_following,B_ETF_trend_following,watchlist,
no_cash_proxy_alpha_AB,"A_ETF_sector_momentum,B_ETF_trend_following",standard,0.0005,3392.201266116984,0.130733755372328,0.015471555259890968,-609.8106389975896,-0.15237601822679525,190,1.1377958604258875,2.0642171900893764,0.10002199284438343,0.42105263157894735,True,True,True,True,False,True,True,2016-01-04,B_ETF_trend_following,0.206400166120938,A_ETF_sector_momentum,B_ETF_trend_following,watchlist,not validated until independent rolling windows show stronger target reliability
no_cash_proxy_alpha_AB,"A_ETF_sector_momentum,B_ETF_trend_following",stress,0.001,3239.9316755965556,0.07997722519885175,0.009768020591586879,-624.4670614426359,-0.16159488291342505,188,1.0852455318784817,1.2762323170029635,0.06745147500874252,0.42021276595744683,True,True,True,True,False,True,True,2015-12-03,B_ETF_trend_following,0.21195533089828236,A_ETF_sector_momentum,B_ETF_trend_following,watchlist,stress slippage materially degrades final equity
satellites_only_CDE,"C_swing_trend_pullback,D_mean_reversion,E_breakout_vcb",standard,0.0005,3624.703193830539,0.20823439794351306,0.010332848360697033,-432.2196875041518,-0.1380182595166235,383,1.2142562476908902,1.6310788350666792,-0.01472475346119784,0.3681462140992167,True,True,True,True,False,False,False,,"C_swing_trend_pullback,D_mean_reversion",0.08785996580377561,E_breakout_vcb,C_swing_trend_pullback,shadow_only,variant includes C/D/E and at least one was killed by loss budget
satellites_only_CDE,"C_swing_trend_pullback,D_mean_reversion,E_breakout_vcb",stress,0.001,2659.8771889572117,-0.11337427034759606,-0.006518076260881411,-456.2551818662437,-0.146417137518993,52,0.3794086214022865,-6.540823289284399,-0.38511425796852833,0.2692307692307692,False,False,False,False,False,False,False,,"C_swing_trend_pullback,D_mean_reversion,E_breakout_vcb",0.873521534633442,D_mean_reversion,C_swing_trend_pullback,shadow_only,variant includes C/D/E and at least one was killed by loss budget; stress slippage materially degrades final equity
