variant_name,evidence_family,recommended_status,final_equity,stress_final_equity,stress_final_equity_delta,max_drawdown_dollars,target_300_before_any_stop,target_400_before_any_stop,forward_test_decision_reason
original_full_tournament,legacy_reference,shadow_only,3508.173544919093,2772.042931132891,-736.1306137862016,-600.7231427340985,True,True,original full tournament is retained as reference only; variant includes C/D/E and at least one was killed by loss budget
current_no_cash_proxy_alpha_AB,current_ab,watchlist,3392.201266116984,3239.9316755965556,-152.2695905204282,-609.8106389975896,True,True,not validated until independent rolling windows show stronger target reliability
current_core_only_AB,current_ab,watchlist,3305.9478457759783,3159.6287668532505,-146.31907892272784,-601.276691257252,True,True,not validated until independent rolling windows show stronger target reliability
current_momentum_only_A,current_a,watchlist,3409.440841137106,3268.951773593808,-140.489067543298,-600.8214126215898,True,True,not validated until independent rolling windows show stronger target reliability
trend_only_B,current_b,watchlist,2896.5284530418276,2891.8888388326386,-4.639614209188949,-152.90984516899516,False,False,not validated until independent rolling windows show stronger target reliability
satellites_only_CDE,legacy_satellites,shadow_only,3624.703193830539,2659.8771889572117,-964.8260048733273,-432.2196875041518,True,True,variant includes C/D/E and at least one was killed by loss budget
evidence_dual_momentum_taa,evidence_taa,watchlist,3087.1352203814986,2772.5806557458664,-314.55456463563223,-638.9696644646519,True,True,not validated until independent rolling windows show stronger target reliability
evidence_absolute_trend_taa,evidence_taa,watchlist,2855.4126722347073,2856.5398825581033,1.127210323395957,-269.7738318646907,False,False,not validated until independent rolling windows show stronger target reliability
evidence_dual_momentum_vol_scaled,evidence_taa,watchlist,3583.9151318522217,3203.8814245938256,-380.03370725839613,-601.8733879856245,True,True,not validated until independent rolling windows show stronger target reliability
evidence_inverse_vol_defensive,defensive_benchmark,watchlist,2857.195947666935,2855.9909083298985,-1.2050393370363963,-198.80666352720345,False,False,not validated until independent rolling windows show stronger target reliability
evidence_core_combo,evidence_taa_combo,watchlist,3830.46548923347,3375.5790068939705,-454.8864823394997,-605.5497432453176,True,True,not validated until independent rolling windows show stronger target reliability
