date,strategy,event_type,event_reason,strategy_pnl,project_equity,notes
2008-01-03,A_ETF_sector_momentum,strategy_enabled,configured_enabled,0.0,3000.0,
2008-01-03,B_ETF_trend_following,strategy_enabled,configured_enabled,0.0,3000.0,
2008-01-03,C_swing_trend_pullback,strategy_enabled,configured_enabled,0.0,3000.0,
2008-01-03,E_breakout_vcb,strategy_enabled,configured_enabled,0.0,3000.0,
2008-01-03,D_mean_reversion,strategy_enabled,configured_enabled,0.0,3000.0,
2008-01-04,A_ETF_sector_momentum,strategy_no_eligible_symbols,no_eligible_symbols,0.0,3010.642140394527,SPY risk-on filter failed
2008-01-11,A_ETF_sector_momentum,strategy_no_eligible_symbols,no_eligible_symbols,0.0,3028.693761241379,SPY risk-on filter failed
2008-01-18,A_ETF_sector_momentum,strategy_no_eligible_symbols,no_eligible_symbols,0.0,2998.5221976927924,SPY risk-on filter failed
2008-01-25,A_ETF_sector_momentum,strategy_no_eligible_symbols,no_eligible_symbols,0.0,3057.4921759261606,SPY risk-on filter failed
2008-02-01,A_ETF_sector_momentum,strategy_no_eligible_symbols,no_eligible_symbols,0.0,3057.8701991843527,SPY risk-on filter failed
2008-02-08,A_ETF_sector_momentum,strategy_no_eligible_symbols,no_eligible_symbols,0.0,3070.0194004791583,SPY risk-on filter failed
2008-02-15,A_ETF_sector_momentum,strategy_no_eligible_symbols,no_eligible_symbols,0.0,3044.696113564628,SPY risk-on filter failed
2008-02-22,A_ETF_sector_momentum,strategy_no_eligible_symbols,no_eligible_symbols,0.0,3101.9657531988446,SPY risk-on filter failed
2008-02-29,A_ETF_sector_momentum,strategy_no_eligible_symbols,no_eligible_symbols,0.0,3109.8935042592,SPY risk-on filter failed
2008-03-07,A_ETF_sector_momentum,strategy_no_eligible_symbols,no_eligible_symbols,0.0,3092.045557168123,SPY risk-on filter failed
2008-03-14,A_ETF_sector_momentum,strategy_no_eligible_symbols,no_eligible_symbols,0.0,3122.694968372223,SPY risk-on filter failed
2008-03-20,A_ETF_sector_momentum,strategy_no_eligible_symbols,no_eligible_symbols,0.0,3116.762559217502,SPY risk-on filter failed
2008-03-28,A_ETF_sector_momentum,strategy_no_eligible_symbols,no_eligible_symbols,0.0,3101.7009151086186,SPY risk-on filter failed
2008-04-04,A_ETF_sector_momentum,strategy_no_eligible_symbols,no_eligible_symbols,0.0,3110.8835970160408,SPY risk-on filter failed
2008-04-11,A_ETF_sector_momentum,strategy_no_eligible_symbols,no_eligible_symbols,0.0,3099.426937136366,SPY risk-on filter failed
2008-04-18,A_ETF_sector_momentum,strategy_no_eligible_symbols,no_eligible_symbols,0.0,3093.7419357758536,SPY risk-on filter failed
2008-04-25,A_ETF_sector_momentum,strategy_no_eligible_symbols,no_eligible_symbols,0.0,3055.3541013978625,SPY risk-on filter failed
2008-05-01,D_mean_reversion,strategy_disabled_loss_budget,strategy_loss_budget_hit,-76.74898142746378,2971.31838366496,
2008-05-02,A_ETF_sector_momentum,strategy_no_eligible_symbols,no_eligible_symbols,0.0,2965.1783259900494,SPY risk-on filter failed
2008-05-09,A_ETF_sector_momentum,strategy_no_eligible_symbols,no_eligible_symbols,0.0,2947.6593509299614,SPY risk-on filter failed
