symbol,status,first_date,last_date,row_count,missing_ohlc_count,missing_adj_close_count,excluded_reason,cache_file,cache_file_hash,warmup_start_available,first_trade_eligible_date,data_gap_count,suspicious_adjustment_factor_count
SPY,valid,2007-01-03,2026-05-29,4882,0,0,,/Users/jcruzlopez/trading/trading_tournament/data/cache/SPY.csv,ffff0e3e30caad66019a6d7846e87f0dc79711944b3b31a6ef69f78313f8aa22,True,2011-01-03,,
QQQ,valid,2007-01-03,2026-05-29,4882,0,0,,/Users/jcruzlopez/trading/trading_tournament/data/cache/QQQ.csv,5cb8120fa36ab286f228137250eca27bfd9a8411d90091bd0534a7aac7f36458,True,2009-06-01,,
IWM,valid,2007-01-03,2026-05-29,4882,0,0,,/Users/jcruzlopez/trading/trading_tournament/data/cache/IWM.csv,cf1c1712123301eadb44f35eef517c867000782a1efbd077cbfd2ec5119ce103,True,2008-06-06,,
XLK,valid,2007-01-03,2026-05-29,4882,0,0,,/Users/jcruzlopez/trading/trading_tournament/data/cache/XLK.csv,83fdc7fdb6ba64eaf50e2e335321f44c50b5adcefedae39954db756ffe8b1841,True,2009-04-17,,
XLF,valid,2007-01-03,2026-05-29,4882,0,0,,/Users/jcruzlopez/trading/trading_tournament/data/cache/XLF.csv,2b6b9e7e3749c8ced827ba36d52941042647fc60badd896385fdac0132d7e7b8,True,2009-08-24,,
XLE,valid,2007-01-03,2026-05-29,4882,0,0,,/Users/jcruzlopez/trading/trading_tournament/data/cache/XLE.csv,e76c379024b68997e3fd6023e0020c221964bc49435fb95385e98a6f829f4296,True,2008-04-30,,
XLV,valid,2007-01-03,2026-05-29,4882,0,0,,/Users/jcruzlopez/trading/trading_tournament/data/cache/XLV.csv,32573df7d0823ff6254b9fbee4120d032b8ccebc8b1af3ef6c8ee29dd6d6f208,True,2008-04-29,,
XLY,valid,2007-01-03,2026-05-29,4882,0,0,,/Users/jcruzlopez/trading/trading_tournament/data/cache/XLY.csv,7cf541a9e37ef4fdb680db1d613bdc16182b513c0b3aac2ae8c780f4d3c6c9fa,True,2009-12-21,,
XLP,valid,2007-01-03,2026-05-29,4882,0,0,,/Users/jcruzlopez/trading/trading_tournament/data/cache/XLP.csv,fc6cce449da8c94feee7547a42e9e3b1148d2bad8ddedf603f93447880eec807,True,2008-01-04,,
XLU,valid,2007-01-03,2026-05-29,4882,0,0,,/Users/jcruzlopez/trading/trading_tournament/data/cache/XLU.csv,9c74940a258201fcf3643b9135d85f42070425a47554c8ce401e3defbd19cef5,True,2008-01-04,,
XLI,valid,2007-01-03,2026-05-29,4882,0,0,,/Users/jcruzlopez/trading/trading_tournament/data/cache/XLI.csv,ed70f79a1128640af2864f1843de011fda02c858a58b402b58cd3a67d06ac5b6,True,2008-05-02,,
XLB,valid,2007-01-03,2026-05-29,4882,0,0,,/Users/jcruzlopez/trading/trading_tournament/data/cache/XLB.csv,e42eb978aba4f4fca2c2adb6adf85c0e165b97ba32f74022e0fe1af04ebca0e7,True,2008-01-08,,
XLC,valid,2018-06-19,2026-05-29,1997,0,0,,/Users/jcruzlopez/trading/trading_tournament/data/cache/XLC.csv,1672f7211613365ba4accab3ed9938ac62fb7f6e22815aaae8f39fdfc4c19e6b,True,,,
SMH,valid,2007-01-03,2026-05-29,4882,0,0,,/Users/jcruzlopez/trading/trading_tournament/data/cache/SMH.csv,b63f9c64f45dd81c16a687002ab63c7ad2df78e601c360d257cfa81d62898137,True,2009-07-16,,
IEF,valid,2007-01-03,2026-05-29,4882,0,0,,/Users/jcruzlopez/trading/trading_tournament/data/cache/IEF.csv,026057433626a78f82f88fb9accd17290ac078016c1a28a59c58a7e9bb12a490,True,2008-01-11,,
TLT,valid,2007-01-03,2026-05-29,4882,0,0,,/Users/jcruzlopez/trading/trading_tournament/data/cache/TLT.csv,eb66ff33d417e74edf87cfcd06332ade8cfd93f00407c53346ff3b226f000ce9,True,2008-02-01,,
GLD,valid,2007-01-03,2026-05-29,4882,0,0,,/Users/jcruzlopez/trading/trading_tournament/data/cache/GLD.csv,9ba6bb719fec4f079d95cf927a20c8cc7c396c064d5a24afab8c6286f49154ee,True,2008-01-08,,
SHY,valid,2007-01-03,2026-05-29,4882,0,0,,/Users/jcruzlopez/trading/trading_tournament/data/cache/SHY.csv,117355bde8f0bca6b0afbe523a3b5c79ab81b87e3679f57ba3af97044bf99a96,True,2008-01-11,,
BIL,valid,2007-05-30,2026-05-29,4781,0,0,,/Users/jcruzlopez/trading/trading_tournament/data/cache/BIL.csv,b774b7af1c36b7e07e3324654e3576726b03f41fa70697caa47c48dfdd13587e,True,2008-02-28,,
