variant_name,slippage_label,horizon_trading_days,number_of_windows,median_final_equity,mean_final_equity,pct_windows_positive_return,pct_windows_loss,pct_windows_target_300_hit,pct_windows_target_300_before_stop,pct_windows_target_400_hit,pct_windows_target_400_before_stop,pct_windows_absolute_stop_hit,pct_windows_trailing_stop_hit,pct_windows_any_stop_hit,median_max_drawdown,worst_max_drawdown,median_number_of_trades,pct_windows_above_3300,pct_windows_above_3400,pct_windows_below_2400,10th_percentile_final_equity,25th_percentile_final_equity,75th_percentile_final_equity,90th_percentile_final_equity,possible_window_count,window_sampling_method,percentile_10_final_equity,percentile_25_final_equity,percentile_75_final_equity,percentile_90_final_equity
current_core_only_AB,standard,90,500,3009.7026631778367,3037.7970703787887,0.518,0.41,0.104,0.104,0.042,0.042,0.0,0.0,0.0,-128.5115851623998,-341.37262661437035,17.0,0.056,0.018,0.0,2867.5089361623996,2939.605244770666,3119.9370044328307,3236.3627159729367,4541,deterministic_stratified_sample,2867.5089361623996,2939.605244770666,3119.9370044328307,3236.3627159729367
current_core_only_AB,standard,180,500,3000.0,3030.970836768672,0.48,0.488,0.156,0.156,0.068,0.068,0.0,0.0,0.0,-188.73568500212605,-443.67370008246735,29.0,0.074,0.04,0.0,2799.339261857036,2911.986928219795,3153.4162238828767,3263.103038689316,4451,deterministic_stratified_sample,2799.339261857036,2911.986928219795,3153.4162238828767,3263.103038689316
current_core_only_AB,stress,90,500,3000.0,3018.778679729345,0.47,0.458,0.086,0.086,0.042,0.042,0.0,0.0,0.0,-147.3467697110675,-342.54354166498615,19.0,0.042,0.016,0.0,2854.555939590547,2920.242933639838,3110.2973308430437,3218.123807325592,4541,deterministic_stratified_sample,2854.555939590547,2920.242933639838,3110.2973308430437,3218.123807325592
current_core_only_AB,stress,180,500,2978.093629798968,3000.490047398167,0.434,0.534,0.168,0.168,0.06,0.06,0.0,0.0,0.0,-213.40486010826496,-447.8604894568748,33.0,0.068,0.018,0.0,2760.297677008018,2856.4639355805275,3128.184244775824,3243.4482627781153,4451,deterministic_stratified_sample,2760.297677008018,2856.4639355805275,3128.184244775824,3243.4482627781153
current_momentum_only_A,standard,90,500,3011.3250960392593,3019.480037130987,0.544,0.366,0.004,0.004,0.0,0.0,0.0,0.0,0.0,-98.50143319056929,-258.5176468067957,10.0,0.0,0.0,0.0,2901.3974092601243,2962.4601909398584,3072.898852191034,3144.8618070316716,4541,deterministic_stratified_sample,2901.3974092601243,2962.4601909398584,3072.898852191034,3144.8618070316716
current_momentum_only_A,standard,180,500,3000.1749820594564,3028.7727969001357,0.5,0.468,0.108,0.108,0.012,0.012,0.0,0.0,0.0,-144.57447684635827,-269.8777418353393,16.0,0.048,0.006,0.0,2864.217907547282,2913.619622145598,3115.282803083386,3239.1626440958557,4451,deterministic_stratified_sample,2864.217907547282,2913.619622145598,3115.282803083386,3239.1626440958557
current_momentum_only_A,stress,90,500,3000.0,3004.9231367333314,0.448,0.462,0.004,0.004,0.0,0.0,0.0,0.0,0.0,-103.9155274604775,-265.17637256215085,11.0,0.0,0.0,0.0,2868.1490210790503,2946.7773112382424,3063.4833565340846,3127.77351092897,4541,deterministic_stratified_sample,2868.1490210790503,2946.7773112382424,3063.4833565340846,3127.77351092897
current_momentum_only_A,stress,180,500,2967.0144809764347,2997.3358671361875,0.384,0.584,0.086,0.086,0.004,0.004,0.0,0.0,0.0,-152.85661358093012,-288.06506658948,18.5,0.034,0.004,0.0,2859.2035139639147,2866.7132773211515,3086.508648932321,3222.376524692626,4451,deterministic_stratified_sample,2859.2035139639147,2866.7132773211515,3086.508648932321,3222.376524692626
current_no_cash_proxy_alpha_AB,standard,90,500,3044.6855368332967,3070.762834024583,0.592,0.336,0.186,0.186,0.048,0.048,0.0,0.0,0.0,-151.0928743684974,-341.37262661437035,15.0,0.098,0.022,0.0,2869.4609717804633,2955.135626462986,3189.180736025662,3290.208026359907,4541,deterministic_stratified_sample,2869.4609717804633,2955.135626462986,3189.180736025662,3290.208026359907
current_no_cash_proxy_alpha_AB,standard,180,500,3090.1228824354353,3091.571594081574,0.66,0.308,0.254,0.254,0.138,0.138,0.0,0.0,0.0,-184.06647101933663,-443.67370008246735,28.0,0.156,0.082,0.0,2802.416311431881,2948.403378333795,3211.4470473166775,3375.322093055023,4451,deterministic_stratified_sample,2802.416311431881,2948.403378333795,3211.4470473166775,3375.322093055023
current_no_cash_proxy_alpha_AB,stress,90,500,3025.20759589318,3057.235020867985,0.558,0.37,0.156,0.156,0.052,0.052,0.0,0.0,0.0,-154.2438129178322,-340.7260525061538,15.0,0.064,0.02,0.0,2861.777709362749,2942.8632371012654,3174.1937601991485,3262.077413555008,4541,deterministic_stratified_sample,2861.777709362749,2942.8632371012654,3174.1937601991485,3262.077413555008
current_no_cash_proxy_alpha_AB,stress,180,500,3061.09370807771,3068.0422126691506,0.614,0.354,0.226,0.226,0.124,0.124,0.0,0.0,0.0,-187.8803858550109,-447.8604894568748,28.0,0.124,0.062,0.0,2759.866802668306,2933.561367011485,3183.7378765609883,3346.9126647271655,4451,deterministic_stratified_sample,2759.866802668306,2933.561367011485,3183.7378765609883,3346.9126647271655
evidence_core_combo,standard,90,500,3033.9479093022783,3056.853879132377,0.56,0.44,0.202,0.202,0.154,0.154,0.0,0.0,0.0,-154.14386372361582,-374.06654877511664,11.0,0.128,0.022,0.0,2850.657053178554,2926.521524703643,3180.0323766232436,3323.195121053102,4541,deterministic_stratified_sample,2850.657053178554,2926.521524703643,3180.0323766232436,3323.195121053102
evidence_core_combo,standard,180,500,3057.583981813861,3131.4671371035947,0.572,0.428,0.286,0.286,0.212,0.212,0.0,0.0,0.0,-216.17308132957896,-441.4735121476806,21.0,0.232,0.206,0.0,2803.7806857611845,2889.9438328391334,3284.844171722281,3663.264983236523,4451,deterministic_stratified_sample,2803.7806857611845,2889.9438328391334,3284.844171722281,3663.264983236523
evidence_core_combo,stress,90,500,3022.507511699954,3045.7262890127563,0.544,0.456,0.178,0.178,0.152,0.152,0.0,0.0,0.0,-158.72819265555927,-408.50516790954134,11.0,0.114,0.02,0.0,2836.906992963494,2917.497426046552,3166.955762020621,3316.8306165547365,4541,deterministic_stratified_sample,2836.906992963494,2917.497426046552,3166.955762020621,3316.8306165547365
evidence_core_combo,stress,180,500,3036.901891562206,3109.752579983213,0.552,0.448,0.284,0.284,0.214,0.214,0.0,0.0,0.0,-228.50639922514165,-447.8887058055975,21.0,0.226,0.196,0.0,2786.258855766553,2869.0315058989463,3256.3714301547143,3639.203317879241,4451,deterministic_stratified_sample,2786.258855766553,2869.0315058989463,3256.3714301547143,3639.203317879241
evidence_dual_momentum_taa,standard,90,500,3027.174906648608,3048.032062672071,0.558,0.442,0.154,0.154,0.098,0.098,0.0,0.0,0.0,-128.38537130035138,-235.34616721155817,7.0,0.03,0.008,0.0,2883.6471967724583,2941.6609276289946,3150.312166936004,3253.043953504854,4541,deterministic_stratified_sample,2883.6471967724583,2941.6609276289946,3150.312166936004,3253.043953504854
evidence_dual_momentum_taa,standard,180,500,3067.0566123005315,3116.423332673534,0.59,0.41,0.244,0.244,0.19,0.19,0.0,0.0,0.0,-163.36200789193663,-346.70427911575007,13.0,0.21,0.174,0.0,2782.626302228547,2910.367409615229,3238.6383608786564,3605.7383576307584,4451,deterministic_stratified_sample,2782.626302228547,2910.367409615229,3238.6383608786564,3605.7383576307584
evidence_dual_momentum_vol_scaled,standard,90,500,3034.249736256529,3057.5395467620024,0.594,0.406,0.182,0.182,0.098,0.098,0.0,0.0,0.0,-124.41825997547583,-235.34616721155817,8.0,0.038,0.01,0.0,2888.86272039701,2949.133795805213,3192.9505560414045,3267.286966349914,4541,deterministic_stratified_sample,2888.86272039701,2949.133795805213,3192.9505560414045,3267.286966349914
