variant_name,enabled_strategies,slippage_label,slippage_pct_per_side,final_equity,total_return,cagr,max_drawdown_dollars,max_drawdown_pct,number_of_trades,profit_factor,expectancy_per_trade_dollars,expectancy_per_trade_r,win_rate,target_300_hit,target_300_before_any_stop,target_400_hit,target_400_before_any_stop,absolute_floor_stop_hit,trailing_drawdown_stop_hit,any_project_stop_hit,first_project_stop_date,strategies_killed,top_5_trade_pnl_contribution_pct,best_strategy_by_pnl,worst_strategy_by_pnl,suitable_for_forward_paper_test,forward_test_decision_reason,evidence_family,evidence_strength,primary_failure_mode,recommended_status
current_no_cash_proxy_alpha_AB,"A_ETF_sector_momentum,B_ETF_trend_following",standard,0.0005,3392.201266116984,0.130733755372328,0.015471555259890968,-609.8106389975896,-0.15237601822679525,190,1.1377958604258875,2.0642171900893764,0.10002199284438343,0.42105263157894735,True,True,True,True,False,True,True,2016-01-04,B_ETF_trend_following,0.206400166120938,A_ETF_sector_momentum,B_ETF_trend_following,watchlist,"90-day +400 before stop rate is 4.80%, below 5%",current_ab,watchlist,low_90_day_target_400_rate,watchlist
current_no_cash_proxy_alpha_AB,"A_ETF_sector_momentum,B_ETF_trend_following",stress,0.001,3239.9316755965556,0.07997722519885175,0.009768020591586879,-624.4670614426359,-0.16159488291342505,188,1.0852455318784817,1.2762323170029635,0.06745147500874252,0.42021276595744683,True,True,True,True,False,True,True,2015-12-03,B_ETF_trend_following,0.21195533089828236,A_ETF_sector_momentum,B_ETF_trend_following,watchlist,stress slippage materially degrades final equity,current_ab,watchlist,stress_slippage_fragility,watchlist
current_core_only_AB,"A_ETF_sector_momentum,B_ETF_trend_following",standard,0.0005,3305.9478457759783,0.10198261525865937,0.011670376689745243,-601.276691257252,-0.15388844064585128,198,1.1118123677177794,1.5451911402827134,0.06169978534004658,0.41414141414141414,True,True,True,True,False,True,True,2016-05-17,B_ETF_trend_following,0.24135282107870032,A_ETF_sector_momentum,B_ETF_trend_following,watchlist,"90-day +400 before stop rate is 4.20%, below 5%",current_ab,watchlist,low_90_day_target_400_rate,watchlist
current_core_only_AB,"A_ETF_sector_momentum,B_ETF_trend_following",stress,0.001,3159.6287668532505,0.05320958895108352,0.006258509059333228,-607.2391369040033,-0.1612053176322732,195,1.059479137833454,0.8186090607859027,0.0002167728398230104,0.4153846153846154,True,True,True,True,False,True,True,2016-04-25,B_ETF_trend_following,0.250624101383019,A_ETF_sector_momentum,B_ETF_trend_following,watchlist,"90-day +300 before stop rate is 8.60%, below 10%; 90-day +400 before stop rate is 4.20%, below 5%",current_ab,watchlist,low_90_day_target_300_rate,watchlist
current_momentum_only_A,A_ETF_sector_momentum,standard,0.0005,3409.440841137106,0.13648028037903526,0.01546949346869142,-600.8214126215898,-0.14982097793191917,191,1.1527919823860235,2.143669325325154,0.07994548505439653,0.418848167539267,True,True,True,True,False,True,True,2016-05-04,,0.24412288056107956,A_ETF_sector_momentum,A_ETF_sector_momentum,watchlist,"90-day +300 before stop rate is 0.40%, below 10%; 90-day +400 before stop rate is 0.00%, below 5%",current_a,watchlist,low_90_day_target_300_rate,watchlist
current_momentum_only_A,A_ETF_sector_momentum,stress,0.001,3268.951773593808,0.08965059119793595,0.010532629581175845,-602.7156954636844,-0.1556734146929224,188,1.102706085413211,1.4305945403925804,0.018834900253873715,0.4148936170212766,True,True,True,True,False,True,True,2016-03-14,,0.25365329535037934,A_ETF_sector_momentum,A_ETF_sector_momentum,watchlist,"90-day +300 before stop rate is 0.40%, below 10%; 90-day +400 before stop rate is 0.00%, below 5%",current_a,watchlist,low_90_day_target_300_rate,watchlist
evidence_dual_momentum_taa,N1_dual_momentum_taa,standard,0.0005,3087.1352203814986,0.02904507346049945,0.0019000724808224678,-638.9696644646519,-0.17148461576143603,295,1.0171191893723737,0.2953736284118627,-0.026002029162269884,0.4067796610169492,True,True,True,True,False,True,True,2023-02-02,,0.13749287036912372,N1_dual_momentum_taa,N1_dual_momentum_taa,watchlist,not validated until independent rolling windows show stronger target reliability,evidence_taa,plausible_fixed_rules_needs_forward_paper_test,,watchlist
evidence_dual_momentum_taa,N1_dual_momentum_taa,stress,0.001,2772.5806557458664,-0.07580644808471126,-0.004275024310889219,-227.41934425413365,-0.07580644808471126,31,0.6337541527398021,-7.336107879165608,-0.21418742694266338,0.3548387096774194,False,False,False,False,False,False,False,,N1_dual_momentum_taa,0.843819598972903,N1_dual_momentum_taa,N1_dual_momentum_taa,watchlist,stress slippage materially degrades final equity,evidence_taa,plausible_fixed_rules_needs_forward_paper_test,stress_slippage_fragility,watchlist
evidence_absolute_trend_taa,N2_absolute_trend_taa,standard,0.0005,2855.4126722347073,-0.04819577592176427,-0.0026808008987475596,-269.7738318646907,-0.08632247435819285,13,0.4203476285048036,-11.122102135791689,-0.2333161614553208,0.46153846153846156,False,False,False,False,False,False,False,,N2_absolute_trend_taa,0.9975307562998178,N2_absolute_trend_taa,N2_absolute_trend_taa,watchlist,not validated until independent rolling windows show stronger target reliability,evidence_taa,plausible_fixed_rules_needs_forward_paper_test,,watchlist
evidence_absolute_trend_taa,N2_absolute_trend_taa,stress,0.001,2856.5398825581033,-0.04782003914729893,-0.0026594091871977588,-264.887189124649,-0.08486092516069876,13,0.40312222887318416,-11.035393649376667,-0.3871230457117857,0.3076923076923077,False,False,False,False,False,False,False,,N2_absolute_trend_taa,1.0,N2_absolute_trend_taa,N2_absolute_trend_taa,watchlist,,evidence_taa,plausible_fixed_rules_needs_forward_paper_test,,watchlist
