date,strategy,symbol,signal_type,reason_skipped,requested_risk,intended_risk_amount,total_open_risk,cluster_open_risk,strategy_status,strategy_pnl,strategy_loss_budget_remaining,project_equity,high_water_mark,current_drawdown,rank_at_signal,regime_at_signal,notes
2014-03-24,A_ETF_sector_momentum,SMH,entry,correlation_cluster_risk_exceeded,45.0,45.0,73.45941313858339,73.45941313858339,active,591.0866345153381,721.0866345153381,3813.5872839801104,3813.5872839801104,0.0,,,
2014-12-22,A_ETF_sector_momentum,XLV,entry,correlation_cluster_risk_exceeded,45.0,45.0,90.0,90.0,active,704.8508400394237,834.8508400394237,3963.2741151170776,3963.2741151170776,0.0,,,
2008-05-07,B_ETF_trend_following,XLP,entry,correlation_cluster_risk_exceeded,45.0,45.0,75.0,75.0,active,-21.748401452704698,78.2515985472953,2926.7502687647357,2926.7502687647357,0.0,,,
2011-03-28,B_ETF_trend_following,XLE,entry,correlation_cluster_risk_exceeded,45.0,45.0,55.69291685738417,55.69291685738417,active,236.92186217039128,336.92186217039125,3361.4598693505486,3361.4598693505486,0.0,,,
2011-03-30,B_ETF_trend_following,XLI,entry,correlation_cluster_risk_exceeded,45.0,45.0,80.543912627751,80.543912627751,active,236.78821478244754,336.78821478244754,3403.4080393615614,3403.4080393615614,0.0,,,
2011-03-30,B_ETF_trend_following,IWM,entry,correlation_cluster_risk_exceeded,45.0,45.0,80.543912627751,80.543912627751,active,236.78821478244754,336.78821478244754,3403.4080393615614,3403.4080393615614,0.0,,,
2013-05-31,B_ETF_trend_following,XLF,entry,correlation_cluster_risk_exceeded,45.0,45.0,71.29468249647718,71.29468249647718,active,515.4620980699513,615.4620980699513,3934.6978535716216,3934.6978535716216,0.0,,,
2013-06-19,B_ETF_trend_following,IWM,entry,correlation_cluster_risk_exceeded,45.0,45.0,86.41004171532803,86.41004171532803,active,519.0422748209621,619.0422748209621,3809.9982301234545,3809.9982301234545,0.0,,,
2014-03-24,B_ETF_trend_following,XLF,entry,correlation_cluster_risk_exceeded,45.0,45.0,73.45941313858339,73.45941313858339,active,549.5494383401788,649.5494383401788,3813.5872839801104,3813.5872839801104,0.0,,,
2014-03-26,B_ETF_trend_following,XLK,entry,correlation_cluster_risk_exceeded,45.0,45.0,73.45941313858339,73.45941313858339,active,550.2285825349645,650.2285825349645,3800.734159528775,3800.734159528775,0.0,,,
2015-02-11,B_ETF_trend_following,QQQ,entry,correlation_cluster_risk_exceeded,45.0,45.0,85.37752171253392,85.37752171253392,active,533.0071952826407,633.0071952826407,3946.2001955505766,3946.2001955505766,0.0,,,
2015-02-11,B_ETF_trend_following,SPY,entry,correlation_cluster_risk_exceeded,45.0,45.0,85.37752171253392,85.37752171253392,active,533.0071952826407,633.0071952826407,3946.2001955505766,3946.2001955505766,0.0,,,
2015-02-11,B_ETF_trend_following,XLK,entry,correlation_cluster_risk_exceeded,45.0,45.0,85.37752171253392,85.37752171253392,active,533.0071952826407,633.0071952826407,3946.2001955505766,3946.2001955505766,0.0,,,
2015-02-11,B_ETF_trend_following,XLF,entry,correlation_cluster_risk_exceeded,45.0,45.0,85.37752171253392,85.37752171253392,active,533.0071952826407,633.0071952826407,3946.2001955505766,3946.2001955505766,0.0,,,
2015-02-12,B_ETF_trend_following,QQQ,entry,correlation_cluster_risk_exceeded,45.0,45.0,78.32415452011554,78.32415452011554,active,550.6421277347106,650.6421277347106,3971.217053504175,3971.217053504175,0.0,,,
2015-02-12,B_ETF_trend_following,XLK,entry,correlation_cluster_risk_exceeded,45.0,45.0,78.32415452011554,78.32415452011554,active,550.6421277347106,650.6421277347106,3971.217053504175,3971.217053504175,0.0,,,
2009-03-18,C_swing_trend_pullback,BIL,entry,strategy_loss_budget_hit,45.0,45.0,0.0,0.0,strategy_loss_budget_hit,-152.42031769319226,0.0,2700.064376964947,2700.064376964947,0.0,,,
2009-03-19,C_swing_trend_pullback,IEF,entry,strategy_loss_budget_hit,45.0,45.0,0.0,0.0,strategy_loss_budget_hit,-152.42031769319226,0.0,2700.064376964947,2700.064376964947,0.0,,,
2009-03-26,C_swing_trend_pullback,GLD,entry,strategy_loss_budget_hit,45.0,45.0,0.0,0.0,strategy_loss_budget_hit,-152.42031769319226,0.0,2700.064376964947,2700.064376964947,0.0,,,
2009-03-27,C_swing_trend_pullback,SHY,entry,strategy_loss_budget_hit,45.0,45.0,0.0,0.0,strategy_loss_budget_hit,-152.42031769319226,0.0,2700.064376964947,2700.064376964947,0.0,,,
2009-03-27,C_swing_trend_pullback,IEF,entry,strategy_loss_budget_hit,45.0,45.0,0.0,0.0,strategy_loss_budget_hit,-152.42031769319226,0.0,2700.064376964947,2700.064376964947,0.0,,,
2009-04-21,C_swing_trend_pullback,TLT,entry,strategy_loss_budget_hit,45.0,45.0,25.198825502857822,0.0,strategy_loss_budget_hit,-152.42031769319226,0.0,2681.743283385998,2681.743283385998,0.0,,,
2009-05-07,C_swing_trend_pullback,SHY,entry,strategy_loss_budget_hit,45.0,45.0,23.78338315165256,0.0,strategy_loss_budget_hit,-152.42031769319226,0.0,2720.585960259617,2720.585960259617,0.0,,,
2009-06-01,C_swing_trend_pullback,SHY,entry,strategy_loss_budget_hit,45.0,45.0,70.99031098482133,0.0,strategy_loss_budget_hit,-152.42031769319226,0.0,2755.213634396747,2755.213634396747,0.0,,,
2009-06-17,C_swing_trend_pullback,GLD,entry,strategy_loss_budget_hit,45.0,45.0,14.740003343599527,0.0,strategy_loss_budget_hit,-152.42031769319226,0.0,2630.9791458061636,2630.9791458061636,0.0,,,
2009-06-18,C_swing_trend_pullback,SMH,entry,strategy_loss_budget_hit,45.0,45.0,15.792615813851228,13.249415331735024,strategy_loss_budget_hit,-152.42031769319226,0.0,2628.8152991403185,2628.8152991403185,0.0,,,
2009-07-02,C_swing_trend_pullback,GLD,entry,strategy_loss_budget_hit,45.0,45.0,24.612200608841135,0.0,strategy_loss_budget_hit,-152.42031769319226,0.0,2609.346797169139,2609.346797169139,0.0,,,
2009-07-17,C_swing_trend_pullback,SHY,entry,strategy_loss_budget_hit,45.0,45.0,36.86246773731412,3.0068258422503997,strategy_loss_budget_hit,-152.42031769319226,0.0,2646.8207252332304,2646.8207252332304,0.0,,,
2009-07-31,C_swing_trend_pullback,XLU,entry,strategy_loss_budget_hit,45.0,45.0,42.55354799982976,42.55354799982976,strategy_loss_budget_hit,-152.42031769319226,0.0,2749.8399830225358,2749.8399830225358,0.0,,,
2009-08-10,C_swing_trend_pullback,XLK,entry,strategy_loss_budget_hit,45.0,45.0,28.521556871529455,28.521556871529455,strategy_loss_budget_hit,-152.42031769319226,0.0,2736.830338745334,2736.830338745334,0.0,,,
2008-05-02,D_mean_reversion,GLD,entry,strategy_loss_budget_hit,30.0,30.0,30.0,0.0,strategy_loss_budget_hit,-77.14123115860926,0.0,2965.1783259900494,2965.1783259900494,0.0,,,
2008-05-05,D_mean_reversion,IEF,entry,strategy_loss_budget_hit,30.0,30.0,30.0,0.0,strategy_loss_budget_hit,-77.14123115860926,0.0,2962.1453775928258,2962.1453775928258,0.0,,,
2008-05-05,D_mean_reversion,SHY,entry,strategy_loss_budget_hit,30.0,30.0,30.0,0.0,strategy_loss_budget_hit,-77.14123115860926,0.0,2962.1453775928258,2962.1453775928258,0.0,,,
2008-05-05,D_mean_reversion,TLT,entry,strategy_loss_budget_hit,30.0,30.0,30.0,0.0,strategy_loss_budget_hit,-77.14123115860926,0.0,2962.1453775928258,2962.1453775928258,0.0,,,
2008-05-06,D_mean_reversion,TLT,entry,strategy_loss_budget_hit,30.0,30.0,30.0,0.0,strategy_loss_budget_hit,-77.14123115860926,0.0,2966.6946359347535,2966.6946359347535,0.0,,,
2008-05-06,D_mean_reversion,XLP,entry,strategy_loss_budget_hit,30.0,30.0,30.0,30.0,strategy_loss_budget_hit,-77.14123115860926,0.0,2966.6946359347535,2966.6946359347535,0.0,,,
2008-05-07,D_mean_reversion,TLT,entry,strategy_loss_budget_hit,30.0,30.0,75.0,0.0,strategy_loss_budget_hit,-77.14123115860926,0.0,2926.7502687647357,2926.7502687647357,0.0,,,
2008-05-07,D_mean_reversion,XLU,entry,strategy_loss_budget_hit,30.0,30.0,75.0,75.0,strategy_loss_budget_hit,-77.14123115860926,0.0,2926.7502687647357,2926.7502687647357,0.0,,,
2008-05-13,D_mean_reversion,XLE,entry,strategy_loss_budget_hit,30.0,30.0,45.0,45.0,strategy_loss_budget_hit,-77.14123115860926,0.0,2959.1494634817354,2959.1494634817354,0.0,,,
2008-05-14,D_mean_reversion,BIL,entry,strategy_loss_budget_hit,30.0,30.0,45.0,0.0,strategy_loss_budget_hit,-77.14123115860926,0.0,2946.77560025358,2946.77560025358,0.0,,,
2008-05-14,D_mean_reversion,GLD,entry,strategy_loss_budget_hit,30.0,30.0,45.0,0.0,strategy_loss_budget_hit,-77.14123115860926,0.0,2946.77560025358,2946.77560025358,0.0,,,
2008-05-14,D_mean_reversion,IEF,entry,strategy_loss_budget_hit,30.0,30.0,45.0,0.0,strategy_loss_budget_hit,-77.14123115860926,0.0,2946.77560025358,2946.77560025358,0.0,,,
2008-05-14,D_mean_reversion,SHY,entry,strategy_loss_budget_hit,30.0,30.0,45.0,0.0,strategy_loss_budget_hit,-77.14123115860926,0.0,2946.77560025358,2946.77560025358,0.0,,,
2008-05-14,D_mean_reversion,TLT,entry,strategy_loss_budget_hit,30.0,30.0,45.0,0.0,strategy_loss_budget_hit,-77.14123115860926,0.0,2946.77560025358,2946.77560025358,0.0,,,
2009-10-07,E_breakout_vcb,GLD,entry,strategy_loss_budget_hit,30.0,30.0,35.11049068275163,0.0,strategy_loss_budget_hit,-97.4872400236068,0.0,2651.193712470775,2651.193712470775,0.0,,,
2009-10-09,E_breakout_vcb,XLE,entry,strategy_loss_budget_hit,30.0,30.0,17.10240526883139,14.035824991945297,strategy_loss_budget_hit,-97.4872400236068,0.0,2662.70805170721,2662.70805170721,0.0,,,
2009-10-09,E_breakout_vcb,GLD,entry,strategy_loss_budget_hit,30.0,30.0,17.10240526883139,0.0,strategy_loss_budget_hit,-97.4872400236068,0.0,2662.70805170721,2662.70805170721,0.0,,,
2009-10-15,E_breakout_vcb,SMH,entry,strategy_loss_budget_hit,30.0,30.0,37.88171440199312,37.88171440199312,strategy_loss_budget_hit,-97.4872400236068,0.0,2692.9542222715663,2692.9542222715663,0.0,,,
2009-10-15,E_breakout_vcb,XLV,entry,strategy_loss_budget_hit,30.0,30.0,37.88171440199312,37.88171440199312,strategy_loss_budget_hit,-97.4872400236068,0.0,2692.9542222715663,2692.9542222715663,0.0,,,
2009-10-20,E_breakout_vcb,XLP,entry,strategy_loss_budget_hit,30.0,30.0,27.483908268651902,27.483908268651902,strategy_loss_budget_hit,-97.4872400236068,0.0,2712.9727250331453,2712.9727250331453,0.0,,,
2009-11-03,E_breakout_vcb,BIL,entry,strategy_loss_budget_hit,30.0,30.0,29.514510142315164,0.719995391681004,strategy_loss_budget_hit,-97.4872400236068,0.0,2664.652422607412,2664.652422607412,0.0,,,
2009-11-25,E_breakout_vcb,IEF,entry,strategy_loss_budget_hit,30.0,30.0,0.011189131375718631,0.011189131375718631,strategy_loss_budget_hit,-97.4872400236068,0.0,2863.24786396922,2863.24786396922,0.0,,,
2009-12-02,E_breakout_vcb,XLU,entry,strategy_loss_budget_hit,30.0,30.0,0.0,0.0,strategy_loss_budget_hit,-97.4872400236068,0.0,2914.9662502062993,2914.9662502062993,0.0,,,
2009-12-02,E_breakout_vcb,SHY,entry,strategy_loss_budget_hit,30.0,30.0,0.0,0.0,strategy_loss_budget_hit,-97.4872400236068,0.0,2914.9662502062993,2914.9662502062993,0.0,,,
2009-12-03,E_breakout_vcb,XLU,entry,strategy_loss_budget_hit,30.0,30.0,0.0,0.0,strategy_loss_budget_hit,-97.4872400236068,0.0,2904.9853906747435,2904.9853906747435,0.0,,,
2009-12-07,E_breakout_vcb,IWM,entry,strategy_loss_budget_hit,30.0,30.0,72.18236034487165,72.18236034487165,strategy_loss_budget_hit,-97.4872400236068,0.0,2831.575101825304,2831.575101825304,0.0,,,
2009-12-11,E_breakout_vcb,XLK,entry,strategy_loss_budget_hit,30.0,30.0,68.44607571791579,68.44607571791579,strategy_loss_budget_hit,-97.4872400236068,0.0,2845.1727109351905,2845.1727109351905,0.0,,,
2009-12-15,E_breakout_vcb,XLK,entry,strategy_loss_budget_hit,30.0,30.0,50.57236668804322,50.57236668804322,strategy_loss_budget_hit,-97.4872400236068,0.0,2861.760623592851,2861.760623592851,0.0,,,
2008-01-04,A_ETF_sector_momentum,,entry,no_eligible_symbols,45.0,45.0,56.97454407056049,0.0,active,0.0,130.0,3010.642140394527,3010.642140394527,0.0,,sideways_normal_volatility,SPY risk-on filter failed
2008-01-11,A_ETF_sector_momentum,,entry,no_eligible_symbols,45.0,45.0,17.10380487190768,0.0,active,0.0,130.0,3028.693761241379,3031.2971054908476,-2.6033442494685914,,bear_normal_volatility,SPY risk-on filter failed
2008-01-18,A_ETF_sector_momentum,,entry,no_eligible_symbols,45.0,45.0,0.0,0.0,active,0.0,130.0,2998.5221976927924,3031.2971054908476,-32.77490779805521,,bear_normal_volatility,SPY risk-on filter failed
2008-01-25,A_ETF_sector_momentum,,entry,no_eligible_symbols,45.0,45.0,0.0,0.0,active,0.0,130.0,3057.4921759261606,3057.4921759261606,0.0,,bear_high_volatility,SPY risk-on filter failed
2008-02-01,A_ETF_sector_momentum,,entry,no_eligible_symbols,45.0,45.0,41.28074959087069,0.0,active,0.0,130.0,3057.8701991843527,3057.8701991843527,0.0,,bear_high_volatility,SPY risk-on filter failed
2008-02-08,A_ETF_sector_momentum,,entry,no_eligible_symbols,45.0,45.0,35.818783805089055,0.0,active,0.0,130.0,3070.0194004791583,3070.0194004791583,0.0,,bear_high_volatility,SPY risk-on filter failed
2008-02-15,A_ETF_sector_momentum,,entry,no_eligible_symbols,45.0,45.0,35.818783805089055,0.0,active,0.0,130.0,3044.696113564628,3074.5365561238877,-29.840442559259827,,bear_high_volatility,SPY risk-on filter failed
2008-02-22,A_ETF_sector_momentum,,entry,no_eligible_symbols,45.0,45.0,40.72242218916548,0.0,active,0.0,130.0,3101.9657531988446,3101.9657531988446,0.0,,bear_normal_volatility,SPY risk-on filter failed
