variant_name,slippage_label,final_equity,total_return,max_drawdown_dollars,max_drawdown_pct,target_300_before_any_stop,target_400_before_any_stop,any_project_stop_hit,number_of_trades,profit_factor,stress_delta_if_available,passed_gate,gate_status,gate_failure_reasons
current_no_cash_proxy_alpha_AB,standard,3392.201266116984,0.130733755372328,-609.8106389975896,-0.15237601822679525,True,True,True,190,1.1377958604258875,-152.2695905204282,True,pass,stress slippage materially degraded final equity
current_no_cash_proxy_alpha_AB,stress,3239.9316755965556,0.07997722519885175,-624.4670614426359,-0.16159488291342505,True,True,True,188,1.0852455318784817,-152.2695905204282,True,pass,stress slippage materially degraded final equity
current_core_only_AB,standard,3305.9478457759783,0.10198261525865937,-601.276691257252,-0.15388844064585128,True,True,True,198,1.1118123677177794,-146.31907892272784,True,pass,
current_core_only_AB,stress,3159.6287668532505,0.05320958895108352,-607.2391369040033,-0.1612053176322732,True,True,True,195,1.059479137833454,-146.31907892272784,True,pass,
current_momentum_only_A,standard,3409.440841137106,0.13648028037903526,-600.8214126215898,-0.14982097793191917,True,True,True,191,1.1527919823860235,-140.489067543298,True,pass,
current_momentum_only_A,stress,3268.951773593808,0.08965059119793595,-602.7156954636844,-0.1556734146929224,True,True,True,188,1.102706085413211,-140.489067543298,True,pass,
evidence_dual_momentum_taa,standard,3087.1352203814986,0.02904507346049945,-638.9696644646519,-0.17148461576143603,True,True,True,295,1.0171191893723737,-314.55456463563223,True,pass,stress slippage materially degraded final equity
evidence_dual_momentum_taa,stress,2772.5806557458664,-0.07580644808471126,-227.41934425413365,-0.07580644808471126,False,False,False,31,0.6337541527398021,-314.55456463563223,False,fail,profit factor below 1.0; stress slippage materially degraded final equity
evidence_absolute_trend_taa,standard,2855.4126722347073,-0.04819577592176427,-269.7738318646907,-0.08632247435819285,False,False,False,13,0.4203476285048036,1.127210323395957,False,fail,profit factor below 1.0
evidence_absolute_trend_taa,stress,2856.5398825581033,-0.04782003914729893,-264.887189124649,-0.08486092516069876,False,False,False,13,0.40312222887318416,1.127210323395957,False,fail,profit factor below 1.0
evidence_dual_momentum_vol_scaled,standard,3583.9151318522217,0.19463837728407385,-601.8733879856245,-0.1472244894132656,True,True,True,303,1.12263291899486,-380.03370725839613,True,pass,stress slippage materially degraded final equity
evidence_dual_momentum_vol_scaled,stress,3203.8814245938256,0.06796047486460854,-612.809339211256,-0.16056038519618254,True,True,True,277,1.046497101570884,-380.03370725839613,True,pass,stress slippage materially degraded final equity
evidence_inverse_vol_defensive,standard,2857.195947666935,-0.047601350777688345,-198.80666352720345,-0.06505448090881027,False,False,False,19,0.37861940987674436,-1.2050393370363963,True,benchmark_only,inverse-vol defensive allocation is benchmark/control only
evidence_inverse_vol_defensive,stress,2855.9909083298985,-0.04800303055670052,-195.57631498789078,-0.0640904494888539,False,False,False,19,0.3633802115319239,-1.2050393370363963,True,benchmark_only,inverse-vol defensive allocation is benchmark/control only
evidence_core_combo,standard,3830.46548923347,0.27682182974449,-605.5497432453176,-0.13650758879539382,True,True,True,385,1.1404311519540928,-454.8864823394997,True,pass,stress slippage materially degraded final equity
evidence_core_combo,stress,3375.5790068939705,0.12519300229799013,-603.6369200875106,-0.15169745275557645,True,True,True,401,1.061838117269609,-454.8864823394997,True,pass,stress slippage materially degraded final equity
original_full_tournament,standard,3508.173544919093,0.16939118163969757,-600.7231427340985,-0.17617515395148697,True,True,True,368,1.1380626257652056,-736.1306137862016,True,reference_only,legacy full tournament is retained as reference only
original_full_tournament,stress,2772.042931132891,-0.07598568962236962,-615.6436048805172,-0.18828944023884986,True,False,True,251,0.9249513708344813,-736.1306137862016,True,reference_only,legacy full tournament is retained as reference only
