symbol,total_trades,total_pnl,avg_pnl,win_rate,profit_factor,avg_r_multiple,median_r_multiple,total_days_held,strategies_trading_symbol,pct_of_total_profit,pct_of_total_loss,is_cash_proxy_symbol
GLD,26,380.98107062282753,14.653118100877982,0.4230769230769231,2.11267728813669,0.5398020172859372,-0.45739886311250766,233,"A_ETF_sector_momentum,B_ETF_trend_following,C_swing_trend_pullback,D_mean_reversion,E_breakout_vcb",0.1726892301340196,0.09302469420733349,False
XLY,29,379.91606907801935,13.100554106138599,0.4482758620689655,2.2596863982494315,0.2381076376256593,-0.09385579157374832,501,"A_ETF_sector_momentum,B_ETF_trend_following",0.16269391493230806,0.08193874343241737,False
XLP,25,212.6977916454359,8.507911665817437,0.56,2.445546349586106,0.6016134041467538,0.4992315475217589,447,"A_ETF_sector_momentum,B_ETF_trend_following,D_mean_reversion,E_breakout_vcb",0.08590229624060287,0.03997560415707791,False
TLT,23,71.16550929703354,3.094152578131893,0.6086956521739131,1.4200954874157197,0.045946875067207904,0.19597637671005935,214,"A_ETF_sector_momentum,B_ETF_trend_following,C_swing_trend_pullback,D_mean_reversion,E_breakout_vcb",0.05742976087059469,0.04602413361118139,False
XLI,16,69.26725714016541,4.329203571260338,0.4375,1.3528834570350265,0.16991054375829975,-0.5766266480115398,182,"A_ETF_sector_momentum,B_ETF_trend_following,E_breakout_vcb",0.06339499805966411,0.05332867186526144,False
XLV,33,58.962572341737314,1.7867446164162821,0.2727272727272727,1.1468041622042162,0.0919804335326076,-0.5187092134998902,425,"A_ETF_sector_momentum,B_ETF_trend_following,E_breakout_vcb",0.10995759414129144,0.10911944029810643,False
SMH,14,57.27445916940576,4.091032797814697,0.5714285714285714,1.5813204768571438,0.28924108499859535,0.19285985768949865,224,"A_ETF_sector_momentum,B_ETF_trend_following,E_breakout_vcb",0.03719316919995744,0.026767601140762976,False
IEF,29,36.14244759683698,1.2462912964426545,0.4482758620689655,1.2491064290118128,0.13878270084525351,-0.32847551053533297,312,"A_ETF_sector_momentum,B_ETF_trend_following,C_swing_trend_pullback,D_mean_reversion,E_breakout_vcb",0.04326433002988739,0.03941819199084471,False
XLE,11,16.33238261564476,1.4847620559677055,0.36363636363636365,1.1040591347426718,0.11858893973240918,-0.18510344506115511,131,"A_ETF_sector_momentum,B_ETF_trend_following,C_swing_trend_pullback,D_mean_reversion",0.041367529544430966,0.04264159211519744,False
SPY,6,12.38089467031773,2.063482445052955,0.5,1.259825502448935,-0.1312731181938219,-0.23130834541091427,78,"A_ETF_sector_momentum,B_ETF_trend_following",0.014331068234684368,0.01294596205068194,False
BIL,20,-16.85503946189821,-0.8427519730949105,0.25,0.4866569156409462,-0.2926628736143476,-0.8287102061506479,164,"A_ETF_sector_momentum,B_ETF_trend_following,C_swing_trend_pullback,D_mean_reversion,E_breakout_vcb",0.003814546141252513,0.008920437084303729,True
IWM,9,-29.241970808971672,-3.2491078676635192,0.3333333333333333,0.6381196864369155,-0.1449167384780808,-0.2235159822489432,98,"A_ETF_sector_momentum,B_ETF_trend_following,E_breakout_vcb",0.012309537612390876,0.021953600546843578,False
SHY,32,-30.28476958505667,-0.9463990495330209,0.21875,0.36920888638243765,-0.38837146712589066,-0.6677217601614825,442,"A_ETF_sector_momentum,B_ETF_trend_following,C_swing_trend_pullback,D_mean_reversion,E_breakout_vcb",0.004231640528643532,0.01304375953273805,True
XLF,14,-46.874025327251516,-3.348144666232251,0.35714285714285715,0.7724223716076366,-0.056422968268935794,-0.4135823384955664,152,"A_ETF_sector_momentum,B_ETF_trend_following",0.037980042122584476,0.05595858956640591,False
XLU,23,-109.39237289594062,-4.756190125910462,0.34782608695652173,0.6871803683966428,-0.03851957076214139,-0.7149769092548512,267,"A_ETF_sector_momentum,B_ETF_trend_following,C_swing_trend_pullback,D_mean_reversion",0.05736694225518416,0.09500733131737524,False
XLK,16,-153.00269114411748,-9.562668196507342,0.25,0.3321126361993208,-0.4252259958775389,-0.9185935751771364,174,"A_ETF_sector_momentum,B_ETF_trend_following,E_breakout_vcb",0.018162647656281623,0.06223861494433073,False
XLB,14,-188.87534810022618,-13.491096292873298,0.21428571428571427,0.2693513845724688,-0.3997026193811976,-0.6258562199490103,95,"A_ETF_sector_momentum,B_ETF_trend_following,C_swing_trend_pullback,D_mean_reversion",0.016622021500221754,0.07023131313801911,False
QQQ,28,-212.42069193487197,-7.586453283388285,0.32142857142857145,0.5472263707576432,-0.2617843867585695,-0.8470565466868328,299,"A_ETF_sector_momentum,B_ETF_trend_following",0.061288730796000015,0.12746171900111847,False
