variant_name,slippage_label,slippage_pct_per_side,horizon_trading_days,start_index,start_date,end_date,sample_reason,regime_label_if_available,spy_volatility_percentile_if_available,sampling_method,sample_size_requested,possible_window_count
current_no_cash_proxy_alpha_AB,standard,0.0005,90,0,2008-01-03,2008-05-12,evenly_spaced;spy_below_200sma_start;top_up_evenly_spaced,spy_below_200sma,0.6351931330472103,deterministic_stratified_sample,24,4541
current_no_cash_proxy_alpha_AB,standard,0.0005,90,52,2008-03-19,2008-07-25,high_volatility_start,spy_below_200sma,1.0,deterministic_stratified_sample,24,4541
current_no_cash_proxy_alpha_AB,standard,0.0005,90,85,2008-05-06,2008-09-11,spy_above_200sma_start,spy_above_200sma,0.449685534591195,deterministic_stratified_sample,24,4541
current_no_cash_proxy_alpha_AB,standard,0.0005,90,197,2008-10-14,2009-02-23,top_up_evenly_spaced,spy_below_200sma,0.9976744186046511,deterministic_stratified_sample,24,4541
current_no_cash_proxy_alpha_AB,standard,0.0005,90,210,2008-10-31,2009-03-12,low_volatility_start,spy_below_200sma,1.0,deterministic_stratified_sample,24,4541
current_no_cash_proxy_alpha_AB,standard,0.0005,90,338,2009-05-07,2009-09-14,spy_below_200sma_start,spy_below_200sma,0.7215411558669002,deterministic_stratified_sample,24,4541
current_no_cash_proxy_alpha_AB,standard,0.0005,90,395,2009-07-29,2009-12-03,top_up_evenly_spaced,spy_above_200sma,0.48089171974522293,deterministic_stratified_sample,24,4541
current_no_cash_proxy_alpha_AB,standard,0.0005,90,592,2010-05-11,2010-09-16,top_up_evenly_spaced,spy_above_200sma,0.7745454545454545,deterministic_stratified_sample,24,4541
current_no_cash_proxy_alpha_AB,standard,0.0005,90,790,2011-02-22,2011-06-29,top_up_evenly_spaced,spy_above_200sma,0.19257086999022482,deterministic_stratified_sample,24,4541
current_no_cash_proxy_alpha_AB,standard,0.0005,90,987,2011-12-01,2012-04-11,top_up_evenly_spaced,spy_below_200sma,0.8073770491803278,deterministic_stratified_sample,24,4541
current_no_cash_proxy_alpha_AB,standard,0.0005,90,1184,2012-09-13,2013-01-24,top_up_evenly_spaced,spy_above_200sma,0.16584333098094567,deterministic_stratified_sample,24,4541
current_no_cash_proxy_alpha_AB,standard,0.0005,90,1513,2014-01-07,2014-05-15,evenly_spaced,spy_above_200sma,0.17353951890034364,deterministic_stratified_sample,24,4541
current_no_cash_proxy_alpha_AB,standard,0.0005,90,1683,2014-09-10,2015-01-16,spy_above_200sma_start,spy_above_200sma,0.007306889352818371,deterministic_stratified_sample,24,4541
