reference_month,bls_release_date,release_artifact_hash,cpi_all_items_nsa_level_as_published,prior_year_cpi_level,canonical_cpi_yoy_unrounded,canonical_regime,rebalance_event
2005-07,2005-08-16,sha256:386eb5b0c56862d60ee335483c32cc173c3ee4e7adeac5655f714e191c7b76e7,195.4,189.4,3.167898627244,high,true
2005-08,2005-09-15,sha256:c7d0316af222f383ddea01f2f7a2256940abb41669d970d37c8d8fa10dc1b0e4,196.4,189.5,3.641160949868,high,true
2005-09,2005-10-14,sha256:76e15a58a4aafd6665defa1891463f21c776b1360a40baf4fc0667cce4aa352e,198.8,189.9,4.686677198526,high,true
2005-10,2005-11-16,sha256:0e0aa174f5047cf875b50dba79501c507503a281602e0cad5008429f4d0ab7f5,199.2,190.9,4.347826086957,high,true
2005-11,2005-12-15,sha256:3fdd563d7133294e90f9589e4428be853b3e5dc69a02769f529d307e9b7e4d50,197.6,191.0,3.455497382199,high,true
2005-12,2006-01-18,sha256:42c86b840165e06c733b5da5703631ce0df798cb8cae1748d47cc277ec9cc20d,196.8,190.3,3.415659485024,high,true
2006-01,2006-02-22,sha256:a2962a3556c9954bb61991622f0e9776946a748119070bc4ea9d9a0599b610b7,198.3,190.7,3.985317252229,high,true
2006-02,2006-03-16,sha256:94630a8ed0c12ec21e0b8568aecaa77ab23b2020e08771b961196eb27593f508,198.7,191.8,3.597497393118,high,true
2006-03,2006-04-19,sha256:743c180699524c9b4a4c506b9d83daaa75200914cc9b0e0333e0d01796aab071,199.8,193.3,3.362648732540,high,true
2006-04,2006-05-17,sha256:49cd8443fce289e0ddeb6d2b7a606713c50e83c21b6ee71480fd070610fcabaa,201.5,194.6,3.545734840699,high,true
2006-05,2006-06-14,sha256:a5e4d80239acf20df83c3696adaa506feef9c18f4341c26d586f1ebace7d6019,202.5,194.4,4.166666666667,high,true
2006-06,2006-07-19,sha256:711417c3f4cd86bd049082cc385c58bbb27f086325cdbdaa1e4d61e0194ca5cd,202.9,194.5,4.318766066838,high,true
2006-07,2006-08-16,sha256:8250d4dc66154b9a107fb7aa2d6c6a9603479c62eb9ea6baa7f861c1bc3f7ac0,203.5,195.4,4.145342886387,high,true
2006-08,2006-09-15,sha256:b5e90ac01981deb868f0c33ef0584dabaf05947f39961f652918cdadea326d54,203.9,196.4,3.818737270876,high,true
2006-09,2006-10-18,sha256:3305058629213b5b42eca2dda0d54f7f2c301ec010ae8519f86c8e24cb77599a,202.9,198.8,2.062374245473,medium,true
2006-10,2006-11-16,sha256:7d993643a32b4e6a512d590315ae3d5a57ac5a1c08450d94f2c6216fb5de0cec,201.8,199.2,1.305220883534,low,true
2006-11,2006-12-15,sha256:cbfbebc7b89f6b3f7b54d8e4364cc9b1c1bd0e7918cc8d713037369782f3f137,201.5,197.6,1.973684210526,medium,true
2006-12,2007-01-18,sha256:7e278395e1e59a2a29c4822756eb8d8795ffdb698712e517e4eafad563f7a998,201.8,196.8,2.540650406504,high,true
2007-01,2007-02-21,sha256:1ee8530950f6bb6c2315ba7dac61acc880d6bf52e8ff1d6fffc72889365627ca,202.416,198.3,2.075642965204,medium,true
2007-02,2007-03-16,sha256:7bb824f764d0457d414e54cc13f56901646e90daf6b1159a1240b93dc93239f9,203.499,198.7,2.415198792149,medium,true
2007-03,2007-04-17,sha256:66338b54fad7ab68e59f28ac798caa05ff417081baa23ae56e60649f4b3d3184,205.352,199.8,2.778778778779,high,true
2007-04,2007-05-15,sha256:ace4e65d44a990c846aa072fa020c9ff58f60e23fd42a60ed1f19954d5da76ca,206.686,201.5,2.573697270471,high,true
2007-05,2007-06-15,sha256:cf71864e626fd05602b7f054921816aaa7862edb5e923faf1529a883e438bc21,207.949,202.5,2.690864197531,high,true
2007-06,2007-07-18,sha256:b87aafa9797180e6a2d82b3d5bc17e8262d8baf619ff7531fe3e7f995f9d907b,208.352,202.9,2.687037949729,high,true
2007-07,2007-08-15,sha256:84bfb48e9f8c43cb25bca4e9e8fffd352b7e41f085fed283941c8af7647ff6d6,208.299,203.5,2.358230958231,medium,true
2007-08,2007-09-19,sha256:b0b6abda9d213600e2b0e1d3e057ce2eaa25f1b54f8ed132c8c2736caf8d32f7,207.917,203.9,1.970083374203,medium,true
2007-09,2007-10-17,sha256:360318e807e607bda2a6aeb49190161be181e90f167df1897902f2320ca5a8d6,208.490,202.9,2.755051749630,high,true
2007-10,2007-11-15,sha256:c530f8acceadca8657404e46a34562a2f692aaad265f7782920d262e67c1a6bc,208.936,201.8,3.536174430129,high,true
2007-11,2007-12-14,sha256:1209024db5922f6fb00b27bfb949aecf96aab7652e944ec2807388ad762fe9f5,210.177,201.5,4.306203473945,high,true
2007-12,2008-01-16,sha256:1c0106ef20307e615d16a1f224bffe0eb63c869ca3670b1f1448fe744014e45d,210.036,201.8,4.081268582755,high,true
2008-01,2008-02-20,843a56d4b79a6d108a0556b029e33a32a9a665caee183fd87b697fd3e51f47ac,211.080,202.416,4.280294047901,high,true
2008-02,2008-03-14,34102bd69e5e703b9e4859e3e32fee30e5cdf1decb5bcb25cbb65dcb6a78cbd1,211.693,203.499,4.026555413049,high,true
2008-03,2008-04-16,b49a7c273005a2c49294cfe65982053351884a148626d42cd413b3fae4e70398,213.528,205.352,3.981456231252,high,true
2008-04,2008-05-14,dac3aa35a7aaa27cdf6e3f336b41dabdbb1b1decc9f9812279a8c1fcff14d33b,214.823,206.686,3.936889774828,high,true
2008-05,2008-06-13,a0ceb0458504489008302dda6d12e48267cfebdb6f78fcbc84383085b225df6e,216.632,207.949,4.175543041804,high,true
2008-06,2008-07-16,5df72afff3ab0521cb854357337e11fc9f519e17895ee2c2d480f2cc66ac65d9,218.815,208.352,5.021790047612,high,true
2008-07,2008-08-14,a2684fded23f91f71e1619014c9f9d56998d7b94bb38e8e5bf23a9d974075a29,219.964,208.299,5.600122900254,high,true
2008-08,2008-09-16,775e70e4bf1396cf14c356bde65c0929c5bcf5e5129e4cd669eff11269985cf3,219.086,207.917,5.371855115262,high,true
2008-09,2008-10-16,35895a6e781bf8b479d48612130222b8ea2ca221614a53aa171f692cc67bc800,218.783,208.490,4.936927430572,high,true
2008-10,2008-11-19,03d25870904b569fd833f519bfe782b8e1d099ef95ec09663cd38558a7089ac7,216.573,208.936,3.655186277137,high,true
2008-11,2008-12-16,ce73007f79e8f77d938e0252b11b008e151ca2d34eb3e8ef9d42d8244e01f134,212.425,210.177,1.069574691807,low,true
2008-12,2009-01-16,df059176bde1dc105c602d969a56cab229485a923fc1a0700a1b3e41b5c8d7b9,210.228,210.036,0.091412900646,low,true
2009-01,2009-02-20,0a6f6ff5e33b0770bb769338a298db7ae8835c544580d1e3e82d2e207a85a583,211.143,211.080,0.029846503695,low,true
2009-02,2009-03-18,ecc4e42cbd639178f13b74649df9d05f15b92921b124f261189f8f4b4fca5aba,212.193,211.693,0.236191088038,low,true
