fixture_id,event_status,reference_month,input_start_month,input_end_month,monthly_return_count,CPI_reference_end_month
fixture_001_2006_12,published_release_event,2006-12,,,0,2006-12
fixture_002_2009_07,published_release_event,2009-07,2006-08,2009-07,36,2009-07
fixture_003_2009_08,published_release_event,2009-08,2006-08,2009-08,37,2009-08
fixture_004_2009_11,published_release_event,2009-11,2006-08,2009-11,40,2009-11
fixture_005_2009_12,published_release_event,2009-12,2006-08,2009-12,41,2009-12
fixture_006_2010_01,published_release_event,2010-01,2006-08,2010-01,42,2010-01
fixture_007_2010_02,published_release_event,2010-02,2006-08,2010-02,43,2010-02
fixture_008_2010_12,published_release_event,2010-12,2006-08,2010-12,53,2010-12
fixture_009_2013_03,published_release_event,2013-03,2006-08,2013-03,80,2013-03
fixture_010_2016_07,published_release_event,2016-07,2006-08,2016-07,120,2016-07
fixture_011_2016_09,published_release_event,2016-09,2006-10,2016-09,120,2016-09
fixture_012_2017_01,published_release_event,2017-01,2007-02,2017-01,120,2017-01
fixture_013_2018_10,published_release_event,2018-10,2008-11,2018-10,120,2018-10
fixture_014_2024_08,published_release_event,2024-08,2014-09,2024-08,120,2024-08
fixture_015_2025_10,no_release_no_event,2025-10,,,0,2025-10
