relative_path,file_sha256,size_bytes,role
caveat_register.csv,sha256:07c1edc462ea8deb109a98264e0765f8f4f087b19da33f9a79132e84addcb366,1504,consumer_contract
forward_application_responsibility_boundary.md,sha256:6501f25550da4e4c3d98747672241ec44e93201ce1eb1064374833dda7d09450,687,consumer_contract
forward_observation_interface_contract.json,sha256:3cd1232ec424762d06ef12814728fb346b5ae1f99380345165d7ba6d67ea49e5,1588,consumer_contract
golden_conformance_fixtures.csv,sha256:41ef4c7c07bdc898aaa78765588b3820bccbbad1265d16f0c54b2bf11e55ec98,7239,consumer_contract
golden_fixture_manifest.json,sha256:e6fe3734288360d1826adf25198a9f6507ff1509b61c7011ec7580fc8fd740b0,1621,consumer_contract
handoff_manifest.json,sha256:bd1176b5369175af01e0688ffa9cc134429ebba371b31aa84ee40b6f3720aa31,1936,consumer_contract
instrument_mapping.csv,sha256:e0607bb6075dded6709154178e9e4c621b3f9f2341246696c866c501e081ca64,533,consumer_contract
lineage_manifest.json,sha256:e31b0850d84a849e3b3d8aab0cfe70612f60deac4562ce81048c24ede1ad5ea4,1987,consumer_contract
price_semantics_contract.json,sha256:5fabe49f4e1790209aad0c4fd36a7341bf6a30329addb415d33297a89a572181,2963,consumer_contract
receiver_acceptance_checklist.md,sha256:2a0bd256d4c4ecc824fe48f0445300e5a06409235d0e634bd6d1d1b2ba531fdc,1016,consumer_contract
reference_only/historical_cpi_v2/cpi_point_in_time_signal.csv,sha256:598e81c42df2f425091cfa156dd2c927a46001348b68b3ebb91b019b8284633d,168851,reference_only
reference_only/historical_cpi_v2/data_dictionary.json,sha256:35c296172aea884149e920953999844e629110276b618bb66494b6f75858e1b8,1454,reference_only
reference_only/historical_cpi_v2/missing_release_exception.csv,sha256:877ad50c44e0393cd11362a5bcac00f6e54a6e532a4863a5151346a8d84cc561,1139,reference_only
reference_only/historical_cpi_v2/source_manifest.json,sha256:fa2715a3c319338065c0a7d5a00adb7163597b4bbf179091dae1d373502cbb5b,1116,reference_only
reference_only/historical_cpi_v2/warmup_contract.json,sha256:5135b1743fa9cdb90018f7d0fb3999d4d4a43508bb123193d553edae266d17a2,2373,reference_only
reference_only/implement_spdj_multi_asset_dynamic_inflation_etf_portability_v1.py,sha256:55eff61ee55999df76d023e570440197c7dbf0d05da41775cf23671dbd15b1e4,61021,reference_only
reference_only/README.md,sha256:27f991a99b72632d13768201dbc5a48a04be481ebf8b9faa7ff0885d748696d2,677,reference_only
research_claims_and_nonclaims.json,sha256:94ecb0539528f2abba8366f952ad5cf45f712876069b5eb5969ec4685c7c3459,669,consumer_contract
research_evidence_summary.json,sha256:19d4660ba78575682c200ea5574b9ff577793e1ae85fd267634e07e3a81471b8,2091,consumer_contract
schedule_and_timing_contract.json,sha256:eb02b523fc32f70cb075c96570c0a30965eb11c195676437b6f98bab79e97860,725,consumer_contract
signal_contract.json,sha256:91fab187cf5ad03101829584d2394088ee71ab794d895ff0812f0db85479f841,1147,consumer_contract
source_provenance.json,sha256:1c4f2c2cfd48083f39b7e6fe501c728cadb006467a01d4c0766daae003ac9a20,1422,consumer_contract
strategy_contract.json,sha256:5b185d531fb6b2f59aae7b55fe44bbc86540ee7fe57242fac1656724a3e7323b,10455,consumer_contract
strategy_state_machine.json,sha256:870e10aad40e154bbbb17bf53bf1fa6891b43b0b8d2a42e4bbb71b77d5aa3bb4,1465,consumer_contract
